InnsigsAar;Region;Andel1SW
1993;Midt;0.95
1994;Midt;0.95
1995;Midt;0.95
1996;Midt;0.95
1997;Midt;0.95
1998;Midt;0.95
1999;Midt;0.95
2000;Midt;0.95
2001;Midt;0.95
2002;Midt;0.95
2003;Midt;0.95
2004;Midt;0.95
2005;Midt;0.95
2006;Midt;0.903560831
2007;Midt;0.85
2008;Midt;0.707876371
2009;Midt;0.688039457
2010;Midt;0.645114943
2011;Midt;0.731663685
2012;Midt;0.714285714
2013;Midt;0.729346971
2014;Midt;0.707829408
2015;Midt;0.771
2016;Midt;0.677884615
2017;Midt;0.856
2018;Midt;0.896
2019;Midt;0.857
2020;Midt;0.887
2021;Midt;0.831
2022;Midt;0.899665552
2023;Midt;0.87804878
1993;Nord;0.98
1994;Nord;0.98
1995;Nord;0.98
1996;Nord;0.98
1997;Nord;0.98
1998;Nord;0.98
1999;Nord;0.98
2000;Nord;0.98
2001;Nord;0.98
2002;Nord;0.98
2003;Nord;0.98
2004;Nord;0.98
2005;Nord;0.98
2006;Nord;0.93830703
2007;Nord;0.798206278
2008;Nord;0.876404494
2009;Nord;0.842342342
2010;Nord;0.868421053
2011;Nord;0.95505618
2012;Nord;0.91682243
2013;Nord;0.928350834
2014;Nord;0.895578551
2015;Nord;0.948
2016;Nord;0.859468258
2017;Nord;0.96
2018;Nord;0.972
2019;Nord;0.842
2020;Nord;0.996
2021;Nord;0.933
2022;Nord;0.961187215
2023;Nord;0.971758665
1993;Sør;0.98
1994;Sør;0.98
1995;Sør;0.98
1996;Sør;0.98
1997;Sør;0.98
1998;Sør;0.98
1999;Sør;0.98
2000;Sør;0.98
2001;Sør;0.98
2002;Sør;0.98
2003;Sør;0.98
2004;Sør;0.98
2005;Sør;0.98
2006;Sør;0.960474308
2007;Sør;0.675675676
2008;Sør;0.522633745
2009;Sør;0.627586207
2010;Sør;0.632958801
2011;Sør;0.855614973
2012;Sør;0.714859438
2013;Sør;0.728813559
2014;Sør;0.711640212
2015;Sør;0.859
2016;Sør;0.882943144
2017;Sør;0.954
2018;Sør;0.958
2019;Sør;0.926
2020;Sør;0.937
2021;Sør;0.91
2022;Sør;0.900343643
2023;Sør;0.889570552
1993;Vest;0.95
1994;Vest;0.95
1995;Vest;0.95
1996;Vest;0.95
1997;Vest;0.95
1998;Vest;0.95
1999;Vest;0.95
2000;Vest;0.95
2001;Vest;0.95
2002;Vest;0.95
2003;Vest;0.95
2004;Vest;0.95
2005;Vest;0.95
2006;Vest;0.837719298
2007;Vest;0.568493151
2008;Vest;0.408163265
2009;Vest;0.412087912
2010;Vest;0.76419214
2011;Vest;0.692307692
2012;Vest;0.455840456
2013;Vest;0.596938776
2014;Vest;0.504950495
2015;Vest;0.775
2016;Vest;0.510273973
2017;Vest;0.76
2018;Vest;0.858
2019;Vest;0.849
2020;Vest;0.684
2021;Vest;0.837
2022;Vest;0.747191011
2023;Vest;0.770700637
