Vassdrag;VdrNr;RegionNr;RegionNavn;Filnavn;GBM;GBM_lav;GBM_hoy;Andel15;GytingSim;Fjord;Ytre;Lnr;Normalbeskatningsregion;FemSeaAge;SmoltAge;Inkluder;Latitude;Longitude;Delbestand;Hovedbestand_nr;Andel
Enningdalselva;001.1Z;1;Østlandet;Enningdal;453;340;680;1;TRUE;;TRUE;3;Sør;3;2;1;58.9815531;11.4744159;0;;
Tista;001.Z;1;Østlandet;001.Z_Tista;;;;1;FALSE;;TRUE;12;Sør;;;;59.11859;11.36949;0;;
Glomma;002.Z;1;Østlandet;Glomma;960;480;1440;1;TRUE;;TRUE;5;Sør;2;2;0;59.193023;10.9476179;0;;
Aagaardselva;002.ZB;1;Østlandet;GlommaAagaard;480;240;720;1;TRUE;;TRUE;5;Sør;2;2;0;59.193023;10.9476179;1;002.Z;0.5
Gjersjøelva;005.4Z;1;Østlandet;005.4Z_Gjersjøe;20;15;30;0.62;FALSE;;TRUE;4;Sør;;;;59.82926;10.76452;0;;
Akerselva;006.Z;1;Østlandet;006.Z_Akerselv;37;28;55;0.55;FALSE;;TRUE;1;Sør;;;;59.90479;10.75364;0;;
Lysakerelva;007.Z;1;Østlandet;007.Z_Lysakere;53;40;80;0.91;FALSE;;TRUE;8;Sør;;;;59.91146;10.64199;0;;
Sandvikselva;008.Z;1;Østlandet;Sandvikselva;331;248;497;0.94;TRUE;;TRUE;10;Sør;1.5;2;0;59.8868633;10.5296268;0;;
Åroselva;009.Z;1;Østlandet;Aaros;247;185;370;0.97;TRUE;;TRUE;13;Sør;1.5;2;1;59.70432;10.51927;0;;
Lierelva;011.Z;1;Østlandet;011.Z_Lierelva;494;247;741;0.87;FALSE;;TRUE;7;Sør;;;;59.74829;10.2835;0;;
Drammenselva;012.Z;1;Østlandet;012.Z_Drammens;4355;2177;6532;0.98;FALSE;;TRUE;2;Sør;;;;59.73178;10.23828;0;;
Numedalslågen;015.Z;1;Østlandet;Numedal;12296;6148;18444;0.99;TRUE;;TRUE;9;Sør;2;2;1;59.0376472;10.0545663;0;;
Herrevassdraget;016.4Z;1;Østlandet;016.4Z_Herrevas;80;40;120;0.95;FALSE;;TRUE;6;Sør;;;;59.1058;9.56491;0;;
Skiensvassdraget;016.Z;1;Østlandet;Skien;1496;748;2244;0.99;TRUE;;TRUE;11;Sør;2;2;0;59.1350011;9.6302816;0;;
Vegårsvassdraget;018.Z;2;Agderkysten;018.Z_Vegårdsv;565;424;848;0.91;FALSE;;TRUE;23;Sør;;;;58.66981;8.98096;0;;
Nidelva;019.Z;2;Agderkysten;NidelvaAA;1574;852;2361;0.9;TRUE;;TRUE;19;Sør;1;2;1;58.4345959;8.7121709;0;;
Tovdalselva;020.Z;2;Agderkysten;Tovdal;3721;2791;5582;0.96;TRUE;;TRUE;22;Sør;2;2;1;58.1947071;8.0762012;0;;
Otra;021.Z;2;Agderkysten;Otra;2341;1756;3511;0.95;TRUE;;TRUE;20;Sør;1.5;2;1;58.1441397;8.0131473;0;;
Songdalselva (Søgne);022.1Z;2;Agderkysten;SogneSogndal;559;419;838;0.72;TRUE;;TRUE;21;Sør;1.5;2;1;58.0776571;7.8166908;0;;
Mandalselva;022.Z;2;Agderkysten;Mandal;5155;3866;7733;0.95;TRUE;;TRUE;18;Sør;1.5;2;1;58.0211101;7.4574749;0;;
Audna;023.Z;2;Agderkysten;Audna;1210;605;1815;0.93;TRUE;;TRUE;14;Sør;2;2;1;58.0581041;7.2790113;0;;
Lygna;024.Z;2;Agderkysten;Lygna;1889;1417;2834;0.97;TRUE;;TRUE;17;Sør;1.5;2;1;58.1422158;7.0491517;0;;
Feda;025.3Z;2;Agderkysten;025.3Z_Feda;73;36;109;0.97;FALSE;;TRUE;15;Sør;;;;58.26251;6.81782;0;;
Kvina;025.Z;2;Agderkysten;Kvina;1353;1015;2030;0.99;TRUE;;TRUE;16;Sør;2;2;1;58.2721432;6.8881914;0;;
Sokndalselva;026.4Z;3;Jæren;Sokndal;861;646;1076;0.91;TRUE;;TRUE;33;Sør;1.5;2;1;58.3226649;6.2845897;0;;
Sireåna;026.Z;2;Agderkysten;Sira;163;122;244;0.88;TRUE;;TRUE;24;Sør;1.5;2;1;58.29073;6.43846;0;;
Hellelandselva;027.3Z;3;Jæren;Helleland;123;92;185;0.91;TRUE;;TRUE;28;Sør;1;2;1;58.45817;6.00273;0;;
Ogna;027.6Z;3;Jæren;Ogna;1162;968;1356;0.89;TRUE;;TRUE;32;Sør;1;2;1;58.5167807;5.7927407;0;;
Fuglestadelva;027.7Z;3;Jæren;Fuglestad;387;290;483;0.92;TRUE;;TRUE;27;Sør;1;2;1;58.537356;5.7293124;0;;
Bjerkreimselva;027.Z;3;Jæren;Bjerkreim;4319;3239;5399;0.93;TRUE;;TRUE;25;Sør;1;2;1;58.4770835;5.9954466;0;;
Kvassheimelva;028.1Z;3;Jæren;Kvassheim;67;56;78;0.69;TRUE;;TRUE;30;Sør;1;2;1;58.547443;5.6807923;0;;
Søndre Varhaugselva;028.21Z;3;Jæren;Svarhaug;73;54;91;0.35;TRUE;;TRUE;34;Sør;1;2;1;58.60762;5.61483;0;;
Nordre Varhaugselva;028.22Z;3;Jæren;Nvarhaug;83;62;104;0.35;TRUE;;TRUE;31;Sør;1;2;1;58.61513;5.6078;0;;
Håelva;028.3Z;3;Jæren;Haaelv;1821;1366;2276;0.95;TRUE;;TRUE;29;Sør;1;2;1;58.6696092;5.5440178;0;;
Figgjo;028.Z;3;Jæren;Figgjo;2246;1871;2620;0.95;TRUE;;TRUE;26;Sør;1;2;1;58.8109072;5.5477289;0;;
Dirdalselva;030.2Z;11;Indre_Rogaland;Dirdal;310;233;466;0.99;TRUE;;FALSE;36;Sør;2;2;1;58.8391795;6.1843806;0;;
Espedalselva;030.4Z;11;Indre_Rogaland;Espedal;648;486;972;0.98;TRUE;;FALSE;35;Sør;2;2;1;58.8602693;6.1506015;0;;
Frafjordelva;030.Z;11;Indre_Rogaland;Frafjord;239;179;358;0.99;TRUE;;FALSE;37;Sør;2;2;1;58.8448289;6.2854862;0;;
Lyseelva;031.Z;11;Indre_Rogaland;Lyse;166;124;234;0.97;TRUE;;FALSE;41;Sør;2;2;1;59.0516239;6.6451511;0;;
Jørpelandsåna;032.Z;11;Indre_Rogaland;Jorpeland;111;83;166;0.94;TRUE;;FALSE;40;Sør;2;2;1;59.0166074;6.0438392;0;;
Årdalselva;033.Z;11;Indre_Rogaland;Aardal;892;669;1338;0.98;TRUE;;FALSE;51;Sør;2;2;0;59.1438894;6.1708072;0;;
Hjelmelandsåna;035.2Z;11;Indre_Rogaland;Hjelmeland;97;73;121;0.94;TRUE;;FALSE;38;Sør;1.5;2;1;59.2361529;6.1790421;0;;
Vormo;035.3Z;11;Indre_Rogaland;Vormo;300;225;375;0.95;TRUE;;FALSE;48;Sør;2;2;1;59.2716677;6.3326029;0;;
Hålandselva;035.7Z;11;Indre_Rogaland;Haaland;119;89;178;0.97;TRUE;;FALSE;39;Sør;2;2;1;59.348475;6.2380306;0;;
Ulla;035.Z;11;Indre_Rogaland;Ulla;178;133;266;0.99;TRUE;;FALSE;46;Sør;2;2;1;59.3244378;6.4334898;0;;
Suldalslågen;036.Z;11;Indre_Rogaland;Suldal;2318;1738;3477;0.99;TRUE;;FALSE;44;Sør;3;2;0;59.4811687;6.2501649;0;;
Nordelva (Åbøelva);037.2Z;11;Indre_Rogaland;NordelvaSauda;55;41;82;0.93;TRUE;;FALSE;49;Sør;1.5;2;1;59.64696;6.35309;0;;
Storelva (Sauda);037.Z;11;Indre_Rogaland;StorelvaSauda;174;87;260;0.96;TRUE;;FALSE;43;Sør;1.5;2;1;59.64679;6.3536;0;;
Rødneelva;038.3Z;11;Indre_Rogaland;Rodne;123;93;154;0.88;TRUE;;FALSE;42;Sør;1.5;2;1;59.5405289;5.8698606;0;;
