Kommune;Østlandet;Agderkysten;Jæren;Kysten_fra_Stadt_til_Stavanger;Kysten_av_Møre_og_Romsdal;Kysten_av_Trøndelag;Nordlandskysten_sør_for_Vestfjorden;Lofoten_og_Vesterålen;Kysten_av_Troms;Kysten_av_Finnmark;Indre_Rogaland;Indre_Hordaland;Sognefjorden;Indre_Fjordane;Fjordene_i_Møre_og_Romsdal;Fjordstrøk_i_Trøndelag;Indre_Helgeland;Ofoten_og_Indre_Salten;Fjordstrøkene_i_Troms;Fjordene_i_Vest-Finnmark;Porsangerfjorden;Tanafjorden;Indre_Varanger
0101 Halden (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0102 Sarpsborg (-1991);1;;;;;;;;;;;;;;;;;;;;;;
0103 Fredrikstad (-1993);1;;;;;;;;;;;;;;;;;;;;;;
0104 Moss (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0105 Sarpsborg (1992-2019);1;;;;;;;;;;;;;;;;;;;;;;
0106 Fredrikstad (1994-2019);1;;;;;;;;;;;;;;;;;;;;;;
0111 Hvaler (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0113 Borge (-1993);1;;;;;;;;;;;;;;;;;;;;;;
0114 Varteig (-1991);1;;;;;;;;;;;;;;;;;;;;;;
0115 Skjeberg (-1991);1;;;;;;;;;;;;;;;;;;;;;;
0116 Berg  (-1966);1;;;;;;;;;;;;;;;;;;;;;;
0117 Idd (-1966);1;;;;;;;;;;;;;;;;;;;;;;
0118 Aremark (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0119 Marker (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0121 Rømskog (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0122 Trøgstad (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0123 Spydeberg (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0124 Askim (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0125 Eidsberg (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0127 Skiptvet (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0128 Rakkestad (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0130 Tune (-1991);1;;;;;;;;;;;;;;;;;;;;;;
0131 Rolvsøy (1911-1993);1;;;;;;;;;;;;;;;;;;;;;;
0133 Kråkerøy (1908-1993);1;;;;;;;;;;;;;;;;;;;;;;
0134 Onsøy (-1993);1;;;;;;;;;;;;;;;;;;;;;;
0135 Råde (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0136 Rygge (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0137 Våler (Østfold) (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0138 Hobøl (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0199 Uoppgitt kommune Østfold;1;;;;;;;;;;;;;;;;;;;;;;
0601 Ringerike (1964-1976);1;;;;;;;;;;;;;;;;;;;;;;
0602 Drammen (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0604 Kongsberg (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0605 Ringerike (1977-2019);1;;;;;;;;;;;;;;;;;;;;;;
0612 Hole (1977-2019);1;;;;;;;;;;;;;;;;;;;;;;
0615 Flå (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0616 Nes (Buskerud) (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0617 Gol (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0618 Hemsedal (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0619 Ål (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0620 Hol (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0621 Sigdal (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0622 Krødsherad (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0623 Modum (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0624 Øvre Eiker (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0625 Nedre Eiker (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0626 Lier (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0627 Røyken (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0628 Hurum (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0631 Flesberg (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0632 Rollag (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0633 Nore og Uvdal (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0699 Uoppgitt kommune Buskerud;1;;;;;;;;;;;;;;;;;;;;;;
0701 Horten (2002-2019);1;;;;;;;;;;;;;;;;;;;;;;
0702 Holmestrand (-2017);1;;;;;;;;;;;;;;;;;;;;;;
0703 Horten (-1987);1;;;;;;;;;;;;;;;;;;;;;;
0704 Tønsberg (1988-2019);1;;;;;;;;;;;;;;;;;;;;;;
0705 Tønsberg (-1987);1;;;;;;;;;;;;;;;;;;;;;;
0706 Sandefjord (-2016);1;;;;;;;;;;;;;;;;;;;;;;
0707 Larvik (-1987);1;;;;;;;;;;;;;;;;;;;;;;
0708 Stavern (1944-1987);1;;;;;;;;;;;;;;;;;;;;;;
0709 Larvik (1988-2017);1;;;;;;;;;;;;;;;;;;;;;;
0710 Sandefjord (2017-2019);1;;;;;;;;;;;;;;;;;;;;;;
0711 Svelvik (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0712 Larvik (2018-2019);1;;;;;;;;;;;;;;;;;;;;;;
0713 Sande (Vestfold) (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0714 Hof (-2017);1;;;;;;;;;;;;;;;;;;;;;;
0715 Holmestrand (2018-2019);1;;;;;;;;;;;;;;;;;;;;;;
0716 Re (2002-2019);1;;;;;;;;;;;;;;;;;;;;;;
0717 Borre (-1987);1;;;;;;;;;;;;;;;;;;;;;;
0718 Ramnes (-2001);1;;;;;;;;;;;;;;;;;;;;;;
0719 Andebu (-2016);1;;;;;;;;;;;;;;;;;;;;;;
0720 Stokke (-2016);1;;;;;;;;;;;;;;;;;;;;;;
0721 Sem (-1987);1;;;;;;;;;;;;;;;;;;;;;;
0722 Nøtterøy (-2017);1;;;;;;;;;;;;;;;;;;;;;;
0723 Tjøme (-2017);1;;;;;;;;;;;;;;;;;;;;;;
0724 Sandar (-1967);1;;;;;;;;;;;;;;;;;;;;;;
0725 Tjølling (-1987);1;;;;;;;;;;;;;;;;;;;;;;
0726 Brunlanes (-1987);1;;;;;;;;;;;;;;;;;;;;;;
0727 Hedrum (-1987);1;;;;;;;;;;;;;;;;;;;;;;
0728 Lardal (-2017);1;;;;;;;;;;;;;;;;;;;;;;
0729 Færder (2018-2019);1;;;;;;;;;;;;;;;;;;;;;;
0799 Uoppgitt kommune Vestfold;1;;;;;;;;;;;;;;;;;;;;;;
0805 Porsgrunn (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0806 Skien (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0807 Notodden (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0811 Siljan (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0814 Bamble (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0815 Kragerø (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0817 Drangedal (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0819 Nome (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0821 Bø (Telemark) (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0822 Sauherad (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0826 Tinn (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0827 Hjartdal (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0828 Seljord (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0829 Kviteseid (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0830 Nissedal (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0831 Fyresdal (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0833 Tokke (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0834 Vinje (-2019);1;;;;;;;;;;;;;;;;;;;;;;
0899 Uoppgitt kommune Telemark;1;;;;;;;;;;;;;;;;;;;;;;
0901 Risør (-2019);;1;;;;;;;;;;;;;;;;;;;;;
0903 Arendal (-1991);;1;;;;;;;;;;;;;;;;;;;;;
0904 Grimstad (-2019);;1;;;;;;;;;;;;;;;;;;;;;
0906 Arendal (1992-2019);;1;;;;;;;;;;;;;;;;;;;;;
0911 Gjerstad (-2019);;1;;;;;;;;;;;;;;;;;;;;;
0912 Vegårshei (-2019);;1;;;;;;;;;;;;;;;;;;;;;
0914 Tvedestrand (-2019);;1;;;;;;;;;;;;;;;;;;;;;
0918 Moland (1962-1991);;1;;;;;;;;;;;;;;;;;;;;;
0919 Froland (-2019);;1;;;;;;;;;;;;;;;;;;;;;
0920 Øyestad (-1991);;1;;;;;;;;;;;;;;;;;;;;;
0921 Tromøy (-1991);;1;;;;;;;;;;;;;;;;;;;;;
0922 Hisøy (-1991);;1;;;;;;;;;;;;;;;;;;;;;
0923 Fjære (-1970);;1;;;;;;;;;;;;;;;;;;;;;
0924 Landvik (-1970);;1;;;;;;;;;;;;;;;;;;;;;
0926 Lillesand (-2019);;1;;;;;;;;;;;;;;;;;;;;;
0928 Birkenes (-2019);;1;;;;;;;;;;;;;;;;;;;;;
0929 Åmli (-2019);;1;;;;;;;;;;;;;;;;;;;;;
0932 Mykland (-1966);;1;;;;;;;;;;;;;;;;;;;;;
0933 Herefoss (-1966);;1;;;;;;;;;;;;;;;;;;;;;
0935 Iveland (-2019);;1;;;;;;;;;;;;;;;;;;;;;
0937 Evje og Hornnes (-2019);;1;;;;;;;;;;;;;;;;;;;;;
0938 Bygland (-2019);;1;;;;;;;;;;;;;;;;;;;;;
0940 Valle (-2019);;1;;;;;;;;;;;;;;;;;;;;;
0941 Bykle (-2019);;1;;;;;;;;;;;;;;;;;;;;;
0999 Uoppgitt kommune Aust-Agder;;1;;;;;;;;;;;;;;;;;;;;;
1001 Kristiansand (-2019);;1;;;;;;;;;;;;;;;;;;;;;
1002 Mandal (-2019);;1;;;;;;;;;;;;;;;;;;;;;
1003 Farsund (-2019);;1;;;;;;;;;;;;;;;;;;;;;
