Aar;VdrNr;Vassdrag;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
1993;001.1Z;Enningdalselva (Berbyelva);338;80;113;184;16;13;0;0;0;0;0;0
1994;001.1Z;Enningdalselva (Berbyelva);12;91;270;6;18;31;0;0;0;0;0;0
1995;001.1Z;Enningdalselva (Berbyelva);209;247;511;109;45;55;0;0;0;0;0;0
1996;001.1Z;Enningdalselva (Berbyelva);168;463;452;83;89;49;0;0;0;0;0;0
1997;001.1Z;Enningdalselva (Berbyelva);35;208;220;18;40;24;0;0;0;0;0;0
1998;001.1Z;Enningdalselva (Berbyelva);183;276;177;110;55;21;0;0;0;0;0;0
1999;001.1Z;Enningdalselva (Berbyelva);110;400;266;58;78;30;0;0;0;0;0;0
2000;001.1Z;Enningdalselva (Berbyelva);174;430;372;79;87;42;0;0;0;0;0;0
2001;001.1Z;Enningdalselva (Berbyelva);52;317;258;22;60;28;0;0;0;0;0;0
2002;001.1Z;Enningdalselva (Berbyelva);92;262;170;45;47;20;0;0;0;0;0;0
2003;001.1Z;Enningdalselva (Berbyelva);79;543;446;39;104;46;0;0;0;0;0;0
2004;001.1Z;Enningdalselva (Berbyelva);105;182;146;57;37;16;0;0;0;0;0;0
2005;001.1Z;Enningdalselva (Berbyelva);63;492;328;34;98;37;0;0;0;0;0;0
2006;001.1Z;Enningdalselva (Berbyelva);21;552;412;14;107;45;0;0;0;0;0;0
2007;001.1Z;Enningdalselva (Berbyelva);60;333;265;38;66;29;0;0;0;0;0;0
2008;001.1Z;Enningdalselva (Berbyelva);48;199;343;22;44;38;0;0;0;0;0;0
2009;001.1Z;Enningdalselva (Berbyelva);60;321;416;36;67;48;3;65;120;3;14;15
2010;001.1Z;Enningdalselva (Berbyelva);74;406;569;41;85;68;39;123;72;27;26;9
2011;001.1Z;Enningdalselva (Berbyelva);76;514;339;36;98;41;13;71;96;8;14;12
2012;001.1Z;Enningdalselva (Berbyelva);30;342;695;17;72;81;19;40;102;11;8;12
2013;001.1Z;Enningdalselva (Berbyelva);36;312;405;19;59;48;4;40;98;2;7;12
2014;001.1Z;Enningdalselva (Berbyelva);9;143;190;6;27;22;6;38;7;4;8;1
2015;001.1Z;Enningdalselva (Berbyelva);32;343;608;18;60;70;15;208;110;7;43;14
2016;001.1Z;Enningdalselva (Berbyelva);12;158;206;7;31;25;5;17;25;4;4;3
2017;001.1Z;Enningdalselva (Berbyelva);7;202;214;4;38;23;4;16;17;2;3;2
2018;001.1Z;Enningdalselva (Berbyelva);2;55;110;1;10;13;0;20;0;0;4;0
2019;001.1Z;Enningdalselva (Berbyelva);0;79;68;0;15;8;1;15;0;1;3;0
2020;001.1Z;Enningdalselva (Berbyelva);3;77;215;2;16;24;0;0;0;0;0;0
2021;001.1Z;Enningdalselva (Berbyelva);0;64;284;0;12;34;11;73;189;5;15;22
2022;001.1Z;Enningdalselva (Berbyelva);0;0;0;0;0;0;6;22;32;3;4;4
2023;001.1Z;Enningdalselva (Berbyelva);1;23;101;1;4;11;2;74;75;1;14;9
2024;001.1Z;Enningdalselva (Berbyelva);5;43;36;2;9;4;43;165;89;20;35;11
1993;001.22Z;Furuvarpbekken;0;0;0;0;0;0;0;0;0;0;0;0
1994;001.22Z;Furuvarpbekken;0;0;0;0;0;0;0;0;0;0;0;0
1995;001.22Z;Furuvarpbekken;0;0;0;0;0;0;0;0;0;0;0;0
1996;001.22Z;Furuvarpbekken;0;0;0;0;0;0;0;0;0;0;0;0
1997;001.22Z;Furuvarpbekken;0;0;0;0;0;0;0;0;0;0;0;0
1998;001.22Z;Furuvarpbekken;0;0;0;0;0;0;0;0;0;0;0;0
1999;001.22Z;Furuvarpbekken;0;0;0;0;0;0;0;0;0;0;0;0
2000;001.22Z;Furuvarpbekken;0;0;0;0;0;0;0;0;0;0;0;0
2001;001.22Z;Furuvarpbekken;0;0;0;0;0;0;0;0;0;0;0;0
2002;001.22Z;Furuvarpbekken;0;0;0;0;0;0;0;0;0;0;0;0
2003;001.22Z;Furuvarpbekken;0;0;0;0;0;0;0;0;0;0;0;0
2004;001.22Z;Furuvarpbekken;0;0;0;0;0;0;0;0;0;0;0;0
2005;001.22Z;Furuvarpbekken;0;0;0;0;0;0;0;0;0;0;0;0
2006;001.22Z;Furuvarpbekken;0;0;0;0;0;0;0;0;0;0;0;0
2007;001.22Z;Furuvarpbekken;0;0;0;0;0;0;0;0;0;0;0;0
2008;001.22Z;Furuvarpbekken;0;0;0;0;0;0;0;0;0;0;0;0
2009;001.22Z;Furuvarpbekken;0;0;0;0;0;0;0;0;0;0;0;0
2010;001.22Z;Furuvarpbekken;0;0;0;0;0;0;0;0;0;0;0;0
2011;001.22Z;Furuvarpbekken;0;0;0;0;0;0;0;0;0;0;0;0
2012;001.22Z;Furuvarpbekken;0;0;0;0;0;0;0;0;0;0;0;0
2013;001.22Z;Furuvarpbekken;0;0;0;0;0;0;0;0;0;0;0;0
2014;001.22Z;Furuvarpbekken;0;0;0;0;0;0;0;0;0;0;0;0
2015;001.22Z;Furuvarpbekken;0;0;0;0;0;0;0;0;0;0;0;0
2016;001.22Z;Furuvarpbekken;0;0;0;0;0;0;0;0;0;0;0;0
2017;001.22Z;Furuvarpbekken;0;0;0;0;0;0;0;0;0;0;0;0
2018;001.22Z;Furuvarpbekken;0;0;0;0;0;0;0;0;0;0;0;0
2019;001.22Z;Furuvarpbekken;0;0;0;0;0;0;0;0;0;0;0;0
2020;001.22Z;Furuvarpbekken;0;0;0;0;0;0;0;0;0;0;0;0
2021;001.22Z;Furuvarpbekken;0;0;0;0;0;0;0;0;0;0;0;0
2022;001.22Z;Furuvarpbekken;0;0;0;0;0;0;0;0;0;0;0;0
2023;001.22Z;Furuvarpbekken;0;0;0;0;0;0;0;0;0;0;0;0
2024;001.22Z;Furuvarpbekken;0;0;0;0;0;0;0;0;0;0;0;0
1993;001.Z;Tista;0;0;0;0;0;0;0;0;0;0;0;0
