"Aar";"VdrNr";"Vassdrag";"Laks_vekt_u3kg";"Laks_vekt_o3u7kg";"Laks_vekt_o7kg";"Laks_ant_u3kg";"Laks_ant_o3u7kg";"Laks_ant_o7kg";"Gjen_vekt_u3kg";"Gjen_vekt_o3u7kg";"Gjen_vekto7kg";"Gjen_ant_u3kg";"Gjen_ant_o3u7kg";"Gjen_ant_o7kg"
2010;"001.1Z";"Enningdalselva (Berbyelva)";74;406;569;41;85;68;39;123;72;27;26;9
2010;"001.22Z";"Furuvarpbekken";0;0;0;0;0;0;0;0;0;0;0;0
2010;"001.Z";"Tista";11;197;42;5;39;5;0;22;8;0;4;1
2010;"002.Z";"Glommavassdraget";98;648;388;49;140;44;20;65;33;12;15;4
2010;"004.Z";"Hølenelva";0;0;0;0;0;0;0;0;0;0;0;0
2010;"005.4Z";"Gjersjøelva";3;5;0;2;1;0;0;0;0;0;0;0
2010;"006.Z";"Akerselva";1;0;0;1;0;0;0;0;0;0;0;0
2010;"007.1Z";"Hoffselva";0;0;0;0;0;0;0;0;0;0;0;0
2010;"007.Z";"Lysakerelva";34;56;0;19;14;0;7;0;0;7;0;0
2010;"008.2Z";"Neselva i Asker";0;0;0;0;0;0;0;0;0;0;0;0
2010;"008.Z";"Sandvikselva";141;239;8;70;60;1;25;28;0;14;7;0
2010;"009.1Z";"Askerelva";0;0;0;0;0;0;0;0;0;0;0;0
2010;"009.Z";"Åroselva";27;100;15;19;21;2;0;0;0;0;0;0
2010;"011.Z";"Lierelva";195;254;33;122;62;4;0;0;0;0;0;0
2010;"012.Z";"Drammenselva";1384;5101;5478;742;1114;621;0;0;0;0;0;0
2010;"013.1Z";"Selvikelva";0;0;0;0;0;0;0;0;0;0;0;0
2010;"013.Z";"Sandevassdraget";0;0;0;0;0;0;0;0;0;0;0;0
2010;"014.Z";"Aulielva";0;0;0;0;0;0;0;0;0;0;0;0
2010;"014.ZY2";"Merkedamselva";0;0;0;0;0;0;0;0;0;0;0;0
2010;"015.Z";"Numedalslågen";1337;3553;2839;783;764;332;89;288;167;43;63;21
2010;"016.4Z";"Herrevassdraget (Bamble)";16;6;7;7;1;1;0;0;0;0;0;0
2010;"016.Z";"Skiensvassdraget";553;562;122;317;136;15;2;0;0;1;0;0
2010;"017.Z";"Kammerfossvassdraget";0;0;0;0;0;0;0;0;0;0;0;0
2010;"018.2Z";"Søndeledelva/Gjerstadelva";0;0;0;0;0;0;0;0;0;0;0;0
2010;"018.7Z";"Langgangvassdraget til Molandsvannet";0;0;0;0;0;0;0;0;0;0;0;0
2010;"018.Z";"Vegårvassdraget (Storelva i Holt)";12;7;0;6;2;0;6;0;0;3;0;0
2010;"019.Z";"Nidelva (Arendalsvassdraget)";214;202;8;129;47;1;3;5;0;2;1;0
2010;"020.1Z";"Grimeelv (Kaldvell)";0;0;0;0;0;0;0;0;0;0;0;0
2010;"020.Z";"Tovdalselva";536;286;87;327;70;10;200;78;44;157;19;5
2010;"021.Z";"Otra";3212;2586;527;1914;665;59;418;117;0;327;31;0
2010;"022.1Z";"Songdalselva";0;0;0;0;0;0;0;0;0;0;0;0
2010;"022.2Z";"Lundeelva";0;0;0;0;0;0;0;0;0;0;0;0
2010;"022.Z";"Mandalselva";2633;1937;283;1581;491;35;729;119;22;548;32;3
2010;"023.Z";"Audna (Audnedalselva)";114;41;0;77;11;0;13;0;0;10;0;0
2010;"024.Z";"Lyngdalselva (Lygna)";474;145;67;286;39;5;175;7;0;140;2;0
2010;"025.3Z";"Feda (Fedeelva)";0;0;0;0;0;0;0;0;0;0;0;0
2010;"025.Z";"Kvina (Kvinedalselva)";137;179;47;82;45;6;9;12;0;7;3;0
2010;"026.Z";"Åna-Sira";64;163;26;35;38;3;0;0;0;0;0;0
