fylke;region;komnr;aar;Laks under 3 kg (kg);Laks 3 - 6,9 kg (kg);Laks 7 kg og over (kg);Laks under 3 kg (stk);Laks 3 - 6,9 kg (stk);Laks 7 kg og over (stk)
01;0101 Halden (-2019);0101 ;1993;171;579;274;76;120;33
01;0101 Halden (-2019);0101 ;1994;63;455;200;28;95;24
01;0101 Halden (-2019);0101 ;1995;171;250;115;75;56;13
01;0101 Halden (-2019);0101 ;1996;91;517;165;39;102;19
01;0101 Halden (-2019);0101 ;1997;24;238;54;10;45;6
01;0101 Halden (-2019);0101 ;1998;55;183;55;23;35;7
01;0101 Halden (-2019);0101 ;1999;10;157;63;4;33;7
01;0101 Halden (-2019);0101 ;2000;31;256;83;13;55;9
01;0101 Halden (-2019);0101 ;2001;34;231;56;14;47;7
01;0101 Halden (-2019);0101 ;2002;28;357;117;13;70;15
01;0101 Halden (-2019);0101 ;2003;41;269;80;17;54;9
01;0101 Halden (-2019);0101 ;2004;26;143;105;11;28;12
01;0101 Halden (-2019);0101 ;2005;31;430;147;13;85;17
01;0101 Halden (-2019);0101 ;2006;5;248;128;3;54;16
01;0101 Halden (-2019);0101 ;2007;18;357;90;8;77;10
01;0101 Halden (-2019);0101 ;2008;17;491;109;7;108;13
01;0101 Halden (-2019);0101 ;2009;32;379;244;13;83;29
01;0101 Halden (-2019);0101 ;2010;38;223;91;15;53;11
01;0101 Halden (-2019);0101 ;2011;12;267;32;5;54;4
01;0101 Halden (-2019);0101 ;2012;11;150;128;4;32;15
01;0101 Halden (-2019);0101 ;2013;18;132;106;7;29;12
01;0101 Halden (-2019);0101 ;2014;10;130;41;4;28;4
01;0101 Halden (-2019);0101 ;2015;10;125;86;4;29;11
01;0101 Halden (-2019);0101 ;2016;3;133;112;1;26;12
01;0101 Halden (-2019);0101 ;2017;10;111;116;4;22;14
01;0101 Halden (-2019);0101 ;2018;8;142;35;3;26;4
01;0101 Halden (-2019);0101 ;2019;8;143;16;3;30;2
01;0102 Sarpsborg (-1991);0102 ;1993;0;0;0;0;0;0
01;0102 Sarpsborg (-1991);0102 ;1994;0;0;0;0;0;0
01;0102 Sarpsborg (-1991);0102 ;1995;0;0;0;0;0;0
01;0102 Sarpsborg (-1991);0102 ;1996;0;0;0;0;0;0
01;0102 Sarpsborg (-1991);0102 ;1997;0;0;0;0;0;0
01;0102 Sarpsborg (-1991);0102 ;1998;0;0;0;0;0;0
01;0102 Sarpsborg (-1991);0102 ;1999;0;0;0;0;0;0
01;0102 Sarpsborg (-1991);0102 ;2000;0;0;0;0;0;0
01;0102 Sarpsborg (-1991);0102 ;2001;0;0;0;0;0;0
01;0102 Sarpsborg (-1991);0102 ;2002;0;0;0;0;0;0
01;0102 Sarpsborg (-1991);0102 ;2003;0;0;0;0;0;0
01;0102 Sarpsborg (-1991);0102 ;2004;0;0;0;0;0;0
01;0102 Sarpsborg (-1991);0102 ;2005;0;0;0;0;0;0
01;0102 Sarpsborg (-1991);0102 ;2006;0;0;0;0;0;0
01;0102 Sarpsborg (-1991);0102 ;2007;0;0;0;0;0;0
01;0102 Sarpsborg (-1991);0102 ;2008;0;0;0;0;0;0
01;0102 Sarpsborg (-1991);0102 ;2009;0;0;0;0;0;0
01;0102 Sarpsborg (-1991);0102 ;2010;0;0;0;0;0;0
01;0102 Sarpsborg (-1991);0102 ;2011;0;0;0;0;0;0
01;0102 Sarpsborg (-1991);0102 ;2012;0;0;0;0;0;0
01;0102 Sarpsborg (-1991);0102 ;2013;0;0;0;0;0;0
01;0102 Sarpsborg (-1991);0102 ;2014;0;0;0;0;0;0
01;0102 Sarpsborg (-1991);0102 ;2015;0;0;0;0;0;0
01;0102 Sarpsborg (-1991);0102 ;2016;0;0;0;0;0;0
01;0102 Sarpsborg (-1991);0102 ;2017;0;0;0;0;0;0
01;0102 Sarpsborg (-1991);0102 ;2018;0;0;0;0;0;0
01;0102 Sarpsborg (-1991);0102 ;2019;0;0;0;0;0;0
01;0103 Fredrikstad (-1993);0103 ;1993;0;0;0;0;0;0
01;0103 Fredrikstad (-1993);0103 ;1994;0;0;0;0;0;0
01;0103 Fredrikstad (-1993);0103 ;1995;0;0;0;0;0;0
01;0103 Fredrikstad (-1993);0103 ;1996;0;0;0;0;0;0
01;0103 Fredrikstad (-1993);0103 ;1997;0;0;0;0;0;0
01;0103 Fredrikstad (-1993);0103 ;1998;0;0;0;0;0;0
01;0103 Fredrikstad (-1993);0103 ;1999;0;0;0;0;0;0
01;0103 Fredrikstad (-1993);0103 ;2000;0;0;0;0;0;0
01;0103 Fredrikstad (-1993);0103 ;2001;0;0;0;0;0;0
01;0103 Fredrikstad (-1993);0103 ;2002;0;0;0;0;0;0
01;0103 Fredrikstad (-1993);0103 ;2003;0;0;0;0;0;0
01;0103 Fredrikstad (-1993);0103 ;2004;0;0;0;0;0;0
01;0103 Fredrikstad (-1993);0103 ;2005;0;0;0;0;0;0
01;0103 Fredrikstad (-1993);0103 ;2006;0;0;0;0;0;0
01;0103 Fredrikstad (-1993);0103 ;2007;0;0;0;0;0;0
01;0103 Fredrikstad (-1993);0103 ;2008;0;0;0;0;0;0
01;0103 Fredrikstad (-1993);0103 ;2009;0;0;0;0;0;0
01;0103 Fredrikstad (-1993);0103 ;2010;0;0;0;0;0;0
01;0103 Fredrikstad (-1993);0103 ;2011;0;0;0;0;0;0
01;0103 Fredrikstad (-1993);0103 ;2012;0;0;0;0;0;0
01;0103 Fredrikstad (-1993);0103 ;2013;0;0;0;0;0;0
01;0103 Fredrikstad (-1993);0103 ;2014;0;0;0;0;0;0
01;0103 Fredrikstad (-1993);0103 ;2015;0;0;0;0;0;0
01;0103 Fredrikstad (-1993);0103 ;2016;0;0;0;0;0;0
01;0103 Fredrikstad (-1993);0103 ;2017;0;0;0;0;0;0
01;0103 Fredrikstad (-1993);0103 ;2018;0;0;0;0;0;0
01;0103 Fredrikstad (-1993);0103 ;2019;0;0;0;0;0;0
01;0104 Moss (-2019);0104 ;1993;0;0;0;0;0;0
01;0104 Moss (-2019);0104 ;1994;0;0;0;0;0;0
01;0104 Moss (-2019);0104 ;1995;:;:;:;:;:;:
01;0104 Moss (-2019);0104 ;1996;0;0;0;0;0;0
01;0104 Moss (-2019);0104 ;1997;:;:;:;:;:;:
01;0104 Moss (-2019);0104 ;1998;:;:;:;:;:;:
01;0104 Moss (-2019);0104 ;1999;:;:;:;:;:;:
01;0104 Moss (-2019);0104 ;2000;:;:;:;:;:;:
01;0104 Moss (-2019);0104 ;2001;:;:;:;:;:;:
01;0104 Moss (-2019);0104 ;2002;:;:;:;:;:;:
01;0104 Moss (-2019);0104 ;2003;:;:;:;:;:;:
01;0104 Moss (-2019);0104 ;2004;:;:;:;:;:;:
01;0104 Moss (-2019);0104 ;2005;:;:;:;:;:;:
01;0104 Moss (-2019);0104 ;2006;:;:;:;:;:;:
01;0104 Moss (-2019);0104 ;2007;:;:;:;:;:;:
01;0104 Moss (-2019);0104 ;2008;:;:;:;:;:;:
01;0104 Moss (-2019);0104 ;2009;:;:;:;:;:;:
01;0104 Moss (-2019);0104 ;2010;0;0;0;0;0;0
01;0104 Moss (-2019);0104 ;2011;0;0;0;0;0;0
01;0104 Moss (-2019);0104 ;2012;0;0;0;0;0;0
01;0104 Moss (-2019);0104 ;2013;0;0;0;0;0;0
01;0104 Moss (-2019);0104 ;2014;0;0;0;0;0;0
01;0104 Moss (-2019);0104 ;2015;0;0;0;0;0;0
01;0104 Moss (-2019);0104 ;2016;0;0;0;0;0;0
01;0104 Moss (-2019);0104 ;2017;0;0;0;0;0;0
01;0104 Moss (-2019);0104 ;2018;:;:;:;:;:;:
01;0104 Moss (-2019);0104 ;2019;:;:;:;:;:;:
01;0105 Sarpsborg (1992-2019);0105 ;1993;0;0;0;0;0;0
01;0105 Sarpsborg (1992-2019);0105 ;1994;0;0;0;0;0;0
01;0105 Sarpsborg (1992-2019);0105 ;1995;0;0;0;0;0;0
01;0105 Sarpsborg (1992-2019);0105 ;1996;0;0;0;0;0;0
01;0105 Sarpsborg (1992-2019);0105 ;1997;0;0;0;0;0;0
01;0105 Sarpsborg (1992-2019);0105 ;1998;0;0;0;0;0;0
01;0105 Sarpsborg (1992-2019);0105 ;1999;0;0;0;0;0;0
01;0105 Sarpsborg (1992-2019);0105 ;2000;0;0;0;0;0;0
01;0105 Sarpsborg (1992-2019);0105 ;2001;0;0;0;0;0;0
01;0105 Sarpsborg (1992-2019);0105 ;2002;0;0;0;0;0;0
01;0105 Sarpsborg (1992-2019);0105 ;2003;0;0;0;0;0;0
01;0105 Sarpsborg (1992-2019);0105 ;2004;0;0;0;0;0;0
01;0105 Sarpsborg (1992-2019);0105 ;2005;0;0;0;0;0;0
