Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Lysakerelva;007.Z;1993;0.57;;0.4;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Lysakerelva;007.Z;1994;0.57;;0.4;;;FALSE;8;7;0;3;2;0;0;0;0;0;0;0
Lysakerelva;007.Z;1995;0.57;;0.4;;;FALSE;0;3;0;0;1;0;0;0;0;0;0;0
Lysakerelva;007.Z;1996;0.57;;0.4;;;FALSE;5;0;0;3;0;0;0;0;0;0;0;0
Lysakerelva;007.Z;1997;0.57;;0.4;;;FALSE;26;35;0;23;8;0;0;0;0;0;0;0
Lysakerelva;007.Z;1998;0.57;;0.4;;;FALSE;14;17;0;8;4;0;0;0;0;0;0;0
Lysakerelva;007.Z;1999;0.57;;0.4;;;FALSE;23;6;14;13;1;2;0;0;0;0;0;0
Lysakerelva;007.Z;2000;0.57;;0.4;;;FALSE;12;10;0;5;2;0;0;0;0;0;0;0
Lysakerelva;007.Z;2001;0.57;;0.4;;;FALSE;30;0;0;14;0;0;0;0;0;0;0;0
Lysakerelva;007.Z;2002;0.57;;0.4;;;FALSE;5;0;0;3;0;0;0;0;0;0;0;0
Lysakerelva;007.Z;2003;0.57;;0.4;;;FALSE;24;11;8;12;3;1;0;0;0;0;0;0
Lysakerelva;007.Z;2004;0.57;;0.4;;;FALSE;8;0;0;4;0;0;0;0;0;0;0;0
Lysakerelva;007.Z;2005;0.57;;0.4;;;FALSE;4;0;0;2;0;0;0;0;0;0;0;0
Lysakerelva;007.Z;2006;0.57;;0.4;;;FALSE;12;6;0;7;1;0;0;0;0;0;0;0
Lysakerelva;007.Z;2007;0.57;;0.4;;;FALSE;14;19;0;9;4;0;0;0;0;0;0;0
Lysakerelva;007.Z;2008;0.57;;0.4;;;FALSE;26;40;0;11;10;0;0;0;0;0;0;0
Lysakerelva;007.Z;2009;0.57;;0.4;;;FALSE;15;21;7;11;5;1;0;0;0;0;0;0
Lysakerelva;007.Z;2010;0.57;;0.4;;;FALSE;34;56;0;19;14;0;7;0;0;7;0;0
Lysakerelva;007.Z;2011;0.57;;0.4;;;FALSE;21;55;0;11;13;0;0;0;0;0;0;0
Lysakerelva;007.Z;2012;0.57;;0.4;;;FALSE;13;32;8;6;8;1;5;0;7;4;0;1
Lysakerelva;007.Z;2013;0.57;;0.4;;;FALSE;9;0;0;7;0;0;1;0;0;1;0;0
Lysakerelva;007.Z;2014;0.57;;0.4;;;FALSE;5;3;0;3;1;0;3;0;0;3;0;0
Lysakerelva;007.Z;2015;0.57;;0.4;;;FALSE;15;24;0;7;6;0;24;13;7;15;3;1
Lysakerelva;007.Z;2016;0.57;;0.4;;;FALSE;16;10;0;8;2;0;0;0;0;0;0;0
Lysakerelva;007.Z;2017;0.57;;0.4;;;FALSE;176;51;0;95;11;0;67;28;0;39;8;0
Lysakerelva;007.Z;2018;0.57;;0.4;;;FALSE;45;38;38;22;8;5;47;181;36;25;39;4
Lysakerelva;007.Z;2019;0.57;;0.4;;;FALSE;30;48;19;18;10;2;19;40;10;11;8;1
Lysakerelva;007.Z;2020;0.57;;0.4;;;FALSE;36.3;13.7;8.5;21;3;1;21.3;22;8.6;14;5;1
Lysakerelva;007.Z;2021;0.57;;0.4;;;FALSE;9;5;0;5;1;0;4;0;0;2;0;0
Lysakerelva;007.Z;2022;0.57;;0.4;;;FALSE;18;46;24;9;11;3;24;35;0;14;7;0
Lysakerelva;007.Z;2023;0.57;;0.4;;;FALSE;31;55;7;19;13;1;21;36;0;13;9;0
Lysakerelva;007.Z;2024;0.57;;0.4;;;FALSE;29;22;0;15;5;0;27;65;0;16;13;0
