Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Drammenselva;012.Z;1993;0.57;NA;0.5;NA;NA;FALSE;1797;1399;3910;894;280;342;0;0;0;0;0;0
Drammenselva;012.Z;1994;0.57;NA;0.5;NA;NA;FALSE;2268;2574;2579;862;539;325;0;0;0;0;0;0
Drammenselva;012.Z;1995;0.57;NA;0.5;NA;NA;FALSE;2775;2276;2397;1094;473;296;0;0;0;0;0;0
Drammenselva;012.Z;1996;0.57;NA;0.5;NA;NA;FALSE;1431;3777;3194;685;697;355;0;0;0;0;0;0
Drammenselva;012.Z;1997;0.57;NA;0.5;NA;NA;FALSE;1651;2008;1987;798;379;206;0;0;0;0;0;0
Drammenselva;012.Z;1998;0.57;NA;0.5;NA;NA;FALSE;1224;2798;2342;718;514;259;0;0;0;0;0;0
Drammenselva;012.Z;1999;0.57;NA;0.5;NA;NA;FALSE;2681;1692;1502;1327;318;154;0;0;0;0;0;0
Drammenselva;012.Z;2000;0.57;NA;0.5;NA;NA;FALSE;2505;3448;2687;1171;673;302;0;0;0;0;0;0
Drammenselva;012.Z;2001;0.57;NA;0.5;NA;NA;FALSE;2066;4819;3427;981;936;355;0;0;0;0;0;0
Drammenselva;012.Z;2002;0.57;NA;0.5;NA;NA;FALSE;2977;3829;3301;1534;719;379;0;0;0;0;0;0
Drammenselva;012.Z;2003;0.57;NA;0.5;NA;NA;FALSE;2406;8156;5191;1175;1603;594;0;0;0;0;0;0
Drammenselva;012.Z;2004;0.57;NA;0.5;NA;NA;FALSE;1242;5128;7163;632;939;805;0;0;0;0;0;0
Drammenselva;012.Z;2005;0.57;NA;0.5;NA;NA;FALSE;1059;3321;5364;541;635;550;0;0;0;0;0;0
Drammenselva;012.Z;2006;0.57;NA;0.5;NA;NA;FALSE;1397;3474;3129;821;693;330;0;0;0;0;0;0
Drammenselva;012.Z;2007;0.57;NA;0.5;NA;NA;FALSE;424;3639;3069;242;705;335;0;0;0;0;0;0
Drammenselva;012.Z;2008;0.57;NA;0.5;NA;NA;FALSE;542;3842;4896;302;811;516;0;0;0;0;0;0
Drammenselva;012.Z;2009;0.57;NA;0.5;NA;NA;FALSE;616;2972;5402;313;633;583;22;232;176;10;45;19
Drammenselva;012.Z;2010;0.57;NA;0.5;NA;NA;FALSE;1384;5101;5478;742;1114;621;0;0;0;0;0;0
Drammenselva;012.Z;2011;0.57;NA;0.5;NA;NA;FALSE;723;10115;6814;347;1933;784;18;530;181;9;104;20
Drammenselva;012.Z;2012;0.57;2.16;NA;NA;NA;FALSE;825;2590;9253;407;509;965;12;176;378;6;36;43
Drammenselva;012.Z;2013;0.57;NA;0.5;NA;NA;FALSE;909;3518;3386;530;720;364;16;293;259;10;61;28
Drammenselva;012.Z;2014;0.57;NA;0.5;NA;NA;FALSE;992;2287;2249;530;501;244;15;249;130;10;52;16
Drammenselva;012.Z;2015;0.57;NA;0.5;NA;NA;FALSE;615;4435;4707;305;878;535;8;187;112;4;37;15
Drammenselva;012.Z;2016;0.57;NA;0.5;NA;NA;FALSE;463;2847;4551;267;530;503;0;0;0;0;0;0
Drammenselva;012.Z;2017;0.57;NA;0.5;NA;NA;FALSE;907;3440;4910;442;678;509;21;219;221;11;46;25
Drammenselva;012.Z;2018;0.57;NA;0.5;NA;NA;FALSE;2327;6406;5432;1097;1312;609;7;206;215;4;40;27
Drammenselva;012.Z;2019;0.57;NA;0.5;NA;NA;FALSE;261;4930;5282;151;952;533;0;0;0;0;0;0
Drammenselva;012.Z;2020;0.57;NA;0.5;NA;NA;FALSE;1092.6;3598.6;6348.7;662;757;651;0;0;0;0;0;0
Drammenselva;012.Z;2021;0.57;NA;0.5;NA;NA;FALSE;816;1586;1517;445;367;192;0;0;0;0;0;0
Drammenselva;012.Z;2022;0.57;NA;0.5;NA;NA;FALSE;353;2605;2310;172;515;249;0;0;0;0;0;0
Drammenselva;012.Z;2023;0.57;NA;0.5;NA;NA;FALSE;208;2160;3175;108;416;345;0;7;0;0;1;0
