Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Herrevassdraget;016.4Z;1993;0.63;1;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Herrevassdraget;016.4Z;1994;0.63;;0.33;;;FALSE;36;14;0;18;3;0;0;0;0;0;0;0
Herrevassdraget;016.4Z;1995;0.63;;0.33;;;FALSE;81;139;17;42;31;2;0;0;0;0;0;0
Herrevassdraget;016.4Z;1996;0.63;1;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Herrevassdraget;016.4Z;1997;0.63;;0.33;;;FALSE;12;4;0;7;1;0;0;0;0;0;0;0
Herrevassdraget;016.4Z;1998;0.63;;0.33;;;FALSE;48;17;0;28;4;0;0;0;0;0;0;0
Herrevassdraget;016.4Z;1999;0.63;;0.33;;;FALSE;31;13;8;20;3;1;0;0;0;0;0;0
Herrevassdraget;016.4Z;2000;0.63;;0.33;;;FALSE;60;50;0;30;10;0;0;0;0;0;0;0
Herrevassdraget;016.4Z;2001;0.63;;0.33;;;FALSE;15;0;0;10;0;0;0;0;0;0;0;0
Herrevassdraget;016.4Z;2002;0.63;1;;;;FALSE;0;9;0;0;3;0;0;0;0;0;0;0
Herrevassdraget;016.4Z;2003;0.63;;0.33;;;FALSE;27;52;64;21;11;8;0;0;0;0;0;0
Herrevassdraget;016.4Z;2004;0.63;;0.33;;;FALSE;30;118;135;23;27;16;0;0;0;0;0;0
Herrevassdraget;016.4Z;2005;0.63;1;;;;FALSE;8;0;0;5;0;0;0;0;0;0;0;0
Herrevassdraget;016.4Z;2006;0.63;;0.33;;;FALSE;35;28;7;19;6;1;0;0;0;0;0;0
Herrevassdraget;016.4Z;2007;0.63;;0.33;;;FALSE;11;16;0;8;5;0;0;0;0;0;0;0
Herrevassdraget;016.4Z;2008;0.63;1;;;;FALSE;2;0;0;1;0;0;0;0;0;0;0;0
Herrevassdraget;016.4Z;2009;0.63;;0.33;;;FALSE;14;33;9;7;11;1;0;0;0;0;0;0
Herrevassdraget;016.4Z;2010;0.63;;0.33;;;FALSE;16;6;7;7;1;1;0;0;0;0;0;0
Herrevassdraget;016.4Z;2011;0.63;;0.33;;;FALSE;80;61;0;38;17;0;0;0;0;0;0;0
Herrevassdraget;016.4Z;2012;0.63;;;;200;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Herrevassdraget;016.4Z;2013;0.63;;;80;;FALSE;7;0;0;4;0;0;0;0;0;0;0;0
Herrevassdraget;016.4Z;2014;0.63;;0.33;;;FALSE;33;40;8;18;10;1;3;0;0;2;0;0
Herrevassdraget;016.4Z;2015;0.63;;0.33;;;FALSE;36;78;10;24;18;1;0;4;0;0;1;0
Herrevassdraget;016.4Z;2016;0.63;1;;;;FALSE;5;11;0;4;2;0;2;0;0;2;0;0
Herrevassdraget;016.4Z;2017;0.63;;0.33;;;FALSE;32;21;8;20;5;1;0;0;0;0;0;0
Herrevassdraget;016.4Z;2018;0.63;1;;;;FALSE;2;0;0;1;0;0;0;0;0;0;0;0
Herrevassdraget;016.4Z;2019;0.63;1;;;;FALSE;9;13;0;6;3;0;2;0;0;1;0;0
Herrevassdraget;016.4Z;2020;0.63;1;;;;FALSE;2.8;0;0;2;0;0;0;0;0;0;0;0
Herrevassdraget;016.4Z;2021;0.63;1;;;;FALSE;2;0;0;1;0;0;0;0;0;0;0;0
Herrevassdraget;016.4Z;2022;0.63;1;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Herrevassdraget;016.4Z;2023;0.63;1;;;;FALSE;7;5;0;5;1;0;3;3;0;2;1;0
Herrevassdraget;016.4Z;2024;0.63;1;;;;FALSE;16;0;0;10;0;0;4;0;0;2;0;0
