Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Feda;025.3Z;1993;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Feda;025.3Z;1994;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Feda;025.3Z;1995;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Feda;025.3Z;1996;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Feda;025.3Z;1997;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Feda;025.3Z;1998;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Feda;025.3Z;1999;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Feda;025.3Z;2000;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Feda;025.3Z;2001;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Feda;025.3Z;2002;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Feda;025.3Z;2003;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Feda;025.3Z;2004;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Feda;025.3Z;2005;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Feda;025.3Z;2006;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Feda;025.3Z;2007;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Feda;025.3Z;2008;0.6;NA;0.3;NA;NA;FALSE;5;9;0;3;2;0;0;0;0;0;0;0
Feda;025.3Z;2009;0.6;NA;0.4;NA;NA;FALSE;46;25;0;22;6;0;0;0;0;0;0;0
Feda;025.3Z;2010;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Feda;025.3Z;2011;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Feda;025.3Z;2012;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Feda;025.3Z;2013;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Feda;025.3Z;2014;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Feda;025.3Z;2015;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Feda;025.3Z;2016;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Feda;025.3Z;2017;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Feda;025.3Z;2018;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Feda;025.3Z;2019;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Feda;025.3Z;2020;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Feda;025.3Z;2021;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Feda;025.3Z;2022;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Feda;025.3Z;2023;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
