Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Svendsbøelva;041.21Z;1993;0.59;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Svendsbøelva;041.21Z;1994;0.59;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Svendsbøelva;041.21Z;1995;0.59;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Svendsbøelva;041.21Z;1996;0.59;NA;NA;10;NA;FALSE;1;0;0;1;0;0;0;0;0;0;0;0
Svendsbøelva;041.21Z;1997;0.59;NA;NA;10;NA;FALSE;5;16;0;3;4;0;0;0;0;0;0;0
Svendsbøelva;041.21Z;1998;0.59;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Svendsbøelva;041.21Z;1999;0.59;NA;NA;10;NA;FALSE;0;3;0;0;1;0;0;0;0;0;0;0
Svendsbøelva;041.21Z;2000;0.59;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Svendsbøelva;041.21Z;2001;0.59;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Svendsbøelva;041.21Z;2002;0.59;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Svendsbøelva;041.21Z;2003;0.59;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Svendsbøelva;041.21Z;2004;0.59;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Svendsbøelva;041.21Z;2005;0.59;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Svendsbøelva;041.21Z;2006;0.59;NA;0.32;NA;NA;FALSE;5;0;0;3;0;0;0;0;0;0;0;0
Svendsbøelva;041.21Z;2007;0.59;NA;0.32;NA;NA;FALSE;25;0;0;17;0;0;0;0;0;0;0;0
Svendsbøelva;041.21Z;2008;0.59;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Svendsbøelva;041.21Z;2009;0.59;NA;0.32;NA;NA;FALSE;3;15;0;1;3;0;0;0;0;0;0;0
Svendsbøelva;041.21Z;2010;0.59;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Svendsbøelva;041.21Z;2011;0.59;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Svendsbøelva;041.21Z;2012;0.59;NA;0.32;NA;NA;FALSE;3;3;8;2;1;1;0;0;0;0;0;0
Svendsbøelva;041.21Z;2013;0.59;NA;0.32;NA;NA;FALSE;24;11;0;9;2;0;0;0;0;0;0;0
Svendsbøelva;041.21Z;2014;0.59;NA;0.32;NA;NA;FALSE;14;29;0;7;5;0;0;0;0;0;0;0
Svendsbøelva;041.21Z;2015;0.59;NA;NA;10;NA;FALSE;2;0;0;1;0;0;0;0;0;0;0;0
Svendsbøelva;041.21Z;2016;0.59;NA;0.32;NA;NA;FALSE;4;39;0;3;13;0;0;0;0;0;0;0
Svendsbøelva;041.21Z;2017;0.59;NA;0.32;NA;NA;FALSE;12;38;0;5;9;0;1;0;0;1;0;0
Svendsbøelva;041.21Z;2018;0.59;NA;0.32;NA;NA;FALSE;0;86;0;0;19;0;0;0;0;0;0;0
Svendsbøelva;041.21Z;2019;0.59;NA;0.32;NA;NA;FALSE;13;17;0;6;5;0;1;0;0;1;0;0
Svendsbøelva;041.21Z;2020;0.59;NA;0.32;NA;NA;FALSE;12.1;0;0;7;0;0;1;0;0;2;0;0
Svendsbøelva;041.21Z;2021;0.59;NA;0.32;NA;NA;FALSE;5;0;0;3;0;0;0;0;0;0;0;0
Svendsbøelva;041.21Z;2022;0.59;NA;0.32;NA;NA;FALSE;10;14;0;7;3;0;1;0;0;1;0;0
Svendsbøelva;041.21Z;2023;0.59;NA;0.32;NA;NA;FALSE;6;3;0;5;1;0;1;0;0;1;0;0
