Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Mosneselva;042.4Z;1993;0.55;;;200;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Mosneselva;042.4Z;1994;0.55;;;200;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Mosneselva;042.4Z;1995;0.55;;;200;;FALSE;12;16;0;6;3;0;0;0;0;0;0;0
Mosneselva;042.4Z;1996;0.55;;0.4;;;FALSE;62;50;0;34;12;0;0;0;0;0;0;0
Mosneselva;042.4Z;1997;0.55;;0.4;;;FALSE;125;102;12;56;22;1;0;0;0;0;0;0
Mosneselva;042.4Z;1998;0.55;;0.4;;;FALSE;44;81;9;28;21;1;0;0;0;0;0;0
Mosneselva;042.4Z;1999;0.55;;0.4;;;FALSE;64;116;14;41;31;2;0;0;0;0;0;0
Mosneselva;042.4Z;2000;0.55;;0.4;;;FALSE;22;28;11;13;7;1;0;0;0;0;0;0
Mosneselva;042.4Z;2001;0.55;;0.4;;;FALSE;27;97;15;17;22;2;0;0;0;0;0;0
Mosneselva;042.4Z;2002;0.55;;0.4;;;FALSE;41;91;25;14;20;3;0;0;0;0;0;0
Mosneselva;042.4Z;2003;0.55;;0.4;;;FALSE;32;119;45;20;27;5;0;0;0;0;0;0
Mosneselva;042.4Z;2004;0.55;;0.4;;;FALSE;67;81;0;39;18;0;0;0;0;0;0;0
Mosneselva;042.4Z;2005;0.55;;0.4;;;FALSE;23;48;25;13;10;3;0;0;0;0;0;0
Mosneselva;042.4Z;2006;0.55;;0.4;;;FALSE;64;189;32;41;44;4;0;0;0;0;0;0
Mosneselva;042.4Z;2007;0.55;;0.4;;;FALSE;25;66;32;14;13;4;0;0;0;0;0;0
Mosneselva;042.4Z;2008;0.55;;0.4;;;FALSE;38;138;20;20;30;2;0;0;0;0;0;0
Mosneselva;042.4Z;2009;0.55;;0.4;;;FALSE;46;219;22;22;49;3;0;0;0;0;0;0
Mosneselva;042.4Z;2010;0.55;;0.4;;;FALSE;49;200;29;29;43;4;0;0;0;0;0;0
Mosneselva;042.4Z;2011;0.55;;0.4;;;FALSE;34;97;20;19;24;2;0;0;0;0;0;0
Mosneselva;042.4Z;2012;0.55;;0.4;;;FALSE;32;182;71;17;40;9;0;5;10;0;1;1
Mosneselva;042.4Z;2013;0.55;;0.4;;;FALSE;28;54;65;16;12;8;0;0;0;0;0;0
Mosneselva;042.4Z;2014;0.55;;0.4;;;FALSE;77;150;52;53;32;6;0;6;0;0;2;0
Mosneselva;042.4Z;2015;0.55;;0.4;;;FALSE;32;24;0;20;6;0;1;0;0;1;0;0
Mosneselva;042.4Z;2016;0.55;;0.4;;;FALSE;24;124;9;11;29;1;0;0;0;0;0;0
Mosneselva;042.4Z;2017;0.55;;0.4;;;FALSE;5;69;42;2;13;5;0;0;0;0;0;0
Mosneselva;042.4Z;2018;0.55;;0.4;;;FALSE;37;32;18;24;6;2;0;0;0;0;0;0
Mosneselva;042.4Z;2019;0.55;;0.4;;;FALSE;37;58;24;23;13;3;0;0;8;0;0;1
Mosneselva;042.4Z;2020;0.55;;0.4;;;FALSE;10.8;31.1;10;8;8;1;0;0;0;0;0;0
Mosneselva;042.4Z;2021;0.55;;0.4;;;FALSE;25;78;15;14;17;2;1;0;0;1;0;0
Mosneselva;042.4Z;2022;0.55;;0.3;;;FALSE;12;12;7;7;3;1;0;0;0;0;0;0
Mosneselva;042.4Z;2023;0.55;;0.3;;;FALSE;4;44;9;3;9;1;4;0;0;2;0;0
Mosneselva;042.4Z;2024;0.55;;0.3;;;FALSE;7;38;0;4;7;0;0;0;0;0;0;0
