Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Ådlandselva (Frugardselva);044.3Z;1993;0.55;0.5;;;;FALSE;8;11;7;4;2;1;0;0;0;0;0;0
Ådlandselva (Frugardselva);044.3Z;1994;0.55;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Ådlandselva (Frugardselva);044.3Z;1995;0.55;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Ådlandselva (Frugardselva);044.3Z;1996;0.55;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Ådlandselva (Frugardselva);044.3Z;1997;0.55;0.5;;;;FALSE;11;3;0;6;1;0;0;0;0;0;0;0
Ådlandselva (Frugardselva);044.3Z;1998;0.55;0.5;;;;FALSE;4;12;8;2;4;1;0;0;0;0;0;0
Ådlandselva (Frugardselva);044.3Z;1999;0.55;0.5;;;;FALSE;9;0;0;5;0;0;0;0;0;0;0;0
Ådlandselva (Frugardselva);044.3Z;2000;0.55;0.5;;;;FALSE;4;8;0;3;2;0;0;0;0;0;0;0
Ådlandselva (Frugardselva);044.3Z;2001;0.55;0.5;;;;FALSE;15;15;0;14;4;0;0;0;0;0;0;0
Ådlandselva (Frugardselva);044.3Z;2002;0.55;0.5;;;;FALSE;18;9;0;10;2;0;0;0;0;0;0;0
Ådlandselva (Frugardselva);044.3Z;2003;0.55;;0.5;;;FALSE;46;54;7;32;13;1;0;0;0;0;0;0
Ådlandselva (Frugardselva);044.3Z;2004;0.55;;0.5;;;FALSE;41;5;0;27;1;0;0;0;0;0;0;0
Ådlandselva (Frugardselva);044.3Z;2005;0.55;;0.5;;;FALSE;70;28;0;50;7;0;0;0;0;0;0;0
Ådlandselva (Frugardselva);044.3Z;2006;0.55;;0.5;;;FALSE;34;15;0;15;4;0;0;0;0;0;0;0
Ådlandselva (Frugardselva);044.3Z;2007;0.55;;0.5;;;FALSE;100;151;0;77;34;0;0;0;0;0;0;0
Ådlandselva (Frugardselva);044.3Z;2008;0.55;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Ådlandselva (Frugardselva);044.3Z;2009;0.55;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Ådlandselva (Frugardselva);044.3Z;2010;0.55;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Ådlandselva (Frugardselva);044.3Z;2011;0.55;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Ådlandselva (Frugardselva);044.3Z;2012;0.55;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Ådlandselva (Frugardselva);044.3Z;2013;0.55;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Ådlandselva (Frugardselva);044.3Z;2014;0.55;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Ådlandselva (Frugardselva);044.3Z;2015;0.55;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Ådlandselva (Frugardselva);044.3Z;2016;0.55;0.5;;;;FALSE;0;5;0;0;1;0;4;43;0;3;11;0
Ådlandselva (Frugardselva);044.3Z;2017;0.55;0.5;;;;FALSE;0;0;0;0;0;0;3;24;0;2;5;0
Ådlandselva (Frugardselva);044.3Z;2018;0.55;0.5;;;;FALSE;0;0;0;0;0;0;0;3;0;0;1;0
Ådlandselva (Frugardselva);044.3Z;2019;0.55;0.5;;;;FALSE;0;0;0;0;0;0;5;5;0;3;1;0
Ådlandselva (Frugardselva);044.3Z;2020;0.55;0.5;;;;FALSE;0;0;0;0;0;0;6;10;0;4;2;0
Ådlandselva (Frugardselva);044.3Z;2021;0.55;0.5;;;;FALSE;2;0;0;1;0;0;4;0;8;3;0;1
Ådlandselva (Frugardselva);044.3Z;2022;0.55;0.5;;;;FALSE;0;0;0;0;0;0;8;16;0;5;3;0
Ådlandselva (Frugardselva);044.3Z;2023;0.55;0.5;;;;FALSE;0;0;0;0;0;0;5;23;0;3;5;0
Ådlandselva (Frugardselva);044.3Z;2024;0.55;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
