Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Kjærelva;044.5Z;1993;0.58;;0.35;;;FALSE;8;15;0;3;4;0;0;0;0;0;0;0
Kjærelva;044.5Z;1994;0.58;;;20;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Kjærelva;044.5Z;1995;0.58;;;20;;FALSE;3;0;0;4;0;0;0;0;0;0;0;0
Kjærelva;044.5Z;1996;0.58;;;20;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Kjærelva;044.5Z;1997;0.58;;0.35;;;FALSE;11;0;0;5;0;0;0;0;0;0;0;0
Kjærelva;044.5Z;1998;0.58;;0.35;;;FALSE;75;83;31;34;23;4;0;0;0;0;0;0
Kjærelva;044.5Z;1999;0.58;;0.35;;;FALSE;3;9;0;2;2;0;0;0;0;0;0;0
Kjærelva;044.5Z;2000;0.58;;0.35;;;FALSE;37;47;0;20;12;0;0;0;0;0;0;0
Kjærelva;044.5Z;2001;0.58;;0.35;;;FALSE;43;45;0;23;11;0;0;0;0;0;0;0
Kjærelva;044.5Z;2002;0.58;;;20;;FALSE;3;0;0;2;0;0;0;0;0;0;0;0
Kjærelva;044.5Z;2003;0.58;;0.35;;;FALSE;7;7;0;4;2;0;0;0;0;0;0;0
Kjærelva;044.5Z;2004;0.58;;0.35;;;FALSE;20;12;0;13;2;0;0;0;0;0;0;0
Kjærelva;044.5Z;2005;0.58;;0.35;;;FALSE;31;13;0;17;3;0;0;0;0;0;0;0
Kjærelva;044.5Z;2006;0.58;;0.35;;;FALSE;7;9;0;4;2;0;0;0;0;0;0;0
Kjærelva;044.5Z;2007;0.58;;0.35;;;FALSE;20;0;15;14;0;2;0;0;0;0;0;0
Kjærelva;044.5Z;2008;0.58;;;20;;FALSE;3;0;0;2;0;0;0;0;0;0;0;0
Kjærelva;044.5Z;2009;0.58;;0.35;;;FALSE;8;12;0;5;3;0;0;0;0;0;0;0
Kjærelva;044.5Z;2010;0.58;;0.35;;;FALSE;12;20;8;6;5;1;0;0;0;0;0;0
Kjærelva;044.5Z;2011;0.58;;0.35;;;FALSE;3;26;0;2;5;0;0;0;0;0;0;0
Kjærelva;044.5Z;2012;0.58;;0.35;;;FALSE;6;15;7;5;4;1;0;0;0;0;0;0
Kjærelva;044.5Z;2013;0.58;;0.35;;;FALSE;3;8;0;4;2;0;0;0;0;0;0;0
Kjærelva;044.5Z;2014;0.58;;0.35;;;FALSE;21;7;0;15;2;0;0;0;0;0;0;0
Kjærelva;044.5Z;2015;0.58;;;20;;FALSE;1;0;0;1;0;0;0;0;0;0;0;0
Kjærelva;044.5Z;2016;0.58;;0.35;;;FALSE;14;6;0;9;2;0;0;0;0;0;0;0
Kjærelva;044.5Z;2017;0.58;;;20;;FALSE;2;3;0;1;1;0;2;0;0;11;0;0
Kjærelva;044.5Z;2018;0.58;;0.35;;;FALSE;5;7;0;3;2;0;0;0;0;1;0;0
Kjærelva;044.5Z;2019;0.58;;0.35;;;FALSE;25;4;0;14;1;0;0;0;0;0;0;0
Kjærelva;044.5Z;2020;0.58;;0.35;;;FALSE;15.3;0;0;9;0;0;0.2;0;0;1;0;0
Kjærelva;044.5Z;2021;0.58;;;20;;FALSE;1;0;0;1;0;0;0;0;0;1;0;0
Kjærelva;044.5Z;2022;0.58;;0.5;;;FALSE;39;105;0;16;23;0;0;0;0;0;0;0
Kjærelva;044.5Z;2023;0.58;;;20;;FALSE;2;0;0;2;0;0;0;0;0;0;0;0
Kjærelva;044.5Z;2024;0.58;;;20;;FALSE;7;3;0;5;1;0;0;0;0;0;0;0
