Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Simadalselva (Simo);050.4Z;1993;0.52;;;5;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Simadalselva (Simo);050.4Z;1994;0.52;;;5;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Simadalselva (Simo);050.4Z;1995;0.52;;;5;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Simadalselva (Simo);050.4Z;1996;0.52;;;5;;FALSE;1;0;0;1;0;0;0;0;0;0;0;0
Simadalselva (Simo);050.4Z;1997;0.52;;;5;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Simadalselva (Simo);050.4Z;1998;0.52;;;5;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Simadalselva (Simo);050.4Z;1999;0.52;;;5;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Simadalselva (Simo);050.4Z;2000;0.52;;;5;;FALSE;0;5;0;0;1;0;0;0;0;0;0;0
Simadalselva (Simo);050.4Z;2001;0.52;;;5;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Simadalselva (Simo);050.4Z;2002;0.52;;;5;;FALSE;4;0;0;2;0;0;0;0;0;0;0;0
Simadalselva (Simo);050.4Z;2003;0.52;;;5;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Simadalselva (Simo);050.4Z;2004;0.52;;;5;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Simadalselva (Simo);050.4Z;2005;0.52;;;5;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Simadalselva (Simo);050.4Z;2006;0.52;;0.3;;;FALSE;8;0;0;3;0;0;0;0;0;0;0;0
Simadalselva (Simo);050.4Z;2007;0.52;;;5;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Simadalselva (Simo);050.4Z;2008;0.52;;;5;;FALSE;0;5;0;0;1;0;0;0;0;0;0;0
Simadalselva (Simo);050.4Z;2009;0.52;;0.3;;;FALSE;0;10;0;0;3;0;0;0;0;0;0;0
Simadalselva (Simo);050.4Z;2010;0.52;;;5;;FALSE;0;4;0;0;1;0;0;0;0;0;0;0
Simadalselva (Simo);050.4Z;2011;0.52;;0.3;;;FALSE;3;11;12;1;3;1;0;0;0;0;0;0
Simadalselva (Simo);050.4Z;2012;0.52;;0.3;;;FALSE;5;0;0;2;0;0;0;0;0;0;0;0
Simadalselva (Simo);050.4Z;2013;0.52;;0.3;;;FALSE;5;0;0;3;0;0;0;0;0;0;0;0
Simadalselva (Simo);050.4Z;2014;0.52;;;5;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Simadalselva (Simo);050.4Z;2015;0.52;;0.3;;;FALSE;0;22;22;0;6;3;0;9;8;0;2;1
Simadalselva (Simo);050.4Z;2016;0.52;;0.3;;;FALSE;3;0;14;2;0;2;0;0;0;0;0;0
Simadalselva (Simo);050.4Z;2017;0.52;;0.3;;;FALSE;3;10;0;2;3;0;0;0;0;0;0;0
Simadalselva (Simo);050.4Z;2018;0.52;;0.3;;;FALSE;3;0;0;1;0;0;0;0;0;0;0;0
Simadalselva (Simo);050.4Z;2019;0.52;;0.3;;;FALSE;6;3;0;2;1;0;0;0;0;0;0;0
Simadalselva (Simo);050.4Z;2020;0.52;;;5;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Simadalselva (Simo);050.4Z;2021;0.52;;;5;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Simadalselva (Simo);050.4Z;2022;0.52;;;5;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Simadalselva (Simo);050.4Z;2023;0.52;;;5;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Simadalselva (Simo);050.4Z;2024;0.52;;;5;;FALSE;0;5;0;0;1;0;0;0;0;0;0;0
