Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Lønningdalselva;055.6Z;1993;0.6;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Lønningdalselva;055.6Z;1994;0.6;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Lønningdalselva;055.6Z;1995;0.6;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Lønningdalselva;055.6Z;1996;0.6;NA;0.2;NA;NA;FALSE;0;0;7;0;0;1;0;0;0;0;0;0
Lønningdalselva;055.6Z;1997;0.6;NA;0.2;NA;NA;FALSE;5;3;0;2;1;0;0;0;0;0;0;0
Lønningdalselva;055.6Z;1998;0.6;NA;0.2;NA;NA;FALSE;3;0;0;2;0;0;0;0;0;0;0;0
Lønningdalselva;055.6Z;1999;0.6;NA;0.2;NA;NA;FALSE;2;0;0;1;0;0;0;0;0;0;0;0
Lønningdalselva;055.6Z;2000;0.6;NA;0.2;NA;NA;FALSE;10;4;0;7;1;0;0;0;0;0;0;0
Lønningdalselva;055.6Z;2001;0.6;NA;0.2;NA;NA;FALSE;2;0;0;1;0;0;0;0;0;0;0;0
Lønningdalselva;055.6Z;2002;0.6;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Lønningdalselva;055.6Z;2003;0.6;NA;0.2;NA;NA;FALSE;0;4;0;0;1;0;0;0;0;0;0;0
Lønningdalselva;055.6Z;2004;0.6;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Lønningdalselva;055.6Z;2005;0.6;NA;0.2;NA;NA;FALSE;2;0;0;1;0;0;0;0;0;0;0;0
Lønningdalselva;055.6Z;2006;0.6;NA;0.2;NA;NA;FALSE;10;17;0;4;4;0;0;0;0;0;0;0
Lønningdalselva;055.6Z;2007;0.6;NA;0.2;NA;NA;FALSE;11;3;0;4;1;0;0;0;0;0;0;0
Lønningdalselva;055.6Z;2008;0.6;NA;0.2;NA;NA;FALSE;2;4;0;2;1;0;0;0;0;0;0;0
Lønningdalselva;055.6Z;2009;0.6;NA;0.2;NA;NA;FALSE;0;0;16;0;0;2;0;0;0;0;0;0
Lønningdalselva;055.6Z;2010;0.6;NA;0.2;NA;NA;FALSE;6;0;0;4;0;0;0;0;0;0;0;0
Lønningdalselva;055.6Z;2011;0.6;NA;0.2;NA;NA;FALSE;12;0;0;18;0;0;0;0;0;0;0;0
Lønningdalselva;055.6Z;2012;0.6;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Lønningdalselva;055.6Z;2013;0.6;NA;0.2;NA;NA;FALSE;3;0;0;5;0;0;0;0;0;0;0;0
Lønningdalselva;055.6Z;2014;0.6;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Lønningdalselva;055.6Z;2015;0.6;NA;0.2;NA;NA;FALSE;0;21;9;0;5;1;0;0;0;0;0;0
Lønningdalselva;055.6Z;2016;0.6;NA;0.2;NA;NA;FALSE;7;5;0;4;1;0;0;0;0;0;0;0
Lønningdalselva;055.6Z;2017;0.6;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Lønningdalselva;055.6Z;2018;0.6;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Lønningdalselva;055.6Z;2019;0.6;NA;0.2;NA;NA;FALSE;4;4;0;2;1;0;0;0;0;0;0;0
Lønningdalselva;055.6Z;2020;0.6;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Lønningdalselva;055.6Z;2021;0.6;NA;0.2;NA;NA;FALSE;12;0;0;5;0;0;0;0;0;0;0;0
Lønningdalselva;055.6Z;2022;0.6;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Lønningdalselva;055.6Z;2023;0.6;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
