Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Fjellvassdraget;057.2Z;1993;0.38;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Fjellvassdraget;057.2Z;1994;0.38;;0.4;;;FALSE;2;3;0;1;1;0;0;0;0;0;0;0
Fjellvassdraget;057.2Z;1995;0.38;;0.4;;;FALSE;12;0;0;7;0;0;0;0;0;0;0;0
Fjellvassdraget;057.2Z;1996;0.38;;0.4;;;FALSE;8;0;0;5;0;0;0;0;0;0;0;0
Fjellvassdraget;057.2Z;1997;0.38;;0.4;;;FALSE;21;21;8;10;5;1;0;0;0;0;0;0
Fjellvassdraget;057.2Z;1998;0.38;;0.4;;;FALSE;28;29;41;12;6;5;0;0;0;0;0;0
Fjellvassdraget;057.2Z;1999;0.38;;0.4;;;FALSE;19;36;32;8;8;4;0;0;0;0;0;0
Fjellvassdraget;057.2Z;2000;0.38;;0.4;;;FALSE;12;29;57;6;9;7;0;0;0;0;0;0
Fjellvassdraget;057.2Z;2001;0.38;;0.4;;;FALSE;37;36;36;14;7;4;0;0;0;0;0;0
Fjellvassdraget;057.2Z;2002;0.38;;0.4;;;FALSE;9;27;26;5;6;3;0;0;0;0;0;0
Fjellvassdraget;057.2Z;2003;0.38;;0.4;;;FALSE;15;23;33;8;6;4;0;0;0;0;0;0
Fjellvassdraget;057.2Z;2004;0.38;;0.4;;;FALSE;12;7;18;5;2;2;0;0;0;0;0;0
Fjellvassdraget;057.2Z;2005;0.38;;0.4;;;FALSE;19;18;43;9;4;5;0;0;0;0;0;0
Fjellvassdraget;057.2Z;2006;0.38;;0.4;;;FALSE;26;108;49;12;23;6;0;0;0;0;0;0
Fjellvassdraget;057.2Z;2007;0.38;;0.4;;;FALSE;65;48;0;28;11;0;0;0;0;0;0;0
Fjellvassdraget;057.2Z;2008;0.38;;0.4;;;FALSE;13;13;0;6;3;0;0;0;0;0;0;0
Fjellvassdraget;057.2Z;2009;0.38;;0.4;;;FALSE;29;24;0;18;5;0;8;12;0;4;3;0
Fjellvassdraget;057.2Z;2010;0.38;;0.4;;;FALSE;2;12;7;1;3;1;0;0;0;0;0;0
Fjellvassdraget;057.2Z;2011;0.38;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Fjellvassdraget;057.2Z;2012;0.38;;0.4;;;FALSE;2;32;0;1;8;0;0;0;0;0;0;0
Fjellvassdraget;057.2Z;2013;0.38;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Fjellvassdraget;057.2Z;2014;0.38;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Fjellvassdraget;057.2Z;2015;0.38;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Fjellvassdraget;057.2Z;2016;0.38;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Fjellvassdraget;057.2Z;2017;0.38;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Fjellvassdraget;057.2Z;2018;0.38;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Fjellvassdraget;057.2Z;2019;0.38;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Fjellvassdraget;057.2Z;2020;0.38;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Fjellvassdraget;057.2Z;2021;0.38;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Fjellvassdraget;057.2Z;2022;0.38;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Fjellvassdraget;057.2Z;2023;0.38;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Fjellvassdraget;057.2Z;2024;0.38;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
