Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Hopevassdraget;067.4Z;1993;0.55;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Hopevassdraget;067.4Z;1994;0.55;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Hopevassdraget;067.4Z;1995;0.55;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Hopevassdraget;067.4Z;1996;0.55;NA;0.5;NA;NA;FALSE;0;3;0;0;1;0;0;0;0;0;0;0
Hopevassdraget;067.4Z;1997;0.55;NA;0.5;NA;NA;FALSE;4;7;0;4;2;0;0;0;0;0;0;0
Hopevassdraget;067.4Z;1998;0.55;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Hopevassdraget;067.4Z;1999;0.55;NA;0.5;NA;NA;FALSE;0;5;0;0;1;0;0;0;0;0;0;0
Hopevassdraget;067.4Z;2000;0.55;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Hopevassdraget;067.4Z;2001;0.55;NA;0.5;NA;NA;FALSE;15;25;0;7;4;0;0;0;0;0;0;0
Hopevassdraget;067.4Z;2002;0.55;NA;0.5;NA;NA;FALSE;2;0;0;1;0;0;0;0;0;0;0;0
Hopevassdraget;067.4Z;2003;0.55;NA;0.5;NA;NA;FALSE;0;25;0;0;5;0;0;0;0;0;0;0
Hopevassdraget;067.4Z;2004;0.55;NA;0.5;NA;NA;FALSE;29;8;0;17;2;0;0;0;0;0;0;0
Hopevassdraget;067.4Z;2005;0.55;NA;0.5;NA;NA;FALSE;12;12;7;5;3;1;0;0;0;0;0;0
Hopevassdraget;067.4Z;2006;0.55;NA;0.5;NA;NA;FALSE;0;15;0;0;4;0;0;0;0;0;0;0
Hopevassdraget;067.4Z;2007;0.55;NA;0.5;NA;NA;FALSE;3;7;0;1;2;0;0;0;0;0;0;0
Hopevassdraget;067.4Z;2008;0.55;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Hopevassdraget;067.4Z;2009;0.55;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Hopevassdraget;067.4Z;2010;0.55;NA;NA;5;NA;FALSE;1;0;0;1;0;0;0;0;0;0;0;0
Hopevassdraget;067.4Z;2011;0.55;NA;0.5;NA;NA;FALSE;0;12;0;0;3;0;0;0;0;0;0;0
Hopevassdraget;067.4Z;2012;0.55;NA;NA;5;NA;FALSE;0;5;0;0;1;0;0;0;0;0;0;0
Hopevassdraget;067.4Z;2013;0.55;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;3;0;0;1;0
Hopevassdraget;067.4Z;2014;0.55;NA;0.5;NA;NA;FALSE;0;19;0;0;5;0;0;0;0;0;0;0
Hopevassdraget;067.4Z;2015;0.55;NA;0.5;NA;NA;FALSE;8;9;7;3;2;1;0;0;0;0;0;0
Hopevassdraget;067.4Z;2016;0.55;NA;0.5;NA;NA;FALSE;7;0;0;7;0;0;0;0;0;0;0;0
Hopevassdraget;067.4Z;2017;0.55;NA;0.5;NA;NA;FALSE;2;8;0;1;2;0;0;0;0;0;0;0
Hopevassdraget;067.4Z;2018;0.55;NA;0.5;NA;NA;FALSE;17;0;22;7;0;3;0;0;0;0;0;0
Hopevassdraget;067.4Z;2019;0.55;NA;0.5;NA;NA;FALSE;10;16;0;6;3;0;0;0;0;0;0;0
Hopevassdraget;067.4Z;2020;0.55;NA;0.5;NA;NA;FALSE;9.3;8.8;0;5;2;0;0;0;0;0;0;0
Hopevassdraget;067.4Z;2021;0.55;NA;0.5;NA;NA;FALSE;2;5;0;1;1;0;4;0;0;2;0;0
Hopevassdraget;067.4Z;2022;0.55;NA;NA;5;NA;FALSE;0;0;0;0;0;0;4;0;0;8;0;0
Hopevassdraget;067.4Z;2023;0.55;NA;NA;5;NA;FALSE;5;0;0;2;0;0;0;0;0;0;0;0
