Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Ortnevikselva;070.2Z;1993;0.58;;0.5;;;FALSE;31;8;0;20;2;0;0;0;0;0;0;0
Ortnevikselva;070.2Z;1994;0.58;;0.5;;;FALSE;44;4;0;27;1;0;0;0;0;0;0;0
Ortnevikselva;070.2Z;1995;0.58;;0.5;;;FALSE;30;11;0;17;2;0;0;0;0;0;0;0
Ortnevikselva;070.2Z;1996;0.58;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Ortnevikselva;070.2Z;1997;0.58;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Ortnevikselva;070.2Z;1998;0.58;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Ortnevikselva;070.2Z;1999;0.58;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Ortnevikselva;070.2Z;2000;0.58;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Ortnevikselva;070.2Z;2001;0.58;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Ortnevikselva;070.2Z;2002;0.58;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Ortnevikselva;070.2Z;2003;0.58;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Ortnevikselva;070.2Z;2004;0.58;;0.5;;;FALSE;48;55;0;31;15;0;0;0;0;0;0;0
Ortnevikselva;070.2Z;2005;0.58;;0.5;;;FALSE;62;9;0;39;2;0;0;0;0;0;0;0
Ortnevikselva;070.2Z;2006;0.58;;0.5;;;FALSE;8;18;0;5;5;0;0;0;0;0;0;0
Ortnevikselva;070.2Z;2007;0.58;;;10;;FALSE;2;0;0;2;0;0;0;0;0;0;0;0
Ortnevikselva;070.2Z;2008;0.58;;0.5;;;FALSE;23;15;0;11;4;0;0;0;0;0;0;0
Ortnevikselva;070.2Z;2009;0.58;;0.5;;;FALSE;13;0;0;9;0;0;0;0;0;0;0;0
Ortnevikselva;070.2Z;2010;0.58;;0.5;;;FALSE;41;35;10;22;7;1;0;0;0;0;0;0
Ortnevikselva;070.2Z;2011;0.58;;0.5;;;FALSE;20;9;0;11;2;0;0;0;0;0;0;0
Ortnevikselva;070.2Z;2012;0.58;;0.6;;;FALSE;48;71;0;26;18;0;0;0;0;0;0;0
Ortnevikselva;070.2Z;2013;0.58;;0.5;;;FALSE;32;43;0;18;8;0;0;0;0;0;0;0
Ortnevikselva;070.2Z;2014;0.58;;0.5;;;FALSE;6;37;0;4;7;0;0;0;0;0;0;0
Ortnevikselva;070.2Z;2015;0.58;;0.5;;;FALSE;13;20;21;15;6;3;0;0;0;0;0;0
Ortnevikselva;070.2Z;2016;0.58;;0.5;;;FALSE;13;25;0;8;5;0;0;0;0;0;0;0
Ortnevikselva;070.2Z;2017;0.58;;0.5;;;FALSE;13;29;7;6;8;1;0;0;0;0;0;0
Ortnevikselva;070.2Z;2018;0.58;;0.5;;;FALSE;7;10;0;5;2;0;0;0;0;0;0;0
Ortnevikselva;070.2Z;2019;0.58;;0.5;;;FALSE;21;25;14;12;7;2;0;0;0;0;0;0
Ortnevikselva;070.2Z;2020;0.58;;0.5;;;FALSE;38.7;8;0;25;2;0;0;0;0;0;0;0
Ortnevikselva;070.2Z;2021;0.58;;0.5;;;FALSE;9;9;0;3;2;0;0;0;0;0;0;0
Ortnevikselva;070.2Z;2022;0.58;;0.5;;;FALSE;8;15;0;3;4;0;0;0;0;0;0;0
Ortnevikselva;070.2Z;2023;0.58;;0.5;;;FALSE;29;27;0;15;6;0;0;0;0;0;0;0
Ortnevikselva;070.2Z;2024;0.58;;0.5;;;FALSE;8;18;8;5;4;1;1;0;0;1;0;0
