Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Årdalselva;074.Z;1993;0.56;NA;NA;25;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Årdalselva;074.Z;1994;0.56;NA;NA;25;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Årdalselva;074.Z;1995;0.56;NA;NA;25;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Årdalselva;074.Z;1996;0.56;NA;NA;25;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Årdalselva;074.Z;1997;0.56;NA;NA;25;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Årdalselva;074.Z;1998;0.56;NA;NA;25;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Årdalselva;074.Z;1999;0.56;NA;NA;25;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Årdalselva;074.Z;2000;0.56;NA;NA;25;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Årdalselva;074.Z;2001;0.56;NA;NA;25;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Årdalselva;074.Z;2002;0.56;NA;NA;25;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Årdalselva;074.Z;2003;0.56;NA;0.51;NA;NA;FALSE;0;37;0;0;8;0;0;0;0;0;0;0
Årdalselva;074.Z;2004;0.56;NA;0.51;NA;NA;FALSE;73;0;0;25;0;0;0;0;0;0;0;0
Årdalselva;074.Z;2005;0.56;NA;0.51;NA;NA;FALSE;50;33;0;20;8;0;0;0;0;0;0;0
Årdalselva;074.Z;2006;0.56;NA;0.51;NA;NA;FALSE;0;204;0;0;40;0;0;0;0;0;0;0
Årdalselva;074.Z;2007;0.56;NA;0.51;NA;NA;FALSE;0;40;0;0;10;0;0;0;0;0;0;0
Årdalselva;074.Z;2008;0.56;NA;0.51;NA;NA;FALSE;147;40;0;61;12;0;0;0;0;0;0;0
Årdalselva;074.Z;2009;0.56;NA;0.51;NA;NA;FALSE;203;122;0;79;22;0;0;0;0;0;0;0
Årdalselva;074.Z;2010;0.56;NA;0.51;NA;NA;FALSE;77;203;35;29;53;4;0;0;0;0;0;0
Årdalselva;074.Z;2011;0.56;NA;0.51;NA;NA;FALSE;41;105;75;21;23;9;3;0;0;2;0;0
Årdalselva;074.Z;2012;0.56;NA;0.51;NA;NA;FALSE;31;154;140;19;31;16;15;0;0;11;0;0
Årdalselva;074.Z;2013;0.56;NA;0.51;NA;NA;FALSE;54;123;79;26;27;8;2;4;0;2;1;0
Årdalselva;074.Z;2014;0.56;NA;0.51;NA;NA;FALSE;71;244;64;37;53;8;5;0;0;4;0;0
Årdalselva;074.Z;2015;0.56;NA;0.51;NA;NA;FALSE;67;134;23;32;28;3;4;0;0;2;0;0
Årdalselva;074.Z;2016;0.56;NA;0.51;NA;NA;FALSE;11;245;188;6;49;23;5;0;0;3;0;0
Årdalselva;074.Z;2017;0.56;NA;0.51;NA;NA;FALSE;11;109;51;6;21;6;4;0;0;3;0;0
Årdalselva;074.Z;2018;0.56;NA;0.51;NA;NA;FALSE;21;101;81;10;21;10;6;6;7;6;1;1
Årdalselva;074.Z;2019;0.56;NA;0.51;NA;NA;FALSE;16;33;32;7;7;4;7;0;0;4;0;0
Årdalselva;074.Z;2020;0.56;NA;0.51;NA;NA;FALSE;25.8;86.5;8.4;13;18;1;7;10.1;0;4;3;0
Årdalselva;074.Z;2021;0.56;NA;0.51;NA;NA;FALSE;33;62;26;14;13;2;10;0;0;6;0;0
Årdalselva;074.Z;2022;0.56;NA;0.51;NA;NA;FALSE;6;58;16;3;12;2;7;12;0;4;3;0
Årdalselva;074.Z;2023;0.56;NA;0.51;NA;NA;FALSE;10;20;28;5;4;3;8;0;9;4;0;1
