Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Bøelva;080.4Z;1993;0.53;;0.5;;;FALSE;21;14;0;14;4;0;0;0;0;0;0;0
Bøelva;080.4Z;1994;0.53;;0.5;;;FALSE;3;12;0;1;2;0;0;0;0;0;0;0
Bøelva;080.4Z;1995;0.53;;0.5;;;FALSE;35;10;0;17;2;0;0;0;0;0;0;0
Bøelva;080.4Z;1996;0.53;;0.5;;;FALSE;14;26;7;8;6;1;0;0;0;0;0;0
Bøelva;080.4Z;1997;0.53;;0.5;;;FALSE;6;25;0;4;5;0;0;0;0;0;0;0
Bøelva;080.4Z;1998;0.53;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bøelva;080.4Z;1999;0.53;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bøelva;080.4Z;2000;0.53;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bøelva;080.4Z;2001;0.53;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bøelva;080.4Z;2002;0.53;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bøelva;080.4Z;2003;0.53;;0.5;;;FALSE;35;13;0;20;4;0;0;0;0;0;0;0
Bøelva;080.4Z;2004;0.53;;0.5;;;FALSE;23;11;0;15;3;0;0;0;0;0;0;0
Bøelva;080.4Z;2005;0.53;;0.5;;;FALSE;21;10;19;12;3;2;0;0;0;0;0;0
Bøelva;080.4Z;2006;0.53;;0.5;;;FALSE;10;14;0;6;3;0;0;0;0;0;0;0
Bøelva;080.4Z;2007;0.53;;0.5;;;FALSE;16;20;9;10;5;1;0;0;0;0;0;0
Bøelva;080.4Z;2008;0.53;;0.5;;;FALSE;21;39;41;13;7;4;0;0;0;0;0;0
Bøelva;080.4Z;2009;0.53;;0.5;;;FALSE;31;11;0;22;2;0;0;0;0;0;0;0
Bøelva;080.4Z;2010;0.53;;0.5;;;FALSE;64;49;9;40;12;1;0;0;0;0;0;0
Bøelva;080.4Z;2011;0.53;;0.5;;;FALSE;39;107;7;26;28;1;0;0;0;0;0;0
Bøelva;080.4Z;2012;0.53;;0.5;;;FALSE;75;58;0;47;14;0;0;0;0;0;0;0
Bøelva;080.4Z;2013;0.53;;0.5;;;FALSE;53;10;0;28;2;0;0;0;0;0;0;0
Bøelva;080.4Z;2014;0.53;;0.5;;;FALSE;17;20;0;12;6;0;0;0;0;0;0;0
Bøelva;080.4Z;2015;0.53;;0.5;;;FALSE;59;45;0;33;11;0;0;0;0;0;0;0
Bøelva;080.4Z;2016;0.53;;0.5;;;FALSE;26;25;0;25;6;0;0;0;0;0;0;0
Bøelva;080.4Z;2017;0.53;;0.5;;;FALSE;53;119;10;29;29;1;0;0;0;0;0;0
Bøelva;080.4Z;2018;0.53;;0.5;;;FALSE;36;20;0;20;5;0;0;0;0;0;0;0
Bøelva;080.4Z;2019;0.53;;0.5;;;FALSE;31;64;0;16;16;0;0;0;0;0;0;0
Bøelva;080.4Z;2020;0.53;;0.5;;;FALSE;21.3;66.5;0;12;16;0;0;0;0;0;0;0
Bøelva;080.4Z;2021;0.53;;0.5;;;FALSE;16;0;0;8;0;0;0;0;0;0;0;0
Bøelva;080.4Z;2022;0.53;;0.5;;;FALSE;21;64;11;13;13;1;0;0;0;0;0;0
Bøelva;080.4Z;2023;0.53;;0.5;;;FALSE;31;4;0;42;1;0;0;0;0;0;0;0
Bøelva;080.4Z;2024;0.53;;0.5;;;FALSE;19;48;0;9;12;0;0;0;0;0;0;0
