Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Rivedalselva;083.4Z;1993;0.56;NA;NA;4;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Rivedalselva;083.4Z;1994;0.56;NA;NA;4;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Rivedalselva;083.4Z;1995;0.56;NA;NA;4;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Rivedalselva;083.4Z;1996;0.56;NA;NA;4;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Rivedalselva;083.4Z;1997;0.56;NA;NA;4;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Rivedalselva;083.4Z;1998;0.56;NA;NA;4;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Rivedalselva;083.4Z;1999;0.56;NA;NA;4;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Rivedalselva;083.4Z;2000;0.56;NA;0.4;NA;NA;FALSE;2;4;0;1;1;0;0;0;0;0;0;0
Rivedalselva;083.4Z;2001;0.56;NA;0.4;NA;NA;FALSE;12;28;0;7;7;0;0;0;0;0;0;0
Rivedalselva;083.4Z;2002;0.56;NA;0.4;NA;NA;FALSE;1;0;0;1;0;0;0;0;0;0;0;0
Rivedalselva;083.4Z;2003;0.56;NA;0.4;NA;NA;FALSE;2;6;0;1;2;0;0;0;0;0;0;0
Rivedalselva;083.4Z;2004;0.56;NA;0.4;NA;NA;FALSE;2;0;0;1;0;0;0;0;0;0;0;0
Rivedalselva;083.4Z;2005;0.56;NA;0.4;NA;NA;FALSE;2;7;0;2;2;0;0;0;0;0;0;0
Rivedalselva;083.4Z;2006;0.56;NA;0.4;NA;NA;FALSE;2;5;0;1;1;0;0;0;0;0;0;0
Rivedalselva;083.4Z;2007;0.56;NA;0.4;NA;NA;FALSE;0;4;0;0;1;0;0;0;0;0;0;0
Rivedalselva;083.4Z;2008;0.56;NA;NA;4;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Rivedalselva;083.4Z;2009;0.56;NA;NA;4;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Rivedalselva;083.4Z;2010;0.56;NA;0.4;NA;NA;FALSE;6;4;0;3;1;0;0;0;0;0;0;0
Rivedalselva;083.4Z;2011;0.56;NA;NA;4;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Rivedalselva;083.4Z;2012;0.56;NA;NA;4;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Rivedalselva;083.4Z;2013;0.56;NA;NA;4;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Rivedalselva;083.4Z;2014;0.56;NA;NA;4;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Rivedalselva;083.4Z;2015;0.56;NA;NA;4;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Rivedalselva;083.4Z;2016;0.56;NA;NA;4;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Rivedalselva;083.4Z;2017;0.56;NA;NA;4;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Rivedalselva;083.4Z;2018;0.56;NA;NA;4;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Rivedalselva;083.4Z;2019;0.56;NA;NA;4;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Rivedalselva;083.4Z;2020;0.56;NA;NA;4;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Rivedalselva;083.4Z;2021;0.56;NA;NA;4;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Rivedalselva;083.4Z;2022;0.56;NA;NA;4;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Rivedalselva;083.4Z;2023;0.56;NA;NA;4;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
