Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Indrehusvassdraget;086.1Z;1993;0.62;;;25;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Indrehusvassdraget;086.1Z;1994;0.62;;;25;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Indrehusvassdraget;086.1Z;1995;0.62;;;25;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Indrehusvassdraget;086.1Z;1996;0.62;;;25;;FALSE;5;10;0;2;2;0;0;0;0;0;0;0
Indrehusvassdraget;086.1Z;1997;0.62;;;25;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Indrehusvassdraget;086.1Z;1998;0.62;;;25;;FALSE;6;5;0;3;1;0;0;0;0;0;0;0
Indrehusvassdraget;086.1Z;1999;0.62;;0.4;;;FALSE;44;20;11;27;4;1;0;0;0;0;0;0
Indrehusvassdraget;086.1Z;2000;0.62;;0.4;;;FALSE;40;84;0;23;19;0;0;0;0;0;0;0
Indrehusvassdraget;086.1Z;2001;0.62;;0.4;;;FALSE;30;37;0;16;9;0;0;0;0;0;0;0
Indrehusvassdraget;086.1Z;2002;0.62;;0.4;;;FALSE;35;26;9;22;6;1;0;0;0;0;0;0
Indrehusvassdraget;086.1Z;2003;0.62;;0.4;;;FALSE;17;28;0;10;7;0;0;0;0;0;0;0
Indrehusvassdraget;086.1Z;2004;0.62;;0.4;;;FALSE;10;8;7;7;2;1;0;0;0;0;0;0
Indrehusvassdraget;086.1Z;2005;0.62;;0.4;;;FALSE;48;42;8;38;10;1;0;0;0;0;0;0
Indrehusvassdraget;086.1Z;2006;0.62;;0.4;;;FALSE;11;27;0;5;7;0;0;0;0;0;0;0
Indrehusvassdraget;086.1Z;2007;0.62;;0.4;;;FALSE;36;28;10;20;7;1;0;0;0;0;0;0
Indrehusvassdraget;086.1Z;2008;0.62;;0.4;;;FALSE;23;36;7;11;6;1;0;0;0;0;0;0
Indrehusvassdraget;086.1Z;2009;0.62;;0.4;;;FALSE;5;4;0;4;1;0;0;0;0;0;0;0
Indrehusvassdraget;086.1Z;2010;0.62;;0.4;;;FALSE;22;9;7;11;2;1;0;0;0;0;0;0
Indrehusvassdraget;086.1Z;2011;0.62;;0.4;;;FALSE;18;57;0;9;13;0;0;0;0;0;0;0
Indrehusvassdraget;086.1Z;2012;0.62;;0.4;;;FALSE;23;46;0;17;12;0;0;0;0;0;0;0
Indrehusvassdraget;086.1Z;2013;0.62;;0.4;;;FALSE;11;34;8;10;8;1;0;0;0;0;0;0
Indrehusvassdraget;086.1Z;2014;0.62;;0.4;;;FALSE;21;14;0;12;4;0;0;0;0;0;0;0
Indrehusvassdraget;086.1Z;2015;0.62;;0.4;;;FALSE;31;16;22;18;5;2;0;0;0;0;0;0
Indrehusvassdraget;086.1Z;2016;0.62;;0.4;;;FALSE;9;7;0;5;2;0;0;0;0;0;0;0
Indrehusvassdraget;086.1Z;2017;0.62;;0.4;;;FALSE;5;12;0;4;3;0;0;0;0;0;0;0
Indrehusvassdraget;086.1Z;2018;0.62;;0.4;;;FALSE;5;14;16;3;4;2;0;0;0;0;0;0
Indrehusvassdraget;086.1Z;2019;0.62;;0.4;;;FALSE;16;0;0;9;0;0;0;0;0;0;0;0
Indrehusvassdraget;086.1Z;2020;0.62;;0.4;;;FALSE;14.4;3.5;0;8;1;0;0;0;0;0;0;0
Indrehusvassdraget;086.1Z;2021;0.62;;0.4;;;FALSE;14;14;0;6;3;0;0;0;0;0;0;0
Indrehusvassdraget;086.1Z;2022;0.62;;0.4;;;FALSE;2;24;11;1;5;1;6;0;0;2;0;0
Indrehusvassdraget;086.1Z;2023;0.62;;0.4;;;FALSE;8;9;9;5;2;1;3;0;0;1;0;0
Indrehusvassdraget;086.1Z;2024;0.62;;0.4;;;FALSE;3;7;0;2;2;0;0;0;0;0;0;0
