Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Norddalselva (Vanylven);093.3Z;1993;0.54;NA;0.5;NA;NA;FALSE;11;15;8;7;3;1;0;0;0;0;0;0
Norddalselva (Vanylven);093.3Z;1994;0.54;NA;0.5;NA;NA;FALSE;25;0;0;16;0;0;0;0;0;0;0;0
Norddalselva (Vanylven);093.3Z;1995;0.54;0.5;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Norddalselva (Vanylven);093.3Z;1996;0.54;0.5;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Norddalselva (Vanylven);093.3Z;1997;0.54;0.5;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Norddalselva (Vanylven);093.3Z;1998;0.54;0.5;NA;NA;NA;FALSE;8;0;0;3;0;0;0;0;0;0;0;0
Norddalselva (Vanylven);093.3Z;1999;0.54;0.5;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Norddalselva (Vanylven);093.3Z;2000;0.54;NA;0.5;NA;NA;FALSE;63;16;26;33;4;3;0;0;0;0;0;0
Norddalselva (Vanylven);093.3Z;2001;0.54;NA;0.5;NA;NA;FALSE;22;47;51;10;10;6;0;0;0;0;0;0
Norddalselva (Vanylven);093.3Z;2002;0.54;0.5;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Norddalselva (Vanylven);093.3Z;2003;0.54;0.5;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Norddalselva (Vanylven);093.3Z;2004;0.54;NA;0.5;NA;NA;FALSE;29;25;0;13;8;0;0;0;0;0;0;0
Norddalselva (Vanylven);093.3Z;2005;0.54;0.5;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Norddalselva (Vanylven);093.3Z;2006;0.54;0.5;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Norddalselva (Vanylven);093.3Z;2007;0.54;0.5;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Norddalselva (Vanylven);093.3Z;2008;0.54;0.5;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Norddalselva (Vanylven);093.3Z;2009;0.54;0.5;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Norddalselva (Vanylven);093.3Z;2010;0.54;0.5;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Norddalselva (Vanylven);093.3Z;2011;0.54;0.5;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Norddalselva (Vanylven);093.3Z;2012;0.54;0.5;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Norddalselva (Vanylven);093.3Z;2013;0.54;0.5;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Norddalselva (Vanylven);093.3Z;2014;0.54;0.5;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Norddalselva (Vanylven);093.3Z;2015;0.54;0.5;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Norddalselva (Vanylven);093.3Z;2016;0.54;0.5;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Norddalselva (Vanylven);093.3Z;2017;0.54;0.5;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Norddalselva (Vanylven);093.3Z;2018;0.54;0.5;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Norddalselva (Vanylven);093.3Z;2019;0.54;0.5;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Norddalselva (Vanylven);093.3Z;2020;0.54;0.5;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Norddalselva (Vanylven);093.3Z;2021;0.54;0.5;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Norddalselva (Vanylven);093.3Z;2022;0.54;0.5;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Norddalselva (Vanylven);093.3Z;2023;0.54;0.5;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
