Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Øyraelva (Volda);094.6Z;1993;0.57;;0.44;;;FALSE;150;11;8;80;2;1;0;0;0;0;0;0
Øyraelva (Volda);094.6Z;1994;0.57;;0.44;;;FALSE;242;29;0;123;8;0;0;0;0;0;0;0
Øyraelva (Volda);094.6Z;1995;0.57;;0.44;;;FALSE;80;0;0;53;0;0;0;0;0;0;0;0
Øyraelva (Volda);094.6Z;1996;0.57;;0.44;;;FALSE;53;0;0;29;0;0;0;0;0;0;0;0
Øyraelva (Volda);094.6Z;1997;0.57;1;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Øyraelva (Volda);094.6Z;1998;0.57;;0.44;;;FALSE;91;29;0;56;9;0;0;0;0;0;0;0
Øyraelva (Volda);094.6Z;1999;0.57;;0.44;;;FALSE;67;5;0;42;1;0;0;0;0;0;0;0
Øyraelva (Volda);094.6Z;2000;0.57;;0.44;;;FALSE;222;30;0;131;7;0;0;0;0;0;0;0
Øyraelva (Volda);094.6Z;2001;0.57;;0.44;;;FALSE;133;34;8;75;9;1;0;0;0;0;0;0
Øyraelva (Volda);094.6Z;2002;0.57;;0.44;;;FALSE;50;0;0;25;0;0;0;0;0;0;0;0
Øyraelva (Volda);094.6Z;2003;0.57;;0.44;;;FALSE;40;5;0;23;1;0;0;0;0;0;0;0
Øyraelva (Volda);094.6Z;2004;0.57;1;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Øyraelva (Volda);094.6Z;2005;0.57;1;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Øyraelva (Volda);094.6Z;2006;0.57;1;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Øyraelva (Volda);094.6Z;2007;0.57;1;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Øyraelva (Volda);094.6Z;2008;0.57;1;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Øyraelva (Volda);094.6Z;2009;0.57;;0.44;;;FALSE;32;19;15;16;6;2;0;0;0;0;0;0
Øyraelva (Volda);094.6Z;2010;0.57;;0.44;;;FALSE;96;0;0;48;0;0;0;0;0;0;0;0
Øyraelva (Volda);094.6Z;2011;0.57;;0.44;;;FALSE;102;21;9;54;5;1;0;0;0;0;0;0
Øyraelva (Volda);094.6Z;2012;0.57;;0.44;;;FALSE;21;13;0;11;4;0;0;0;0;0;0;0
Øyraelva (Volda);094.6Z;2013;0.57;;0.44;;;FALSE;57;19;0;27;6;0;0;0;0;0;0;0
Øyraelva (Volda);094.6Z;2014;0.57;1;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Øyraelva (Volda);094.6Z;2015;0.57;;0.44;;;FALSE;31;7;0;21;2;0;0;0;0;0;0;0
Øyraelva (Volda);094.6Z;2016;0.57;;0.44;;;FALSE;43;24;0;27;6;0;0;0;0;0;0;0
Øyraelva (Volda);094.6Z;2017;0.57;;0.44;;;FALSE;15;17;0;13;4;0;0;0;0;0;0;0
Øyraelva (Volda);094.6Z;2018;0.57;;0.3;;;FALSE;5;4;0;3;1;0;0;0;0;0;0;0
Øyraelva (Volda);094.6Z;2019;0.57;;0.3;;;FALSE;6;6;7;5;1;1;2;0;0;2;0;0
Øyraelva (Volda);094.6Z;2020;0.57;1;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Øyraelva (Volda);094.6Z;2021;0.57;1;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Øyraelva (Volda);094.6Z;2022;0.57;1;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Øyraelva (Volda);094.6Z;2023;0.57;1;;;;FALSE;0;0;0;0;0;0;30;20;0;14;6;0
Øyraelva (Volda);094.6Z;2024;0.57;1;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
