Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Standalselva;097.11Z;1993;0.58;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Standalselva;097.11Z;1994;0.58;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Standalselva;097.11Z;1995;0.58;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Standalselva;097.11Z;1996;0.58;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Standalselva;097.11Z;1997;0.58;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Standalselva;097.11Z;1998;0.58;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Standalselva;097.11Z;1999;0.58;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Standalselva;097.11Z;2000;0.58;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Standalselva;097.11Z;2001;0.58;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Standalselva;097.11Z;2002;0.58;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Standalselva;097.11Z;2003;0.58;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Standalselva;097.11Z;2004;0.58;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Standalselva;097.11Z;2005;0.58;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Standalselva;097.11Z;2006;0.58;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Standalselva;097.11Z;2007;0.58;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Standalselva;097.11Z;2008;0.58;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Standalselva;097.11Z;2009;0.58;NA;0.39;NA;NA;FALSE;9;5;10;5;1;1;0;0;0;0;0;0
Standalselva;097.11Z;2010;0.58;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Standalselva;097.11Z;2011;0.58;NA;0.39;NA;NA;FALSE;12;23;0;6;5;0;0;10;0;0;2;0
Standalselva;097.11Z;2012;0.58;NA;0.39;NA;NA;FALSE;1;13;0;1;3;0;0;0;0;0;0;0
Standalselva;097.11Z;2013;0.58;NA;0.39;NA;NA;FALSE;11;0;0;7;0;0;0;0;0;0;0;0
Standalselva;097.11Z;2014;0.58;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Standalselva;097.11Z;2015;0.58;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Standalselva;097.11Z;2016;0.58;NA;0.39;NA;NA;FALSE;5;16;7;6;4;1;0;0;0;0;0;0
Standalselva;097.11Z;2017;0.58;NA;0.39;NA;NA;FALSE;3;14;0;2;3;0;0;0;0;0;0;0
Standalselva;097.11Z;2018;0.58;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Standalselva;097.11Z;2019;0.58;NA;0.39;NA;NA;FALSE;0;3;0;0;1;0;0;0;0;0;0;0
Standalselva;097.11Z;2020;0.58;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Standalselva;097.11Z;2021;0.58;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Standalselva;097.11Z;2022;0.58;NA;NA;5;NA;FALSE;2;0;0;1;0;0;0;0;0;0;0;0
Standalselva;097.11Z;2023;0.58;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
