Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Vikelva (Sykkylven);097.721Z;1993;0.59;NA;NA;10;NA;FALSE;1;0;0;1;0;0;0;0;0;0;0;0
Vikelva (Sykkylven);097.721Z;1994;0.59;NA;0.5;NA;NA;FALSE;25;0;0;16;0;0;0;0;0;0;0;0
Vikelva (Sykkylven);097.721Z;1995;0.59;NA;0.5;NA;NA;FALSE;19;0;0;16;0;0;0;0;0;0;0;0
Vikelva (Sykkylven);097.721Z;1996;0.59;NA;NA;10;NA;FALSE;4;0;0;3;0;0;0;0;0;0;0;0
Vikelva (Sykkylven);097.721Z;1997;0.59;NA;0.5;NA;NA;FALSE;5;11;0;3;2;0;0;0;0;0;0;0
Vikelva (Sykkylven);097.721Z;1998;0.59;NA;0.5;NA;NA;FALSE;11;0;0;8;0;0;0;0;0;0;0;0
Vikelva (Sykkylven);097.721Z;1999;0.59;NA;0.5;NA;NA;FALSE;20;0;0;14;0;0;0;0;0;0;0;0
Vikelva (Sykkylven);097.721Z;2000;0.59;NA;0.5;NA;NA;FALSE;94;74;0;53;19;0;0;0;0;0;0;0
Vikelva (Sykkylven);097.721Z;2001;0.59;NA;0.5;NA;NA;FALSE;38;8;8;21;2;1;0;0;0;0;0;0
Vikelva (Sykkylven);097.721Z;2002;0.59;NA;0.5;NA;NA;FALSE;8;7;0;6;1;0;0;0;0;0;0;0
Vikelva (Sykkylven);097.721Z;2003;0.59;NA;0.5;NA;NA;FALSE;13;10;0;9;2;0;0;0;0;0;0;0
Vikelva (Sykkylven);097.721Z;2004;0.59;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Vikelva (Sykkylven);097.721Z;2005;0.59;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Vikelva (Sykkylven);097.721Z;2006;0.59;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Vikelva (Sykkylven);097.721Z;2007;0.59;NA;0.5;NA;NA;FALSE;17;7;0;12;2;0;0;0;0;0;0;0
Vikelva (Sykkylven);097.721Z;2008;0.59;NA;0.5;NA;NA;FALSE;17;3;0;9;1;0;0;0;0;0;0;0
Vikelva (Sykkylven);097.721Z;2009;0.59;NA;0.5;NA;NA;FALSE;5;0;0;4;0;0;0;0;0;0;0;0
Vikelva (Sykkylven);097.721Z;2010;0.59;NA;0.5;NA;NA;FALSE;24;14;0;12;3;0;0;0;0;0;0;0
Vikelva (Sykkylven);097.721Z;2011;0.59;NA;0.5;NA;NA;FALSE;23;47;15;12;12;2;0;0;0;0;0;0
Vikelva (Sykkylven);097.721Z;2012;0.59;NA;0.5;NA;NA;FALSE;4;17;0;2;4;0;0;0;0;0;0;0
Vikelva (Sykkylven);097.721Z;2013;0.59;NA;0.5;NA;NA;FALSE;4;0;0;3;0;0;1;0;0;1;0;0
Vikelva (Sykkylven);097.721Z;2014;0.59;NA;0.5;NA;NA;FALSE;18;0;0;9;0;0;0;0;0;0;0;0
Vikelva (Sykkylven);097.721Z;2015;0.59;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Vikelva (Sykkylven);097.721Z;2016;0.59;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Vikelva (Sykkylven);097.721Z;2017;0.59;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Vikelva (Sykkylven);097.721Z;2018;0.59;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Vikelva (Sykkylven);097.721Z;2019;0.59;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Vikelva (Sykkylven);097.721Z;2020;0.59;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Vikelva (Sykkylven);097.721Z;2021;0.59;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Vikelva (Sykkylven);097.721Z;2022;0.59;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Vikelva (Sykkylven);097.721Z;2023;0.59;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
