Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Skorgeelva (Vestnes);102.5Z;1993;0.6;0.3;NA;NA;NA;FALSE;3;8;0;2;2;0;0;0;0;0;0;0
Skorgeelva (Vestnes);102.5Z;1994;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Skorgeelva (Vestnes);102.5Z;1995;0.6;NA;0.4;NA;NA;FALSE;17;4;0;11;1;0;0;0;0;0;0;0
Skorgeelva (Vestnes);102.5Z;1996;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Skorgeelva (Vestnes);102.5Z;1997;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Skorgeelva (Vestnes);102.5Z;1998;0.6;NA;0.4;NA;NA;FALSE;27;62;24;17;18;3;0;0;0;0;0;0
Skorgeelva (Vestnes);102.5Z;1999;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Skorgeelva (Vestnes);102.5Z;2000;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Skorgeelva (Vestnes);102.5Z;2001;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Skorgeelva (Vestnes);102.5Z;2002;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Skorgeelva (Vestnes);102.5Z;2003;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Skorgeelva (Vestnes);102.5Z;2004;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Skorgeelva (Vestnes);102.5Z;2005;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Skorgeelva (Vestnes);102.5Z;2006;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Skorgeelva (Vestnes);102.5Z;2007;0.6;NA;0.4;NA;NA;FALSE;22;7;9;15;2;1;0;0;0;0;0;0
Skorgeelva (Vestnes);102.5Z;2008;0.6;NA;0.4;NA;NA;FALSE;22;25;8;12;5;1;0;0;0;0;0;0
Skorgeelva (Vestnes);102.5Z;2009;0.6;NA;0.4;NA;NA;FALSE;17;6;0;12;2;0;0;0;0;0;0;0
Skorgeelva (Vestnes);102.5Z;2010;0.6;NA;0.4;NA;NA;FALSE;19;6;0;9;2;0;0;0;0;0;0;0
Skorgeelva (Vestnes);102.5Z;2011;0.6;NA;0.4;NA;NA;FALSE;16;10;0;12;3;0;0;0;0;0;0;0
Skorgeelva (Vestnes);102.5Z;2012;0.6;NA;0.4;NA;NA;FALSE;15;0;0;9;0;0;0;0;0;0;0;0
Skorgeelva (Vestnes);102.5Z;2013;0.6;NA;0.4;NA;NA;FALSE;27;0;0;18;0;0;0;0;0;0;0;0
Skorgeelva (Vestnes);102.5Z;2014;0.6;0.3;NA;NA;NA;FALSE;5;3;0;3;1;0;0;0;0;0;0;0
Skorgeelva (Vestnes);102.5Z;2015;0.6;NA;0.4;NA;NA;FALSE;60;72;0;30;18;0;0;0;0;0;0;0
Skorgeelva (Vestnes);102.5Z;2016;0.6;0.3;NA;NA;NA;FALSE;4;0;0;4;0;0;0;0;0;0;0;0
Skorgeelva (Vestnes);102.5Z;2017;0.6;NA;0.4;NA;NA;FALSE;28;63;0;18;16;0;0;0;0;0;0;0
Skorgeelva (Vestnes);102.5Z;2018;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Skorgeelva (Vestnes);102.5Z;2019;0.6;NA;0.4;NA;NA;FALSE;16;4;0;9;1;0;0;0;0;0;0;0
Skorgeelva (Vestnes);102.5Z;2020;0.6;NA;0.4;NA;NA;FALSE;49;0;0;27;0;0;0;0;0;0;0;0
Skorgeelva (Vestnes);102.5Z;2021;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Skorgeelva (Vestnes);102.5Z;2022;0.6;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Skorgeelva (Vestnes);102.5Z;2023;0.6;0.3;NA;NA;NA;FALSE;3;0;0;2;0;0;0;0;0;0;0;0
