Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Litledalselva;109.5Z;1993;0.55;;0.27;;;FALSE;62;0;0;36;0;0;0;0;0;0;0;0
Litledalselva;109.5Z;1994;0.55;0.3;;;;FALSE;0;10;0;0;2;0;0;0;0;0;0;0
Litledalselva;109.5Z;1995;0.55;;0.27;;;FALSE;14;79;8;7;14;1;0;0;0;0;0;0
Litledalselva;109.5Z;1996;0.55;;0.27;;;FALSE;0;45;0;0;11;0;0;0;0;0;0;0
Litledalselva;109.5Z;1997;0.55;;0.27;;;FALSE;7;42;7;3;11;1;0;0;0;0;0;0
Litledalselva;109.5Z;1998;0.55;;0.27;;;FALSE;27;14;0;13;3;0;0;0;0;0;0;0
Litledalselva;109.5Z;1999;0.55;;0.27;;;FALSE;25;32;0;11;9;0;0;0;0;0;0;0
Litledalselva;109.5Z;2000;0.55;;0.27;;;FALSE;37;46;0;16;11;0;0;0;0;0;0;0
Litledalselva;109.5Z;2001;0.55;;0.27;;;FALSE;25;40;0;11;11;0;0;0;0;0;0;0
Litledalselva;109.5Z;2002;0.55;;0.27;;;FALSE;91;87;61;39;24;8;0;0;0;0;0;0
Litledalselva;109.5Z;2003;0.55;;0.27;;;FALSE;16;45;0;7;13;0;0;0;0;0;0;0
Litledalselva;109.5Z;2004;0.55;;0.27;;;FALSE;124;75;8;92;16;1;0;0;0;0;0;0
Litledalselva;109.5Z;2005;0.55;;0.27;;;FALSE;73;52;0;36;11;0;0;0;0;0;0;0
Litledalselva;109.5Z;2006;0.55;;0.27;;;FALSE;12;36;21;7;7;2;0;0;0;0;0;0
Litledalselva;109.5Z;2007;0.55;;0.27;;;FALSE;9;70;22;5;13;3;0;0;0;0;0;0
Litledalselva;109.5Z;2008;0.55;;0.27;;;FALSE;30;49;21;17;13;2;0;0;0;0;0;0
Litledalselva;109.5Z;2009;0.55;;0.27;;;FALSE;35;202;120;29;62;15;0;0;0;0;0;0
Litledalselva;109.5Z;2010;0.55;;0.27;;;FALSE;94;146;97;49;30;12;0;0;0;0;0;0
Litledalselva;109.5Z;2011;0.55;;0.27;;;FALSE;53;103;0;26;23;0;0;0;0;0;0;0
Litledalselva;109.5Z;2012;0.55;;0.27;;;FALSE;89;157;0;45;33;0;0;0;0;0;0;0
Litledalselva;109.5Z;2013;0.55;;0.27;;;FALSE;27;95;0;16;18;0;0;0;0;0;0;0
Litledalselva;109.5Z;2014;0.55;;0.27;;;FALSE;33;98;0;16;19;0;0;0;0;0;0;0
Litledalselva;109.5Z;2015;0.55;;0.27;;;FALSE;18;59;0;9;13;0;0;0;0;0;0;0
Litledalselva;109.5Z;2016;0.55;;0.27;;;FALSE;20;49;0;10;11;0;0;0;0;0;0;0
Litledalselva;109.5Z;2017;0.55;;0.27;;;FALSE;18;16;0;8;4;0;0;0;0;0;0;0
Litledalselva;109.5Z;2018;0.55;;0.27;;;FALSE;15;17;0;8;4;0;0;0;0;0;0;0
Litledalselva;109.5Z;2019;0.55;;0.27;;;FALSE;17;8;0;8;2;0;0;0;0;0;0;0
Litledalselva;109.5Z;2020;0.55;;0.27;;;FALSE;20.6;26.9;0;9;7;0;0;0;0;0;0;0
Litledalselva;109.5Z;2021;0.55;;0.27;;;FALSE;14;49;0;7;13;0;0;0;0;0;0;0
Litledalselva;109.5Z;2022;0.55;0.3;;;;FALSE;4;8;0;2;2;0;0;0;0;0;0;0
Litledalselva;109.5Z;2023;0.55;0.3;;;;FALSE;7;0;0;3;0;0;0;0;0;0;0;0
Litledalselva;109.5Z;2024;0.55;0.3;;;;FALSE;6;0;0;3;0;0;0;0;0;0;0;0
