Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Driva;109.Z;1993;0.53;NA;0.3;NA;NA;FALSE;183;392;182;143;81;23;0;0;0;0;0;0
Driva;109.Z;1994;0.53;NA;0.3;NA;NA;FALSE;3326;747;148;1330;188;16;0;0;0;0;0;0
Driva;109.Z;1995;0.53;NA;0.3;NA;NA;FALSE;241;1321;550;120;248;66;0;0;0;0;0;0
Driva;109.Z;1996;0.53;NA;0.3;NA;NA;FALSE;145;231;714;68;54;83;0;0;0;0;0;0
Driva;109.Z;1997;0.53;NA;0.3;NA;NA;FALSE;197;852;220;93;159;27;0;0;0;0;0;0
Driva;109.Z;1998;0.53;NA;0.3;NA;NA;FALSE;234;715;215;120;137;26;0;0;0;0;0;0
Driva;109.Z;1999;0.53;NA;0.3;NA;NA;FALSE;756;413;127;378;108;16;0;0;0;0;0;0
Driva;109.Z;2000;0.53;NA;0.3;NA;NA;FALSE;524;1052;412;278;216;51;0;0;0;0;0;0
Driva;109.Z;2001;0.53;NA;0.3;NA;NA;FALSE;540;676;114;251;155;13;0;0;0;0;0;0
Driva;109.Z;2002;0.53;NA;0.3;NA;NA;FALSE;974;1775;902;502;386;113;0;0;0;0;0;0
Driva;109.Z;2003;0.53;NA;0.3;NA;NA;FALSE;648;1185;492;321;257;58;0;0;0;0;0;0
Driva;109.Z;2004;0.53;NA;0.3;NA;NA;FALSE;1569;849;446;878;182;52;0;0;0;0;0;0
Driva;109.Z;2005;0.53;NA;0.3;NA;NA;FALSE;821;1453;701;382;297;74;0;0;0;0;0;0
Driva;109.Z;2006;0.53;NA;0.3;NA;NA;FALSE;367;2202;835;216;440;96;0;0;0;0;0;0
Driva;109.Z;2007;0.53;NA;0.3;NA;NA;FALSE;132;461;705;81;93;81;0;0;0;0;0;0
Driva;109.Z;2008;0.53;NA;0.3;NA;NA;FALSE;194;1169;1093;111;233;111;0;0;0;0;0;0
Driva;109.Z;2009;0.53;NA;0.3;NA;NA;FALSE;743;1905;1814;550;446;210;18;15;36;11;3;4
Driva;109.Z;2010;0.53;NA;0.3;NA;NA;FALSE;288;1953;1278;144;400;146;0;0;0;0;0;0
Driva;109.Z;2011;0.53;NA;0.3;NA;NA;FALSE;475;2929;1877;229;581;229;0;0;0;0;0;0
Driva;109.Z;2012;0.53;NA;0.3;NA;NA;FALSE;390;3053;5109;204;604;581;24;61;64;18;11;7
Driva;109.Z;2013;0.53;NA;0.3;NA;NA;FALSE;186;1050;1353;99;220;146;9;0;47;12;0;6
Driva;109.Z;2014;0.53;NA;0.3;NA;NA;FALSE;583;1156;674;315;267;81;34;7;0;23;2;0
Driva;109.Z;2015;0.53;NA;0.3;NA;NA;FALSE;430;1021;622;241;228;74;39;29;0;24;7;0
Driva;109.Z;2016;0.53;NA;0.3;NA;NA;FALSE;418;2329;1432;253;475;167;8;101;14;4;20;2
Driva;109.Z;2017;0.53;NA;0.3;NA;NA;FALSE;548;2059;1883;296;424;189;0;0;0;0;0;0
Driva;109.Z;2018;0.53;NA;0.3;NA;NA;FALSE;486;1398;879;271;283;99;3;11;0;3;2;0
Driva;109.Z;2019;0.53;NA;0.6;NA;NA;FALSE;531;736;1322;324;146;141;9;0;23;6;0;2
Driva;109.Z;2020;0.53;NA;0.6;NA;NA;FALSE;755;1318.4;536.7;409;267;62;18.6;35.9;23;11;7;3
Driva;109.Z;2021;0.53;NA;0.6;NA;NA;FALSE;255;1574;912;137;316;104;5;12;22;4;3;3
Driva;109.Z;2022;0.53;NA;0.6;NA;NA;FALSE;417;1273;1911;204;256;215;12;10;30;8;3;3
Driva;109.Z;2023;0.53;NA;0.6;NA;NA;FALSE;159;1538;1692;84;293;197;3;20;9;2;4;1
