Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Bævra;112.3Z;1993;0.56;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bævra;112.3Z;1994;0.56;NA;0.38;NA;NA;FALSE;75;0;0;50;0;0;0;0;0;0;0;0
Bævra;112.3Z;1995;0.56;NA;0.38;NA;NA;FALSE;92;54;17;52;11;2;0;0;0;0;0;0
Bævra;112.3Z;1996;0.56;NA;0.38;NA;NA;FALSE;76;26;0;53;7;0;0;0;0;0;0;0
Bævra;112.3Z;1997;0.56;NA;0.38;NA;NA;FALSE;21;41;0;10;9;0;0;0;0;0;0;0
Bævra;112.3Z;1998;0.56;NA;0.38;NA;NA;FALSE;26;17;13;15;3;1;0;0;0;0;0;0
Bævra;112.3Z;1999;0.56;NA;0.38;NA;NA;FALSE;24;0;0;14;0;0;0;0;0;0;0;0
Bævra;112.3Z;2000;0.56;NA;0.38;NA;NA;FALSE;135;10;0;73;2;0;0;0;0;0;0;0
Bævra;112.3Z;2001;0.56;NA;0.38;NA;NA;FALSE;134;81;0;73;18;0;0;0;0;0;0;0
Bævra;112.3Z;2002;0.56;NA;0.38;NA;NA;FALSE;26;0;8;19;0;1;0;0;0;0;0;0
Bævra;112.3Z;2003;0.56;NA;0.38;NA;NA;FALSE;24;4;8;16;1;1;0;0;0;0;0;0
Bævra;112.3Z;2004;0.56;NA;0.38;NA;NA;FALSE;15;6;0;9;1;0;0;0;0;0;0;0
Bævra;112.3Z;2005;0.56;NA;0.38;NA;NA;FALSE;48;27;0;34;6;0;0;0;0;0;0;0
Bævra;112.3Z;2006;0.56;NA;0.38;NA;NA;FALSE;48;56;17;34;11;2;0;0;0;0;0;0
Bævra;112.3Z;2007;0.56;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bævra;112.3Z;2008;0.56;NA;0.38;NA;NA;FALSE;22;30;39;16;7;4;0;0;0;0;0;0
Bævra;112.3Z;2009;0.56;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bævra;112.3Z;2010;0.56;NA;0.38;NA;NA;FALSE;16;62;32;9;13;4;0;0;0;0;0;0
Bævra;112.3Z;2011;0.56;NA;0.38;NA;NA;FALSE;9;29;36;5;7;4;0;0;0;0;0;0
Bævra;112.3Z;2012;0.56;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bævra;112.3Z;2013;0.56;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bævra;112.3Z;2014;0.56;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bævra;112.3Z;2015;0.56;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bævra;112.3Z;2016;0.56;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bævra;112.3Z;2017;0.56;NA;0.38;NA;NA;FALSE;37;137;15;23;29;2;0;0;0;0;0;0
Bævra;112.3Z;2018;0.56;NA;0.2;NA;NA;FALSE;9;31;15;4;6;2;0;0;0;0;0;0
Bævra;112.3Z;2019;0.56;NA;0.2;NA;NA;FALSE;50;9;7;34;2;1;0;0;0;0;0;0
Bævra;112.3Z;2020;0.56;NA;0.2;NA;NA;FALSE;5;8.9;7.3;3;2;1;0;0;0;0;0;0
Bævra;112.3Z;2021;0.56;NA;0.2;NA;NA;FALSE;7;18;12;4;4;1;0;0;0;0;0;0
Bævra;112.3Z;2022;0.56;NA;0.2;NA;NA;FALSE;14;8;0;8;2;0;4;0;0;2;0;0
Bævra;112.3Z;2023;0.56;NA;0.2;NA;NA;FALSE;6;18;10;3;4;1;6;0;0;4;0;0
