Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Todalselva (Aure);113.6Z;1993;0.57;0.1;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Todalselva (Aure);113.6Z;1994;0.57;0.1;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Todalselva (Aure);113.6Z;1995;0.57;0.1;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Todalselva (Aure);113.6Z;1996;0.57;0.1;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Todalselva (Aure);113.6Z;1997;0.57;0.1;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Todalselva (Aure);113.6Z;1998;0.57;;0.5;;;FALSE;40;25;0;25;5;0;0;0;0;0;0;0
Todalselva (Aure);113.6Z;1999;0.57;;0.5;;;FALSE;40;0;0;20;0;0;0;0;0;0;0;0
Todalselva (Aure);113.6Z;2000;0.57;;0.5;;;FALSE;80;75;8;55;18;1;0;0;0;0;0;0
Todalselva (Aure);113.6Z;2001;0.57;0.1;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Todalselva (Aure);113.6Z;2002;0.57;;0.5;;;FALSE;80;75;8;55;18;1;0;0;0;0;0;0
Todalselva (Aure);113.6Z;2003;0.57;0.1;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Todalselva (Aure);113.6Z;2004;0.57;0.1;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Todalselva (Aure);113.6Z;2005;0.57;0.1;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Todalselva (Aure);113.6Z;2006;0.57;0.1;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Todalselva (Aure);113.6Z;2007;0.57;0.1;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Todalselva (Aure);113.6Z;2008;0.57;0.1;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Todalselva (Aure);113.6Z;2009;0.57;0.1;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Todalselva (Aure);113.6Z;2010;0.57;;0.5;;;FALSE;21;3;0;14;1;0;0;0;0;0;0;0
Todalselva (Aure);113.6Z;2011;0.57;;0.5;;;FALSE;5;3;0;3;1;0;0;0;0;0;0;0
Todalselva (Aure);113.6Z;2012;0.57;;0.5;;;FALSE;13;4;0;9;1;0;0;0;0;0;0;0
Todalselva (Aure);113.6Z;2013;0.57;;0.5;;;FALSE;36;3;0;29;1;0;0;0;0;0;0;0
Todalselva (Aure);113.6Z;2014;0.57;0.1;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Todalselva (Aure);113.6Z;2015;0.57;;0.5;;;FALSE;30;7;0;24;2;0;1;4;0;1;1;0
Todalselva (Aure);113.6Z;2016;0.57;;0.5;;;FALSE;17;15;0;9;4;0;4;3;0;3;1;0
Todalselva (Aure);113.6Z;2017;0.57;;0.5;;;FALSE;45;11;0;30;3;0;0;0;0;0;0;0
Todalselva (Aure);113.6Z;2018;0.57;;0.5;;;FALSE;7;19;0;5;5;0;2;6;0;2;1;0
Todalselva (Aure);113.6Z;2019;0.57;;0.5;;;FALSE;17;19;0;14;5;0;3;0;0;2;0;0
Todalselva (Aure);113.6Z;2020;0.57;;0.5;;;FALSE;20.6;6.4;0;15;2;0;0;0;0;0;0;0
Todalselva (Aure);113.6Z;2021;0.57;;0.5;;;FALSE;6;0;0;4;0;0;0;0;0;0;0;0
Todalselva (Aure);113.6Z;2022;0.57;;0.5;;;FALSE;27;10;0;19;3;0;0;0;0;0;0;0
Todalselva (Aure);113.6Z;2023;0.57;;0.5;;;FALSE;2;4;0;2;1;0;2;0;0;1;0;0
Todalselva (Aure);113.6Z;2024;0.57;;0.5;;;FALSE;5;0;8;4;0;1;1;0;0;1;0;0
