Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Bergselva;119.4Z;1993;0.59;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bergselva;119.4Z;1994;0.59;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bergselva;119.4Z;1995;0.59;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bergselva;119.4Z;1996;0.59;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bergselva;119.4Z;1997;0.59;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bergselva;119.4Z;1998;0.59;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bergselva;119.4Z;1999;0.59;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bergselva;119.4Z;2000;0.59;0.5;;;;FALSE;9;0;0;4;0;0;0;0;0;0;0;0
Bergselva;119.4Z;2001;0.59;;0.5;;;FALSE;100;200;73;70;40;9;0;0;0;0;0;0
Bergselva;119.4Z;2002;0.59;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bergselva;119.4Z;2003;0.59;;0.5;;;FALSE;55;132;52;27;27;6;0;0;0;0;0;0
Bergselva;119.4Z;2004;0.59;0.5;;;;FALSE;8;0;0;4;0;0;0;0;0;0;0;0
Bergselva;119.4Z;2005;0.59;0.5;;;;FALSE;1;0;0;1;0;0;0;0;0;0;0;0
Bergselva;119.4Z;2006;0.59;0.5;;;;FALSE;5;0;0;3;0;0;0;0;0;0;0;0
Bergselva;119.4Z;2007;0.59;0.5;;;;FALSE;6;8;0;6;2;0;0;0;0;0;0;0
Bergselva;119.4Z;2008;0.59;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bergselva;119.4Z;2009;0.59;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bergselva;119.4Z;2010;0.59;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bergselva;119.4Z;2011;0.59;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bergselva;119.4Z;2012;0.59;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bergselva;119.4Z;2013;0.59;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bergselva;119.4Z;2014;0.59;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bergselva;119.4Z;2015;0.59;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bergselva;119.4Z;2016;0.59;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bergselva;119.4Z;2017;0.59;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bergselva;119.4Z;2018;0.59;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bergselva;119.4Z;2019;0.59;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bergselva;119.4Z;2020;0.59;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bergselva;119.4Z;2021;0.59;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bergselva;119.4Z;2022;0.59;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bergselva;119.4Z;2023;0.59;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bergselva;119.4Z;2024;0.59;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
