Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Osaelva;133.2Z;1993;0.55;0.4;;;;TRUE;0;0;0;0;0;0;0;0;0;0;0;0
Osaelva;133.2Z;1994;0.55;0.4;;;;TRUE;0;0;0;0;0;0;0;0;0;0;0;0
Osaelva;133.2Z;1995;0.55;0.4;;;;TRUE;0;0;0;0;0;0;0;0;0;0;0;0
Osaelva;133.2Z;1996;0.55;0.4;;;;TRUE;0;0;0;0;0;0;0;0;0;0;0;0
Osaelva;133.2Z;1997;0.55;0.4;;;;TRUE;0;0;0;0;0;0;0;0;0;0;0;0
Osaelva;133.2Z;1998;0.55;0.4;;;;TRUE;0;0;0;0;0;0;0;0;0;0;0;0
Osaelva;133.2Z;1999;0.55;0.4;;;;TRUE;0;0;0;0;0;0;0;0;0;0;0;0
Osaelva;133.2Z;2000;0.55;0.4;;;;TRUE;0;0;0;0;0;0;0;0;0;0;0;0
Osaelva;133.2Z;2001;0.55;0.4;;;;TRUE;0;0;0;0;0;0;0;0;0;0;0;0
Osaelva;133.2Z;2002;0.55;0.4;;;;TRUE;0;0;0;0;0;0;0;0;0;0;0;0
Osaelva;133.2Z;2003;0.55;0.4;;;;TRUE;0;0;0;0;0;0;0;0;0;0;0;0
Osaelva;133.2Z;2004;0.55;0.4;;;;TRUE;0;0;0;0;0;0;0;0;0;0;0;0
Osaelva;133.2Z;2005;0.55;0.4;;;;TRUE;0;0;0;0;0;0;0;0;0;0;0;0
Osaelva;133.2Z;2006;0.55;0.4;;;;TRUE;10;0;0;8;0;0;0;0;0;0;0;0
Osaelva;133.2Z;2007;0.55;0.4;;;;TRUE;0;0;0;0;0;0;0;0;0;0;0;0
Osaelva;133.2Z;2008;0.55;0.4;;;;TRUE;0;0;0;0;0;0;0;0;0;0;0;0
Osaelva;133.2Z;2009;0.55;0.4;;;;TRUE;0;0;0;0;0;0;0;0;0;0;0;0
Osaelva;133.2Z;2010;0.55;0.4;;;;TRUE;0;0;0;0;0;0;0;0;0;0;0;0
Osaelva;133.2Z;2011;0.55;0.4;;;;TRUE;0;0;0;0;0;0;0;0;0;0;0;0
Osaelva;133.2Z;2012;0.55;0.4;;;;TRUE;0;0;0;0;0;0;0;0;0;0;0;0
Osaelva;133.2Z;2013;0.55;;0.4;;;TRUE;94;33;20;68;7;2;0;0;0;0;0;0
Osaelva;133.2Z;2014;0.55;0.4;;;;TRUE;0;4;0;0;1;0;0;0;0;0;0;0
Osaelva;133.2Z;2015;0.55;;0.4;;;TRUE;46;12;0;32;3;0;0;0;0;0;0;0
Osaelva;133.2Z;2016;0.55;0.4;;;;TRUE;0;0;0;0;0;0;0;0;0;0;0;0
Osaelva;133.2Z;2017;0.55;;0.4;;;TRUE;17;28;0;11;7;0;0;0;0;0;0;0
Osaelva;133.2Z;2018;0.55;;0.4;;;TRUE;0;32;0;0;8;0;10;0;0;17;0;0
Osaelva;133.2Z;2019;0.55;0.4;;;;TRUE;0;0;0;0;0;0;0;0;0;0;0;0
Osaelva;133.2Z;2020;0.55;;0.4;;;TRUE;32.1;13.1;0;18;3;0;0;0;0;0;0;0
Osaelva;133.2Z;2021;0.55;;0.4;;;TRUE;16;5;0;10;1;0;0;0;0;0;0;0
Osaelva;133.2Z;2022;0.55;;0.4;;;TRUE;48;60;0;23;14;0;0;0;0;0;0;0
Osaelva;133.2Z;2023;0.55;;0.4;;;TRUE;18;3;0;9;1;0;0;0;0;0;0;0
Osaelva;133.2Z;2024;0.55;;0.4;;;TRUE;20;7;0;10;2;0;0;0;0;0;0;0
