Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Lauvsneselva;137.7Z;1993;0.61;;0.5;;;FALSE;183;156;58;102;32;6;0;0;0;0;0;0
Lauvsneselva;137.7Z;1994;0.61;;0.5;;;FALSE;256;149;70;143;29;7;0;0;0;0;0;0
Lauvsneselva;137.7Z;1995;0.61;;0.5;;;FALSE;106;330;184;67;89;21;0;0;0;0;0;0
Lauvsneselva;137.7Z;1996;0.61;;0.5;;;FALSE;130;216;88;78;62;12;0;0;0;0;0;0
Lauvsneselva;137.7Z;1997;0.61;;;30;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Lauvsneselva;137.7Z;1998;0.61;;0.5;;;FALSE;151;398;66;84;101;8;0;0;0;0;0;0
Lauvsneselva;137.7Z;1999;0.61;;0.5;;;FALSE;93;336;34;57;75;4;0;0;0;0;0;0
Lauvsneselva;137.7Z;2000;0.61;;0.5;;;FALSE;131;205;128;71;48;15;0;0;0;0;0;0
Lauvsneselva;137.7Z;2001;0.61;;0.5;;;FALSE;82;458;82;44;101;11;0;0;0;0;0;0
Lauvsneselva;137.7Z;2002;0.61;;0.5;;;FALSE;149;276;94;83;60;12;0;0;0;0;0;0
Lauvsneselva;137.7Z;2003;0.61;;0.5;;;FALSE;157;206;60;79;44;6;0;0;0;0;0;0
Lauvsneselva;137.7Z;2004;0.61;;;30;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Lauvsneselva;137.7Z;2005;0.61;;0.5;;;FALSE;163;270;96;87;66;12;0;0;0;0;0;0
Lauvsneselva;137.7Z;2006;0.61;;;30;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Lauvsneselva;137.7Z;2007;0.61;;;30;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Lauvsneselva;137.7Z;2008;0.61;;;30;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Lauvsneselva;137.7Z;2009;0.61;;;30;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Lauvsneselva;137.7Z;2010;0.61;;;30;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Lauvsneselva;137.7Z;2011;0.61;;0.47;;;FALSE;0;200;0;0;50;0;0;0;0;0;0;0
Lauvsneselva;137.7Z;2012;0.61;;;30;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Lauvsneselva;137.7Z;2013;0.61;;0.6;;;FALSE;1572;0;0;624;0;0;0;0;0;0;0;0
Lauvsneselva;137.7Z;2014;0.61;;0.47;;;FALSE;11;35;7;6;8;1;0;0;0;0;0;0
Lauvsneselva;137.7Z;2015;0.61;;0.47;;;FALSE;10;38;15;7;8;2;0;0;0;0;0;0
Lauvsneselva;137.7Z;2016;0.61;;0.47;;;FALSE;16;24;21;9;6;2;0;0;0;0;0;0
Lauvsneselva;137.7Z;2017;0.61;;0.5;;;FALSE;28;47;16;18;11;2;0;0;0;0;0;0
Lauvsneselva;137.7Z;2018;0.61;;0.5;;;FALSE;4;37;17;3;8;2;0;0;0;0;0;0
Lauvsneselva;137.7Z;2019;0.61;;0.5;;;FALSE;12;72;18;8;14;2;0;0;0;0;0;0
Lauvsneselva;137.7Z;2020;0.61;;0.5;;;FALSE;9.2;13.1;11;5;3;1;0;0;0;0;0;0
Lauvsneselva;137.7Z;2021;0.61;;0.5;;;FALSE;45;118;16;20;26;2;0;0;0;0;0;0
Lauvsneselva;137.7Z;2022;0.61;;0.2;;;FALSE;6;5;0;4;1;0;0;0;0;0;0;0
Lauvsneselva;137.7Z;2023;0.61;;0.2;;;FALSE;7;0;0;6;0;0;0;0;0;0;0;0
Lauvsneselva;137.7Z;2024;0.61;;0.2;;;FALSE;1;4;0;1;1;0;0;0;0;0;0;0
