Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Kvistenelva;141.4Z;1993;0.56;0.3;NA;NA;NA;FALSE;14;0;0;12;0;0;0;0;0;0;0;0
Kvistenelva;141.4Z;1994;0.56;NA;0.43;NA;NA;FALSE;98;0;0;79;0;0;0;0;0;0;0;0
Kvistenelva;141.4Z;1995;0.56;NA;0.43;NA;NA;FALSE;65;7;0;51;2;0;0;0;0;0;0;0
Kvistenelva;141.4Z;1996;0.56;NA;0.43;NA;NA;FALSE;20;0;0;13;0;0;0;0;0;0;0;0
Kvistenelva;141.4Z;1997;0.56;0.3;NA;NA;NA;FALSE;3;0;0;3;0;0;0;0;0;0;0;0
Kvistenelva;141.4Z;1998;0.56;0.3;NA;NA;NA;FALSE;4;3;0;4;1;0;0;0;0;0;0;0
Kvistenelva;141.4Z;1999;0.56;NA;0.43;NA;NA;FALSE;100;5;0;74;1;0;0;0;0;0;0;0
Kvistenelva;141.4Z;2000;0.56;NA;0.43;NA;NA;FALSE;200;7;0;131;2;0;0;0;0;0;0;0
Kvistenelva;141.4Z;2001;0.56;NA;0.43;NA;NA;FALSE;165;38;0;107;10;0;0;0;0;0;0;0
Kvistenelva;141.4Z;2002;0.56;0.3;NA;NA;NA;FALSE;5;11;0;3;2;0;0;0;0;0;0;0
Kvistenelva;141.4Z;2003;0.56;NA;0.43;NA;NA;FALSE;37;0;0;23;0;0;0;0;0;0;0;0
Kvistenelva;141.4Z;2004;0.56;0.3;NA;NA;NA;FALSE;4;0;0;4;0;0;0;0;0;0;0;0
Kvistenelva;141.4Z;2005;0.56;NA;0.43;NA;NA;FALSE;72;6;0;51;2;0;0;0;0;0;0;0
Kvistenelva;141.4Z;2006;0.56;NA;0.43;NA;NA;FALSE;90;0;0;67;0;0;0;0;0;0;0;0
Kvistenelva;141.4Z;2007;0.56;0.3;NA;NA;NA;FALSE;8;0;0;7;0;0;0;0;0;0;0;0
Kvistenelva;141.4Z;2008;0.56;0.3;NA;NA;NA;FALSE;11;3;0;8;1;0;0;0;0;0;0;0
Kvistenelva;141.4Z;2009;0.56;NA;0.43;NA;NA;FALSE;16;5;0;15;1;0;0;0;0;0;0;0
Kvistenelva;141.4Z;2010;0.56;NA;0.43;NA;NA;FALSE;75;0;0;54;0;0;0;0;0;0;0;0
Kvistenelva;141.4Z;2011;0.56;NA;0.43;NA;NA;FALSE;32;0;0;26;0;0;0;0;0;0;0;0
Kvistenelva;141.4Z;2012;0.56;NA;0.43;NA;NA;FALSE;43;7;0;29;2;0;0;0;0;0;0;0
Kvistenelva;141.4Z;2013;0.56;NA;0.43;NA;NA;FALSE;82;0;0;67;0;0;0;0;0;0;0;0
Kvistenelva;141.4Z;2014;0.56;0.3;NA;NA;NA;FALSE;9;0;0;6;0;0;0;0;0;0;0;0
Kvistenelva;141.4Z;2015;0.56;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Kvistenelva;141.4Z;2016;0.56;0.3;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Kvistenelva;141.4Z;2017;0.56;NA;0.43;NA;NA;FALSE;46;10;0;39;3;0;0;0;0;0;0;0
Kvistenelva;141.4Z;2018;0.56;NA;0.43;NA;NA;FALSE;13;0;0;11;0;0;0;0;0;0;0;0
Kvistenelva;141.4Z;2019;0.56;NA;0.43;NA;NA;FALSE;30;15;0;26;4;0;0;0;0;0;0;0
Kvistenelva;141.4Z;2020;0.56;NA;0.43;NA;NA;FALSE;37.1;0;0;30;0;0;0;0;0;0;0;0
Kvistenelva;141.4Z;2021;0.56;NA;0.43;NA;NA;FALSE;27;0;0;22;0;0;0;0;0;0;0;0
Kvistenelva;141.4Z;2022;0.56;NA;0.43;NA;NA;FALSE;38;0;0;27;0;0;0;0;0;0;0;0
Kvistenelva;141.4Z;2023;0.56;NA;0.43;NA;NA;FALSE;27;0;0;22;0;0;0;0;0;0;0;0
