Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Opløyelva;141.Z;1993;0.59;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Opløyelva;141.Z;1994;0.59;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Opløyelva;141.Z;1995;0.59;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Opløyelva;141.Z;1996;0.59;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Opløyelva;141.Z;1997;0.59;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Opløyelva;141.Z;1998;0.59;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Opløyelva;141.Z;1999;0.59;NA;NA;5;NA;FALSE;147;213;89;105;50;10;0;0;0;0;0;0
Opløyelva;141.Z;2000;0.59;NA;NA;5;NA;FALSE;230;132;29;125;31;3;0;0;0;0;0;0
Opløyelva;141.Z;2001;0.59;NA;NA;5;NA;FALSE;119;317;33;62;72;4;0;0;0;0;0;0
Opløyelva;141.Z;2002;0.59;NA;NA;5;NA;FALSE;253;445;77;161;98;9;0;0;0;0;0;0
Opløyelva;141.Z;2003;0.59;NA;NA;5;NA;FALSE;147;204;43;93;44;5;0;0;0;0;0;0
Opløyelva;141.Z;2004;0.59;NA;NA;5;NA;FALSE;61;449;115;35;93;15;0;0;0;0;0;0
Opløyelva;141.Z;2005;0.59;NA;NA;5;NA;FALSE;40;32;50;20;7;5;0;0;0;0;0;0
Opløyelva;141.Z;2006;0.59;NA;NA;5;NA;FALSE;140;334;174;69;70;20;0;0;0;0;0;0
Opløyelva;141.Z;2007;0.59;NA;NA;5;NA;FALSE;27;248;218;18;49;24;0;0;0;0;0;0
Opløyelva;141.Z;2008;0.59;NA;NA;5;NA;FALSE;146;1122;415;75;245;44;0;0;0;0;0;0
Opløyelva;141.Z;2009;0.59;NA;NA;5;NA;FALSE;61;192;101;35;40;9;0;0;0;0;0;0
Opløyelva;141.Z;2010;0.59;NA;NA;5;NA;FALSE;44;114;93;24;27;11;0;0;0;0;0;0
Opløyelva;141.Z;2011;0.59;NA;NA;5;NA;FALSE;55;226;111;25;54;11;0;0;0;0;0;0
Opløyelva;141.Z;2012;0.59;NA;NA;5;NA;FALSE;93;348;345;47;71;37;0;0;0;0;0;0
Opløyelva;141.Z;2013;0.59;NA;NA;5;NA;FALSE;19;56;42;13;12;5;1;0;0;1;0;0
Opløyelva;141.Z;2014;0.59;NA;NA;5;NA;FALSE;132;427;114;82;90;14;0;0;0;0;0;0
Opløyelva;141.Z;2015;0.59;NA;NA;5;NA;FALSE;54;101;21;44;24;3;0;0;0;0;0;0
Opløyelva;141.Z;2016;0.59;NA;NA;5;NA;FALSE;99;156;41;60;38;5;8;0;0;8;0;0
Opløyelva;141.Z;2017;0.59;NA;NA;5;NA;FALSE;49;43;8;30;11;1;2;0;0;8;0;0
Opløyelva;141.Z;2018;0.59;NA;NA;5;NA;FALSE;8;12;0;6;3;0;1;0;0;1;0;0
Opløyelva;141.Z;2019;0.59;NA;NA;5;NA;FALSE;18;97;8;12;18;1;0;0;0;0;0;0
Opløyelva;141.Z;2020;0.59;NA;NA;5;NA;FALSE;80.5;144.2;62.8;43;33;7;0;0;0;0;0;0
Opløyelva;141.Z;2021;0.59;NA;NA;5;NA;FALSE;38;87;0;22;20;0;0;0;0;0;0;0
Opløyelva;141.Z;2022;0.59;NA;NA;5;NA;FALSE;75;84;49;39;22;6;0;0;0;0;0;0
Opløyelva;141.Z;2023;0.59;NA;NA;5;NA;FALSE;45;60;0;21;16;0;0;0;0;0;0;0
