Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Terråkelva;144.4Z;1993;0.58;1;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Terråkelva;144.4Z;1994;0.58;1;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Terråkelva;144.4Z;1995;0.58;1;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Terråkelva;144.4Z;1996;0.58;1;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Terråkelva;144.4Z;1997;0.58;1;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Terråkelva;144.4Z;1998;0.58;1;;;;FALSE;5;0;0;3;0;0;0;0;0;0;0;0
Terråkelva;144.4Z;1999;0.58;;0.2;;;FALSE;28;0;0;15;0;0;0;0;0;0;0;0
Terråkelva;144.4Z;2000;0.58;;0.2;;;FALSE;102;7;0;62;2;0;0;0;0;0;0;0
Terråkelva;144.4Z;2001;0.58;;0.2;;;FALSE;96;0;0;48;0;0;0;0;0;0;0;0
Terråkelva;144.4Z;2002;0.58;1;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Terråkelva;144.4Z;2003;0.58;1;;;;FALSE;3;5;0;2;1;0;0;0;0;0;0;0
Terråkelva;144.4Z;2004;0.58;1;;;;FALSE;5;7;0;3;2;0;0;0;0;0;0;0
Terråkelva;144.4Z;2005;0.58;;0.2;;;FALSE;32;10;0;21;3;0;0;0;0;0;0;0
Terråkelva;144.4Z;2006;0.58;;0.2;;;FALSE;11;34;0;8;9;0;0;0;0;0;0;0
Terråkelva;144.4Z;2007;0.58;1;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Terråkelva;144.4Z;2008;0.58;1;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Terråkelva;144.4Z;2009;0.58;1;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Terråkelva;144.4Z;2010;0.58;1;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Terråkelva;144.4Z;2011;0.58;1;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Terråkelva;144.4Z;2012;0.58;1;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Terråkelva;144.4Z;2013;0.58;1;;;;FALSE;0;0;0;0;0;0;19;25;7;13;7;1
Terråkelva;144.4Z;2014;0.58;;0.2;;;FALSE;42;81;0;22;19;0;0;0;0;0;0;0
Terråkelva;144.4Z;2015;0.58;1;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Terråkelva;144.4Z;2016;0.58;1;;;;FALSE;0;0;0;0;0;0;16;0;0;11;0;0
Terråkelva;144.4Z;2017;0.58;1;;;;FALSE;3;0;0;2;0;0;136;264;8;75;69;1
Terråkelva;144.4Z;2018;0.58;1;;;;FALSE;1;0;0;1;0;0;71;115;15;38;31;2
Terråkelva;144.4Z;2019;0.58;1;;;;FALSE;0;0;0;0;0;0;22;48;0;14;12;0
Terråkelva;144.4Z;2020;0.58;1;;;;FALSE;7.9;4.5;0;5;1;0;65.2;62.2;0;45;15;0
Terråkelva;144.4Z;2021;0.58;1;;;;FALSE;4;0;0;3;0;0;81;51;0;48;12;0
Terråkelva;144.4Z;2022;0.58;1;;;;FALSE;7;0;0;4;0;0;92;50;0;56;12;0
Terråkelva;144.4Z;2023;0.58;1;;;;FALSE;7;4;0;4;1;0;22;4;0;13;1;0
Terråkelva;144.4Z;2024;0.58;1;;;;FALSE;6;0;0;4;0;0;21;11;0;14;3;0
