Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Breilandselva;153.32Z;1993;0.56;NA;NA;15;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Breilandselva;153.32Z;1994;0.56;NA;NA;15;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Breilandselva;153.32Z;1995;0.56;NA;NA;15;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Breilandselva;153.32Z;1996;0.56;NA;NA;15;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Breilandselva;153.32Z;1997;0.56;NA;NA;15;NA;FALSE;4;0;0;3;0;0;0;0;0;0;0;0
Breilandselva;153.32Z;1998;0.56;NA;0.5;NA;NA;FALSE;10;0;0;8;0;0;0;0;0;0;0;0
Breilandselva;153.32Z;1999;0.56;NA;0.5;NA;NA;FALSE;30;0;0;31;0;0;0;0;0;0;0;0
Breilandselva;153.32Z;2000;0.56;NA;0.5;NA;NA;FALSE;33;7;0;29;2;0;0;0;0;0;0;0
Breilandselva;153.32Z;2001;0.56;NA;0.5;NA;NA;FALSE;35;0;0;23;0;0;0;0;0;0;0;0
Breilandselva;153.32Z;2002;0.56;NA;0.5;NA;NA;FALSE;8;4;8;7;1;1;0;0;0;0;0;0
Breilandselva;153.32Z;2003;0.56;NA;0.5;NA;NA;FALSE;45;0;0;37;0;0;0;0;0;0;0;0
Breilandselva;153.32Z;2004;0.56;NA;0.5;NA;NA;FALSE;26;4;0;20;1;0;0;0;0;0;0;0
Breilandselva;153.32Z;2005;0.56;NA;0.5;NA;NA;FALSE;67;0;0;48;0;0;0;0;0;0;0;0
Breilandselva;153.32Z;2006;0.56;NA;0.5;NA;NA;FALSE;40;0;0;31;0;0;0;0;0;0;0;0
Breilandselva;153.32Z;2007;0.56;NA;NA;15;NA;FALSE;6;0;0;4;0;0;0;0;0;0;0;0
Breilandselva;153.32Z;2008;0.56;NA;NA;15;NA;FALSE;3;0;0;2;0;0;0;0;0;0;0;0
Breilandselva;153.32Z;2009;0.56;NA;NA;15;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Breilandselva;153.32Z;2010;0.56;NA;0.5;NA;NA;FALSE;27;0;0;14;0;0;1;0;0;1;0;0
Breilandselva;153.32Z;2011;0.56;NA;0.5;NA;NA;FALSE;18;3;0;10;1;0;0;0;0;0;0;0
Breilandselva;153.32Z;2012;0.56;NA;NA;10;NA;FALSE;0;0;0;0;0;0;4;0;0;2;0;0
Breilandselva;153.32Z;2013;0.56;NA;0.5;NA;NA;FALSE;35;0;0;22;0;0;0;0;0;0;0;0
Breilandselva;153.32Z;2014;0.56;NA;0.5;NA;NA;FALSE;8;0;0;5;0;0;0;0;0;0;0;0
Breilandselva;153.32Z;2015;0.56;NA;0.5;NA;NA;FALSE;54;0;0;33;0;0;0;0;0;0;0;0
Breilandselva;153.32Z;2016;0.56;NA;0.5;NA;NA;FALSE;31;0;0;22;0;0;4;0;0;2;0;0
Breilandselva;153.32Z;2017;0.56;NA;0.5;NA;NA;FALSE;58;17;0;33;5;0;4;0;0;3;0;0
Breilandselva;153.32Z;2018;0.56;NA;0.5;NA;NA;FALSE;67;11;0;35;3;0;0;0;0;0;0;0
Breilandselva;153.32Z;2019;0.56;NA;0.5;NA;NA;FALSE;20;3;0;15;1;0;0;0;0;0;0;0
Breilandselva;153.32Z;2020;0.56;NA;0.5;NA;NA;FALSE;39.7;15;0;22;4;0;0;0;0;0;0;0
Breilandselva;153.32Z;2021;0.56;NA;0.5;NA;NA;FALSE;41;13;0;28;4;0;0;0;0;0;0;0
Breilandselva;153.32Z;2022;0.56;NA;0.5;NA;NA;FALSE;30;16;0;14;4;0;0;0;0;0;0;0
Breilandselva;153.32Z;2023;0.56;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
