Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Bjerka;155.4Z;1993;0.52;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bjerka;155.4Z;1994;0.52;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bjerka;155.4Z;1995;0.52;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bjerka;155.4Z;1996;0.52;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bjerka;155.4Z;1997;0.52;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bjerka;155.4Z;1998;0.52;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bjerka;155.4Z;1999;0.52;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bjerka;155.4Z;2000;0.52;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bjerka;155.4Z;2001;0.52;0.1;NA;NA;NA;FALSE;0;6;0;0;1;0;0;0;0;0;0;0
Bjerka;155.4Z;2002;0.52;NA;0.4;NA;NA;FALSE;28;28;0;18;7;0;0;0;0;0;0;0
Bjerka;155.4Z;2003;0.52;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bjerka;155.4Z;2004;0.52;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bjerka;155.4Z;2005;0.52;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bjerka;155.4Z;2006;0.52;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bjerka;155.4Z;2007;0.52;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bjerka;155.4Z;2008;0.52;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bjerka;155.4Z;2009;0.52;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bjerka;155.4Z;2010;0.52;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bjerka;155.4Z;2011;0.52;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bjerka;155.4Z;2012;0.52;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bjerka;155.4Z;2013;0.52;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bjerka;155.4Z;2014;0.52;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bjerka;155.4Z;2015;0.52;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bjerka;155.4Z;2016;0.52;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bjerka;155.4Z;2017;0.52;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bjerka;155.4Z;2018;0.52;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bjerka;155.4Z;2019;0.52;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bjerka;155.4Z;2020;0.52;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bjerka;155.4Z;2021;0.52;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bjerka;155.4Z;2022;0.52;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Bjerka;155.4Z;2023;0.52;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
