Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Silavassdraget;157.52Z;1993;0.57;0.8;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Silavassdraget;157.52Z;1994;0.57;0.8;;;;FALSE;5;0;0;10;0;0;0;0;0;0;0;0
Silavassdraget;157.52Z;1995;0.57;;0.4;;;FALSE;23;7;0;15;2;0;0;0;0;0;0;0
Silavassdraget;157.52Z;1996;0.57;;0.4;;;FALSE;24;0;0;13;0;0;0;0;0;0;0;0
Silavassdraget;157.52Z;1997;0.57;0.8;;;;FALSE;3;4;0;3;1;0;0;0;0;0;0;0
Silavassdraget;157.52Z;1998;0.57;;0.4;;;FALSE;22;4;0;14;1;0;0;0;0;0;0;0
Silavassdraget;157.52Z;1999;0.57;;0.4;;;FALSE;10;0;0;6;0;0;0;0;0;0;0;0
Silavassdraget;157.52Z;2000;0.57;;0.4;;;FALSE;14;0;0;14;0;0;0;0;0;0;0;0
Silavassdraget;157.52Z;2001;0.57;;0.4;;;FALSE;39;0;0;20;0;0;0;0;0;0;0;0
Silavassdraget;157.52Z;2002;0.57;;0.4;;;FALSE;42;6;0;31;1;0;0;0;0;0;0;0
Silavassdraget;157.52Z;2003;0.57;;0.4;;;FALSE;8;12;0;5;3;0;0;0;0;0;0;0
Silavassdraget;157.52Z;2004;0.57;0.8;;;;FALSE;4;0;0;2;0;0;0;0;0;0;0;0
Silavassdraget;157.52Z;2005;0.57;;0.4;;;FALSE;76;8;0;42;2;0;0;0;0;0;0;0
Silavassdraget;157.52Z;2006;0.57;;0.4;;;FALSE;40;0;0;24;0;0;0;0;0;0;0;0
Silavassdraget;157.52Z;2007;0.57;;0.4;;;FALSE;29;0;0;20;0;0;0;0;0;0;0;0
Silavassdraget;157.52Z;2008;0.57;;0.4;;;FALSE;11;0;0;10;0;0;0;0;0;0;0;0
Silavassdraget;157.52Z;2009;0.57;;0.4;;;FALSE;16;18;0;12;5;0;0;0;0;0;0;0
Silavassdraget;157.52Z;2010;0.57;;0.4;;;FALSE;23;0;0;13;0;0;0;0;0;0;0;0
Silavassdraget;157.52Z;2011;0.57;0.8;;;;FALSE;1;0;0;1;0;0;0;0;0;0;0;0
Silavassdraget;157.52Z;2012;0.57;;0.4;;;FALSE;15;4;7;9;1;1;0;0;0;0;0;0
Silavassdraget;157.52Z;2013;0.57;;0.4;;;FALSE;5;4;0;4;1;0;0;0;0;0;0;0
Silavassdraget;157.52Z;2014;0.57;;0.4;;;FALSE;5;0;0;3;0;0;0;0;0;0;0;0
Silavassdraget;157.52Z;2015;0.57;;0.4;;;FALSE;18;0;0;9;0;0;0;0;0;0;0;0
Silavassdraget;157.52Z;2016;0.57;0.8;;;;FALSE;1;0;0;1;0;0;2;0;0;1;0;0
Silavassdraget;157.52Z;2017;0.57;0.8;;;;FALSE;1;7;0;1;1;0;0;0;0;0;0;0
Silavassdraget;157.52Z;2018;0.57;0.8;;;;FALSE;3;0;0;2;0;0;2;0;0;1;0;0
Silavassdraget;157.52Z;2019;0.57;0.8;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Silavassdraget;157.52Z;2020;0.57;0.8;;;;FALSE;1.6;0;0;1;0;0;0;0;0;0;0;0
Silavassdraget;157.52Z;2021;0.57;0.8;;;;FALSE;3;0;0;2;0;0;0;0;0;0;0;0
Silavassdraget;157.52Z;2022;0.57;0.8;;;;FALSE;7;0;0;3;0;0;0;3;0;0;1;0
Silavassdraget;157.52Z;2023;0.57;0.8;;;;FALSE;4;0;0;2;0;0;0;0;0;0;0;0
Silavassdraget;157.52Z;2024;0.57;0.8;;;;FALSE;0;4;0;0;1;0;0;0;0;0;0;0
