Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Sundfjordselva;161.1Z;1993;0.57;NA;NA;100;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Sundfjordselva;161.1Z;1994;0.57;NA;0.4;NA;NA;FALSE;550;200;24;200;40;3;0;0;0;0;0;0
Sundfjordselva;161.1Z;1995;0.57;NA;0.4;NA;NA;FALSE;108;130;50;54;26;6;0;0;0;0;0;0
Sundfjordselva;161.1Z;1996;0.57;NA;0.4;NA;NA;FALSE;500;737;520;237;152;62;0;0;0;0;0;0
Sundfjordselva;161.1Z;1997;0.57;NA;0.4;NA;NA;FALSE;315;385;126;210;77;14;0;0;0;0;0;0
Sundfjordselva;161.1Z;1998;0.57;NA;0.4;NA;NA;FALSE;437;753;158;283;152;18;0;0;0;0;0;0
Sundfjordselva;161.1Z;1999;0.57;NA;NA;100;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Sundfjordselva;161.1Z;2000;0.57;NA;0.4;NA;NA;FALSE;294;175;36;196;35;4;0;0;0;0;0;0
Sundfjordselva;161.1Z;2001;0.57;NA;0.4;NA;NA;FALSE;155;385;99;103;77;11;0;0;0;0;0;0
Sundfjordselva;161.1Z;2002;0.57;NA;NA;100;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Sundfjordselva;161.1Z;2003;0.57;NA;0.4;NA;NA;FALSE;272;180;54;181;36;6;0;0;0;0;0;0
Sundfjordselva;161.1Z;2004;0.57;NA;0.4;NA;NA;FALSE;102;376;126;68;94;17;0;0;0;0;0;0
Sundfjordselva;161.1Z;2005;0.57;NA;0.4;NA;NA;FALSE;160;242;76;117;52;9;0;0;0;0;0;0
Sundfjordselva;161.1Z;2006;0.57;NA;0.4;NA;NA;FALSE;161;201;30;111;40;4;0;0;0;0;0;0
Sundfjordselva;161.1Z;2007;0.57;NA;0.4;NA;NA;FALSE;86;254;119;61;53;13;0;0;0;0;0;0
Sundfjordselva;161.1Z;2008;0.57;NA;0.4;NA;NA;FALSE;98;284;140;61;55;16;0;0;0;0;0;0
Sundfjordselva;161.1Z;2009;0.57;NA;0.4;NA;NA;FALSE;90;134;90;56;32;11;0;0;0;0;0;0
Sundfjordselva;161.1Z;2010;0.57;NA;0.4;NA;NA;FALSE;99;75;0;62;17;0;0;0;0;0;0;0
Sundfjordselva;161.1Z;2011;0.57;NA;0.4;NA;NA;FALSE;51;143;86;28;34;9;0;0;0;0;0;0
Sundfjordselva;161.1Z;2012;0.57;NA;NA;100;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Sundfjordselva;161.1Z;2013;0.57;NA;0.4;NA;NA;FALSE;36;127;34;23;30;4;0;0;0;0;0;0
Sundfjordselva;161.1Z;2014;0.57;NA;0.4;NA;NA;FALSE;208;585;98;122;133;13;31;4;0;23;1;0
Sundfjordselva;161.1Z;2015;0.57;NA;0.4;NA;NA;FALSE;148;167;102;92;38;13;13;5;0;10;1;0
Sundfjordselva;161.1Z;2016;0.57;NA;0.4;NA;NA;FALSE;125;314;67;82;70;7;14;0;0;11;0;0
Sundfjordselva;161.1Z;2017;0.57;NA;0.5;NA;NA;FALSE;108;230;150;77;49;17;0;0;0;0;0;0
Sundfjordselva;161.1Z;2018;0.57;NA;0.5;NA;NA;FALSE;147;351;18;83;86;2;0;0;0;0;0;0
Sundfjordselva;161.1Z;2019;0.57;NA;0.5;NA;NA;FALSE;99;159;42;60;34;5;14;0;0;12;0;0
Sundfjordselva;161.1Z;2020;0.57;NA;0.5;NA;NA;FALSE;158.1;178.6;29.6;89;43;4;8.7;7;0;6;2;0
Sundfjordselva;161.1Z;2021;0.57;NA;0.5;NA;NA;FALSE;149;185;73;91;40;9;0;4;0;0;1;0
Sundfjordselva;161.1Z;2022;0.57;NA;0.5;NA;NA;FALSE;85;47;7;49;12;1;0;0;0;0;0;0
Sundfjordselva;161.1Z;2023;0.57;NA;0.5;NA;NA;FALSE;124;63;0;82;15;0;0;0;0;0;0;0
