Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Hopsvassdraget i Bodø;165.1Z;1993;0.57;NA;0.28;NA;NA;FALSE;0;168;0;0;42;0;0;0;0;0;0;0
Hopsvassdraget i Bodø;165.1Z;1994;0.57;NA;0.28;NA;NA;FALSE;63;68;104;35;17;11;0;0;0;0;0;0
Hopsvassdraget i Bodø;165.1Z;1995;0.57;NA;0.28;NA;NA;FALSE;53;262;31;35;63;3;0;0;0;0;0;0
Hopsvassdraget i Bodø;165.1Z;1996;0.57;NA;0.28;NA;NA;FALSE;97;120;0;57;40;0;0;0;0;0;0;0
Hopsvassdraget i Bodø;165.1Z;1997;0.57;NA;0.28;NA;NA;FALSE;100;300;120;63;69;15;0;0;0;0;0;0
Hopsvassdraget i Bodø;165.1Z;1998;0.57;NA;0.28;NA;NA;FALSE;81;128;37;45;32;4;0;0;0;0;0;0
Hopsvassdraget i Bodø;165.1Z;1999;0.57;NA;0.28;NA;NA;FALSE;54;63;30;27;11;4;0;0;0;0;0;0
Hopsvassdraget i Bodø;165.1Z;2000;0.57;NA;0.28;NA;NA;FALSE;23;38;8;14;8;1;0;0;0;0;0;0
Hopsvassdraget i Bodø;165.1Z;2001;0.57;NA;0.28;NA;NA;FALSE;34;92;28;14;22;3;0;0;0;0;0;0
Hopsvassdraget i Bodø;165.1Z;2002;0.57;NA;0.28;NA;NA;FALSE;77;186;105;44;41;14;0;0;0;0;0;0
Hopsvassdraget i Bodø;165.1Z;2003;0.57;NA;0.28;NA;NA;FALSE;47;66;8;27;15;1;0;0;0;0;0;0
Hopsvassdraget i Bodø;165.1Z;2004;0.57;NA;0.28;NA;NA;FALSE;4;64;8;3;14;1;0;0;0;0;0;0
Hopsvassdraget i Bodø;165.1Z;2005;0.57;NA;0.28;NA;NA;FALSE;35;52;9;20;12;1;0;0;0;0;0;0
Hopsvassdraget i Bodø;165.1Z;2006;0.57;NA;0.28;NA;NA;FALSE;4;9;0;2;2;0;0;0;0;0;0;0
Hopsvassdraget i Bodø;165.1Z;2007;0.57;NA;0.28;NA;NA;FALSE;5;29;16;3;6;2;0;0;0;0;0;0
Hopsvassdraget i Bodø;165.1Z;2008;0.57;NA;0.28;NA;NA;FALSE;32;44;41;17;9;4;0;0;0;0;0;0
Hopsvassdraget i Bodø;165.1Z;2009;0.57;NA;0.28;NA;NA;FALSE;52;94;65;32;22;8;0;0;0;0;0;0
Hopsvassdraget i Bodø;165.1Z;2010;0.57;NA;0.28;NA;NA;FALSE;8;0;7;4;0;1;0;0;0;0;0;0
Hopsvassdraget i Bodø;165.1Z;2011;0.57;NA;0.28;NA;NA;FALSE;22;41;16;11;9;2;0;0;0;0;0;0
Hopsvassdraget i Bodø;165.1Z;2012;0.57;NA;0.28;NA;NA;FALSE;29;41;26;18;8;3;0;0;0;0;0;0
Hopsvassdraget i Bodø;165.1Z;2013;0.57;NA;0.28;NA;NA;FALSE;13;16;61;8;4;6;0;0;0;0;0;0
Hopsvassdraget i Bodø;165.1Z;2014;0.57;NA;0.28;NA;NA;FALSE;4;4;15;3;1;2;0;0;0;0;0;0
Hopsvassdraget i Bodø;165.1Z;2015;0.57;NA;0.28;NA;NA;FALSE;28;21;0;19;4;0;0;0;0;0;0;0
Hopsvassdraget i Bodø;165.1Z;2016;0.57;NA;0.28;NA;NA;FALSE;34;17;16;23;4;2;0;0;0;0;0;0
Hopsvassdraget i Bodø;165.1Z;2017;0.57;NA;0.28;NA;NA;FALSE;23;15;0;13;3;0;0;0;0;0;0;0
Hopsvassdraget i Bodø;165.1Z;2018;0.57;NA;NA;20;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Hopsvassdraget i Bodø;165.1Z;2019;0.57;NA;NA;20;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Hopsvassdraget i Bodø;165.1Z;2020;0.57;NA;0.28;NA;NA;FALSE;24.3;10.3;0;14;2;0;0;0;11;0;0;1
Hopsvassdraget i Bodø;165.1Z;2021;0.57;NA;NA;20;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Hopsvassdraget i Bodø;165.1Z;2022;0.57;NA;NA;20;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Hopsvassdraget i Bodø;165.1Z;2023;0.57;NA;NA;NA;NA;FALSE;11;4;0;7;1;0;3;0;0;1;0;0
