Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Strandåvassdraget;165.8Z;1993;0.61;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Strandåvassdraget;165.8Z;1994;0.61;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Strandåvassdraget;165.8Z;1995;0.61;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Strandåvassdraget;165.8Z;1996;0.61;;0.5;;;FALSE;10;4;0;16;1;0;0;0;0;0;0;0
Strandåvassdraget;165.8Z;1997;0.61;;;10;;FALSE;3;0;0;2;0;0;0;0;0;0;0;0
Strandåvassdraget;165.8Z;1998;0.61;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Strandåvassdraget;165.8Z;1999;0.61;;0.5;;;FALSE;9;15;0;3;4;0;0;0;0;0;0;0
Strandåvassdraget;165.8Z;2000;0.61;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Strandåvassdraget;165.8Z;2001;0.61;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Strandåvassdraget;165.8Z;2002;0.61;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Strandåvassdraget;165.8Z;2003;0.61;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Strandåvassdraget;165.8Z;2004;0.61;;;10;;FALSE;1;0;0;1;0;0;0;0;0;0;0;0
Strandåvassdraget;165.8Z;2005;0.61;;0.5;;;FALSE;5;9;0;3;2;0;0;0;0;0;0;0
Strandåvassdraget;165.8Z;2006;0.61;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Strandåvassdraget;165.8Z;2007;0.61;;0.5;;;FALSE;5;0;0;4;0;0;0;0;0;0;0;0
Strandåvassdraget;165.8Z;2008;0.61;;0.5;;;FALSE;25;0;0;41;0;0;0;0;0;0;0;0
Strandåvassdraget;165.8Z;2009;0.61;;;10;;FALSE;2;0;0;1;0;0;0;0;0;0;0;0
Strandåvassdraget;165.8Z;2010;0.61;;0.5;;;FALSE;3;4;0;4;1;0;0;0;0;0;0;0
Strandåvassdraget;165.8Z;2011;0.61;;0.5;;;FALSE;12;0;0;21;0;0;0;0;0;0;0;0
Strandåvassdraget;165.8Z;2012;0.61;;0.5;;;FALSE;11;0;0;7;0;0;0;0;0;0;0;0
Strandåvassdraget;165.8Z;2013;0.61;;0.5;;;FALSE;5;0;0;7;0;0;0;0;0;0;0;0
Strandåvassdraget;165.8Z;2014;0.61;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Strandåvassdraget;165.8Z;2015;0.61;;0.5;;;FALSE;3;0;0;5;0;0;0;0;0;0;0;0
Strandåvassdraget;165.8Z;2016;0.61;;0.5;;;FALSE;5;0;0;3;0;0;0;0;0;0;0;0
Strandåvassdraget;165.8Z;2017;0.61;;0.5;;;FALSE;12;8;0;14;2;0;0;0;0;0;0;0
Strandåvassdraget;165.8Z;2018;0.61;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Strandåvassdraget;165.8Z;2019;0.61;;0.5;;;FALSE;2;0;0;2;0;0;0;0;0;0;0;0
Strandåvassdraget;165.8Z;2020;0.61;;0.5;;;FALSE;9;0;0;5;0;0;0;0;0;0;0;0
Strandåvassdraget;165.8Z;2021;0.61;;0.5;;;FALSE;4;4;0;3;1;0;0;0;0;0;0;0
Strandåvassdraget;165.8Z;2022;0.61;;0.5;;;FALSE;3;0;0;2;0;0;0;0;0;0;0;0
Strandåvassdraget;165.8Z;2023;0.61;;0.5;;;FALSE;4;0;0;2;0;0;0;0;0;0;0;0
Strandåvassdraget;165.8Z;2024;0.61;;0.5;;;FALSE;16;0;0;12;0;0;0;0;0;0;0;0
