Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Lommervassdraget (Bellkjøselva);168.7Z;1993;0.58;;;10;;FALSE;5;0;0;3;0;0;0;0;0;0;0;0
Lommervassdraget (Bellkjøselva);168.7Z;1994;0.58;;;10;;FALSE;7;0;0;5;0;0;0;0;0;0;0;0
Lommervassdraget (Bellkjøselva);168.7Z;1995;0.58;;;10;;FALSE;0;4;0;0;1;0;0;0;0;0;0;0
Lommervassdraget (Bellkjøselva);168.7Z;1996;0.58;;0.32;;;FALSE;28;19;0;19;4;0;0;0;0;0;0;0
Lommervassdraget (Bellkjøselva);168.7Z;1997;0.58;;0.32;;;FALSE;32;69;33;19;17;4;0;0;0;0;0;0
Lommervassdraget (Bellkjøselva);168.7Z;1998;0.58;;0.32;;;FALSE;43;49;0;20;12;0;0;0;0;0;0;0
Lommervassdraget (Bellkjøselva);168.7Z;1999;0.58;;0.32;;;FALSE;21;34;0;11;8;0;0;0;0;0;0;0
Lommervassdraget (Bellkjøselva);168.7Z;2000;0.58;;0.32;;;FALSE;22;4;0;11;1;0;0;0;0;0;0;0
Lommervassdraget (Bellkjøselva);168.7Z;2001;0.58;;0.32;;;FALSE;3;34;0;2;7;0;0;0;0;0;0;0
Lommervassdraget (Bellkjøselva);168.7Z;2002;0.58;;0.32;;;FALSE;25;30;10;15;6;1;0;0;0;0;0;0
Lommervassdraget (Bellkjøselva);168.7Z;2003;0.58;;0.32;;;FALSE;5;35;0;2;8;0;0;0;0;0;0;0
Lommervassdraget (Bellkjøselva);168.7Z;2004;0.58;;0.32;;;FALSE;18;28;0;8;8;0;0;0;0;0;0;0
Lommervassdraget (Bellkjøselva);168.7Z;2005;0.58;;0.32;;;FALSE;8;15;0;6;3;0;0;0;0;0;0;0
Lommervassdraget (Bellkjøselva);168.7Z;2006;0.58;;0.32;;;FALSE;13;8;8;6;2;1;0;0;0;0;0;0
Lommervassdraget (Bellkjøselva);168.7Z;2007;0.58;;0.32;;;FALSE;7;12;7;5;2;1;0;0;0;0;0;0
Lommervassdraget (Bellkjøselva);168.7Z;2008;0.58;;0.32;;;FALSE;7;5;0;3;1;0;0;0;0;0;0;0
Lommervassdraget (Bellkjøselva);168.7Z;2009;0.58;;0.32;;;FALSE;5;21;0;2;5;0;0;0;0;0;0;0
Lommervassdraget (Bellkjøselva);168.7Z;2010;0.58;;0.32;;;FALSE;0;12;0;0;2;0;0;0;0;0;0;0
Lommervassdraget (Bellkjøselva);168.7Z;2011;0.58;;0.32;;;FALSE;10;12;0;4;3;0;0;0;0;0;0;0
Lommervassdraget (Bellkjøselva);168.7Z;2012;0.58;;0.32;;;FALSE;9;5;0;5;1;0;0;0;0;0;0;0
Lommervassdraget (Bellkjøselva);168.7Z;2013;0.58;;;10;;FALSE;1;0;0;1;0;0;0;0;0;0;0;0
Lommervassdraget (Bellkjøselva);168.7Z;2014;0.58;;0.32;;;FALSE;2;9;0;2;2;0;4;0;0;2;0;0
Lommervassdraget (Bellkjøselva);168.7Z;2015;0.58;;0.32;;;FALSE;7;19;0;5;5;0;0;0;0;0;0;0
Lommervassdraget (Bellkjøselva);168.7Z;2016;0.58;;0.32;;;FALSE;4;10;0;3;2;0;0;0;0;0;0;0
Lommervassdraget (Bellkjøselva);168.7Z;2017;0.58;;0.32;;;FALSE;5;8;0;3;2;0;0;0;0;0;0;0
Lommervassdraget (Bellkjøselva);168.7Z;2018;0.58;;;10;;FALSE;3;0;0;1;0;0;0;0;0;0;0;0
Lommervassdraget (Bellkjøselva);168.7Z;2019;0.58;;0.32;;;FALSE;5;9;0;2;2;0;0;0;0;0;0;0
Lommervassdraget (Bellkjøselva);168.7Z;2020;0.58;;0.32;;;FALSE;4.9;21.2;0;3;4;0;0;4;0;0;1;0
Lommervassdraget (Bellkjøselva);168.7Z;2021;0.58;;0.32;;;FALSE;3;8;0;2;2;0;0;0;0;0;0;0
Lommervassdraget (Bellkjøselva);168.7Z;2022;0.58;;0.32;;;FALSE;7;12;0;5;3;0;1;0;0;1;0;0
Lommervassdraget (Bellkjøselva);168.7Z;2023;0.58;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Lommervassdraget (Bellkjøselva);168.7Z;2024;0.58;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
