Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Muskvikelva;171.6Z;1993;0.6;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Muskvikelva;171.6Z;1994;0.6;NA;NA;10;NA;FALSE;2;8;0;2;2;0;0;0;0;0;0;0
Muskvikelva;171.6Z;1995;0.6;NA;NA;10;NA;FALSE;6;5;0;6;1;0;0;0;0;0;0;0
Muskvikelva;171.6Z;1996;0.6;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Muskvikelva;171.6Z;1997;0.6;NA;NA;10;NA;FALSE;4;0;0;3;0;0;0;0;0;0;0;0
Muskvikelva;171.6Z;1998;0.6;NA;NA;10;NA;FALSE;12;8;0;8;2;0;0;0;0;0;0;0
Muskvikelva;171.6Z;1999;0.6;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Muskvikelva;171.6Z;2000;0.6;NA;NA;10;NA;FALSE;6;0;9;6;0;1;0;0;0;0;0;0
Muskvikelva;171.6Z;2001;0.6;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Muskvikelva;171.6Z;2002;0.6;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Muskvikelva;171.6Z;2003;0.6;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Muskvikelva;171.6Z;2004;0.6;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Muskvikelva;171.6Z;2005;0.6;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Muskvikelva;171.6Z;2006;0.6;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Muskvikelva;171.6Z;2007;0.6;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Muskvikelva;171.6Z;2008;0.6;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Muskvikelva;171.6Z;2009;0.6;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Muskvikelva;171.6Z;2010;0.6;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Muskvikelva;171.6Z;2011;0.6;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Muskvikelva;171.6Z;2012;0.6;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Muskvikelva;171.6Z;2013;0.6;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Muskvikelva;171.6Z;2014;0.6;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Muskvikelva;171.6Z;2015;0.6;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Muskvikelva;171.6Z;2016;0.6;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Muskvikelva;171.6Z;2017;0.6;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Muskvikelva;171.6Z;2018;0.6;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Muskvikelva;171.6Z;2019;0.6;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Muskvikelva;171.6Z;2020;0.6;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Muskvikelva;171.6Z;2021;0.6;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Muskvikelva;171.6Z;2022;0.6;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Muskvikelva;171.6Z;2023;0.6;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
