Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Lakselva (Gullesfjord);177.1Z;1993;0.6;0.15;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Lakselva (Gullesfjord);177.1Z;1994;0.6;0.15;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Lakselva (Gullesfjord);177.1Z;1995;0.6;0.15;NA;NA;NA;FALSE;5;0;0;3;0;0;0;0;0;0;0;0
Lakselva (Gullesfjord);177.1Z;1996;0.6;0.15;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Lakselva (Gullesfjord);177.1Z;1997;0.6;NA;0.3;NA;NA;FALSE;41;4;0;23;1;0;0;0;0;0;0;0
Lakselva (Gullesfjord);177.1Z;1998;0.6;NA;0.3;NA;NA;FALSE;8;3;0;6;1;0;0;0;0;0;0;0
Lakselva (Gullesfjord);177.1Z;1999;0.6;NA;0.3;NA;NA;FALSE;3;13;0;2;3;0;0;0;0;0;0;0
Lakselva (Gullesfjord);177.1Z;2000;0.6;NA;0.3;NA;NA;FALSE;8;0;0;4;0;0;0;0;0;0;0;0
Lakselva (Gullesfjord);177.1Z;2001;0.6;NA;0.3;NA;NA;FALSE;29;31;0;20;9;0;0;0;0;0;0;0
Lakselva (Gullesfjord);177.1Z;2002;0.6;NA;0.3;NA;NA;FALSE;13;17;23;8;4;3;0;0;0;0;0;0
Lakselva (Gullesfjord);177.1Z;2003;0.6;NA;0.3;NA;NA;FALSE;30;0;0;22;0;0;0;0;0;0;0;0
Lakselva (Gullesfjord);177.1Z;2004;0.6;NA;0.3;NA;NA;FALSE;17;0;0;10;0;0;0;0;0;0;0;0
Lakselva (Gullesfjord);177.1Z;2005;0.6;NA;0.3;NA;NA;FALSE;46;38;17;30;7;2;0;0;0;0;0;0
Lakselva (Gullesfjord);177.1Z;2006;0.6;NA;0.3;NA;NA;FALSE;12;43;17;8;9;2;0;0;0;0;0;0
Lakselva (Gullesfjord);177.1Z;2007;0.6;NA;0.3;NA;NA;FALSE;22;44;38;13;8;4;0;0;0;0;0;0
Lakselva (Gullesfjord);177.1Z;2008;0.6;0.15;NA;NA;NA;FALSE;4;0;0;2;0;0;0;0;0;0;0;0
Lakselva (Gullesfjord);177.1Z;2009;0.6;0.15;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Lakselva (Gullesfjord);177.1Z;2010;0.6;0.15;NA;NA;NA;FALSE;8;0;7;4;0;1;3;0;0;2;0;0
Lakselva (Gullesfjord);177.1Z;2011;0.6;0.15;NA;NA;NA;FALSE;0;4;0;0;1;0;0;0;0;0;0;0
Lakselva (Gullesfjord);177.1Z;2012;0.6;0.15;NA;NA;NA;FALSE;12;0;0;5;0;0;4;0;0;3;0;0
Lakselva (Gullesfjord);177.1Z;2013;0.6;0.15;NA;NA;NA;FALSE;3;0;0;2;0;0;8;0;0;5;0;0
Lakselva (Gullesfjord);177.1Z;2014;0.6;0.15;NA;NA;NA;FALSE;5;4;0;3;1;0;2;0;0;2;0;0
Lakselva (Gullesfjord);177.1Z;2015;0.6;0.15;NA;NA;NA;FALSE;8;15;0;5;4;0;10;0;0;6;0;0
Lakselva (Gullesfjord);177.1Z;2016;0.6;0.15;NA;NA;NA;FALSE;9;4;0;5;1;0;4;0;0;4;0;0
Lakselva (Gullesfjord);177.1Z;2017;0.6;0.15;NA;NA;NA;FALSE;2;7;0;1;1;0;0;21;0;0;6;0
Lakselva (Gullesfjord);177.1Z;2018;0.6;0.15;NA;NA;NA;FALSE;3;10;0;2;2;0;8;0;0;6;0;0
Lakselva (Gullesfjord);177.1Z;2019;0.6;0.15;NA;NA;NA;FALSE;0;0;0;0;0;0;6;0;0;5;0;0
Lakselva (Gullesfjord);177.1Z;2020;0.6;0.15;NA;NA;NA;FALSE;9.7;0;0;6;0;0;16;0;0;10;0;0
Lakselva (Gullesfjord);177.1Z;2021;0.6;0.15;NA;NA;NA;FALSE;16;0;0;10;0;0;3;0;0;2;0;0
Lakselva (Gullesfjord);177.1Z;2022;0.6;0.15;NA;NA;NA;FALSE;16;0;0;10;0;0;2;0;0;2;0;0
Lakselva (Gullesfjord);177.1Z;2023;0.6;0.15;NA;NA;NA;FALSE;2;0;0;1;0;0;0;0;0;0;0;0
