Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Storvatnvassdraget (Lødingen);178.112Z;1993;0.62;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Storvatnvassdraget (Lødingen);178.112Z;1994;0.62;;0.5;;;FALSE;16;10;0;10;3;0;0;0;0;0;0;0
Storvatnvassdraget (Lødingen);178.112Z;1995;0.62;;;10;;FALSE;3;0;0;2;0;0;0;0;0;0;0;0
Storvatnvassdraget (Lødingen);178.112Z;1996;0.62;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Storvatnvassdraget (Lødingen);178.112Z;1997;0.62;;0.5;;;FALSE;27;61;8;12;16;1;0;0;0;0;0;0
Storvatnvassdraget (Lødingen);178.112Z;1998;0.62;;0.5;;;FALSE;12;19;7;5;6;1;0;0;0;0;0;0
Storvatnvassdraget (Lødingen);178.112Z;1999;0.62;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Storvatnvassdraget (Lødingen);178.112Z;2000;0.62;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Storvatnvassdraget (Lødingen);178.112Z;2001;0.62;;0.5;;;FALSE;26;16;0;17;3;0;0;0;0;0;0;0
Storvatnvassdraget (Lødingen);178.112Z;2002;0.62;;0.5;;;FALSE;11;0;0;9;0;0;0;0;0;0;0;0
Storvatnvassdraget (Lødingen);178.112Z;2003;0.62;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Storvatnvassdraget (Lødingen);178.112Z;2004;0.62;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Storvatnvassdraget (Lødingen);178.112Z;2005;0.62;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Storvatnvassdraget (Lødingen);178.112Z;2006;0.62;;0.5;;;FALSE;13;0;0;13;0;0;0;0;0;0;0;0
Storvatnvassdraget (Lødingen);178.112Z;2007;0.62;;0.5;;;FALSE;7;16;0;10;3;0;0;0;0;0;0;0
Storvatnvassdraget (Lødingen);178.112Z;2008;0.62;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Storvatnvassdraget (Lødingen);178.112Z;2009;0.62;;0.5;;;FALSE;7;0;0;6;0;0;0;0;0;0;0;0
Storvatnvassdraget (Lødingen);178.112Z;2010;0.62;;0.5;;;FALSE;5;12;0;2;3;0;0;0;0;0;0;0
Storvatnvassdraget (Lødingen);178.112Z;2011;0.62;;0.5;;;FALSE;8;16;0;5;4;0;0;0;0;0;0;0
Storvatnvassdraget (Lødingen);178.112Z;2012;0.62;;0.5;;;FALSE;18;18;0;8;4;0;0;0;0;0;0;0
Storvatnvassdraget (Lødingen);178.112Z;2013;0.62;;0.5;;;FALSE;9;7;0;6;2;0;0;0;0;0;0;0
Storvatnvassdraget (Lødingen);178.112Z;2014;0.62;;0.5;;;FALSE;5;4;0;2;1;0;0;0;0;0;0;0
Storvatnvassdraget (Lødingen);178.112Z;2015;0.62;;0.5;;;FALSE;17;4;0;11;1;0;0;0;0;0;0;0
Storvatnvassdraget (Lødingen);178.112Z;2016;0.62;;0.5;;;FALSE;14;17;0;9;5;0;0;0;0;0;0;0
Storvatnvassdraget (Lødingen);178.112Z;2017;0.62;;0.5;;;FALSE;14;7;0;10;2;0;0;0;0;0;0;0
Storvatnvassdraget (Lødingen);178.112Z;2018;0.62;;0.5;;;FALSE;5;0;0;4;0;0;0;0;0;0;0;0
Storvatnvassdraget (Lødingen);178.112Z;2019;0.62;;0.5;;;FALSE;10;3;0;5;1;0;0;0;0;0;0;0
Storvatnvassdraget (Lødingen);178.112Z;2020;0.62;;0.5;;;FALSE;45.8;20.5;0;31;6;0;0;0;0;0;0;0
Storvatnvassdraget (Lødingen);178.112Z;2021;0.62;;0.5;;;FALSE;3;0;0;2;0;0;0;0;0;0;0;0
Storvatnvassdraget (Lødingen);178.112Z;2022;0.62;;0.5;;;FALSE;3;0;0;2;0;0;0;0;0;0;0;0
Storvatnvassdraget (Lødingen);178.112Z;2023;0.62;;0.5;;;FALSE;9;0;0;5;0;0;0;0;0;0;0;0
Storvatnvassdraget (Lødingen);178.112Z;2024;0.62;;0.5;;;FALSE;3;0;0;3;0;0;0;0;0;0;0;0
