Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Kongselvvassdraget;178.2Z;1993;0.57;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Kongselvvassdraget;178.2Z;1994;0.57;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Kongselvvassdraget;178.2Z;1995;0.57;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Kongselvvassdraget;178.2Z;1996;0.57;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Kongselvvassdraget;178.2Z;1997;0.57;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Kongselvvassdraget;178.2Z;1998;0.57;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Kongselvvassdraget;178.2Z;1999;0.57;NA;NA;10;NA;FALSE;11;0;0;7;0;0;0;0;0;0;0;0
Kongselvvassdraget;178.2Z;2000;0.57;NA;NA;10;NA;FALSE;6;3;0;4;1;0;0;0;0;0;0;0
Kongselvvassdraget;178.2Z;2001;0.57;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Kongselvvassdraget;178.2Z;2002;0.57;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Kongselvvassdraget;178.2Z;2003;0.57;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Kongselvvassdraget;178.2Z;2004;0.57;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Kongselvvassdraget;178.2Z;2005;0.57;NA;NA;10;NA;FALSE;3;0;0;2;0;0;0;0;0;0;0;0
Kongselvvassdraget;178.2Z;2006;0.57;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Kongselvvassdraget;178.2Z;2007;0.57;NA;NA;10;NA;FALSE;3;0;0;2;0;0;0;0;0;0;0;0
Kongselvvassdraget;178.2Z;2008;0.57;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Kongselvvassdraget;178.2Z;2009;0.57;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Kongselvvassdraget;178.2Z;2010;0.57;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Kongselvvassdraget;178.2Z;2011;0.57;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Kongselvvassdraget;178.2Z;2012;0.57;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Kongselvvassdraget;178.2Z;2013;0.57;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Kongselvvassdraget;178.2Z;2014;0.57;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Kongselvvassdraget;178.2Z;2015;0.57;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Kongselvvassdraget;178.2Z;2016;0.57;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Kongselvvassdraget;178.2Z;2017;0.57;NA;0.4;NA;NA;FALSE;4;3;0;3;1;0;0;0;0;0;0;0
Kongselvvassdraget;178.2Z;2018;0.57;NA;0.4;NA;NA;FALSE;6;3;0;5;1;0;0;0;0;0;0;0
Kongselvvassdraget;178.2Z;2019;0.57;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Kongselvvassdraget;178.2Z;2020;0.57;NA;0.5;NA;NA;FALSE;50.2;3;0;40;1;0;0;0;0;0;0;0
Kongselvvassdraget;178.2Z;2021;0.57;NA;0.5;NA;NA;FALSE;37;8;0;24;2;0;3;0;0;1;0;0
Kongselvvassdraget;178.2Z;2022;0.57;NA;0.5;NA;NA;FALSE;38;22;0;24;6;0;2;0;0;1;0;0
Kongselvvassdraget;178.2Z;2023;0.57;NA;NA;10;NA;FALSE;7;0;0;5;0;0;0;0;0;0;0;0
