Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Fiskfjordvassdraget;178.42Z;1993;0.57;NA;0.5;NA;NA;FALSE;72;0;7;41;0;1;0;0;0;0;0;0
Fiskfjordvassdraget;178.42Z;1994;0.57;0.5;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Fiskfjordvassdraget;178.42Z;1995;0.57;0.5;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Fiskfjordvassdraget;178.42Z;1996;0.57;0.5;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Fiskfjordvassdraget;178.42Z;1997;0.57;0.5;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Fiskfjordvassdraget;178.42Z;1998;0.57;0.5;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Fiskfjordvassdraget;178.42Z;1999;0.57;0.5;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Fiskfjordvassdraget;178.42Z;2000;0.57;0.5;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Fiskfjordvassdraget;178.42Z;2001;0.57;0.5;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Fiskfjordvassdraget;178.42Z;2002;0.57;0.5;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Fiskfjordvassdraget;178.42Z;2003;0.57;NA;0.5;NA;NA;FALSE;94;11;0;55;3;0;0;0;0;0;0;0
Fiskfjordvassdraget;178.42Z;2004;0.57;NA;0.5;NA;NA;FALSE;59;0;0;42;0;0;0;0;0;0;0;0
Fiskfjordvassdraget;178.42Z;2005;0.57;NA;0.5;NA;NA;FALSE;68;8;0;43;2;0;0;0;0;0;0;0
Fiskfjordvassdraget;178.42Z;2006;0.57;NA;0.5;NA;NA;FALSE;43;7;0;29;2;0;0;0;0;0;0;0
Fiskfjordvassdraget;178.42Z;2007;0.57;NA;0.5;NA;NA;FALSE;42;17;0;34;5;0;0;0;0;0;0;0
Fiskfjordvassdraget;178.42Z;2008;0.57;NA;0.5;NA;NA;FALSE;15;5;0;7;1;0;0;0;0;0;0;0
Fiskfjordvassdraget;178.42Z;2009;0.57;NA;0.5;NA;NA;FALSE;30;3;0;22;1;0;2;0;0;1;0;0
Fiskfjordvassdraget;178.42Z;2010;0.57;NA;0.5;NA;NA;FALSE;46;23;0;27;7;0;9;0;0;6;0;0
Fiskfjordvassdraget;178.42Z;2011;0.57;NA;0.5;NA;NA;FALSE;90;39;0;48;11;0;0;0;0;0;0;0
Fiskfjordvassdraget;178.42Z;2012;0.57;NA;0.5;NA;NA;FALSE;49;17;0;27;4;0;0;0;0;0;0;0
Fiskfjordvassdraget;178.42Z;2013;0.57;NA;0.5;NA;NA;FALSE;16;8;0;12;2;0;0;0;0;0;0;0
Fiskfjordvassdraget;178.42Z;2014;0.57;NA;0.5;NA;NA;FALSE;30;3;0;16;1;0;0;0;0;0;0;0
Fiskfjordvassdraget;178.42Z;2015;0.57;NA;0.5;NA;NA;FALSE;35;7;0;22;2;0;0;0;0;1;0;0
Fiskfjordvassdraget;178.42Z;2016;0.57;NA;0.5;NA;NA;FALSE;20;9;0;13;3;0;0;0;0;0;0;0
Fiskfjordvassdraget;178.42Z;2017;0.57;NA;0.5;NA;NA;FALSE;29;26;0;19;7;0;0;0;0;0;0;0
Fiskfjordvassdraget;178.42Z;2018;0.57;NA;0.5;NA;NA;FALSE;9;12;0;6;3;0;0;0;0;0;0;0
Fiskfjordvassdraget;178.42Z;2019;0.57;NA;0.5;NA;NA;FALSE;14;0;0;10;0;0;0;0;0;0;0;0
Fiskfjordvassdraget;178.42Z;2020;0.57;NA;0.5;NA;NA;FALSE;74.9;23.5;0;50;7;0;1.7;0;0;1;0;0
Fiskfjordvassdraget;178.42Z;2021;0.57;1;NA;NA;NA;FALSE;0;0;0;0;0;0;15;6;0;8;2;0
Fiskfjordvassdraget;178.42Z;2022;0.57;1;NA;NA;NA;FALSE;0;0;0;0;0;0;9;7;0;8;2;0
Fiskfjordvassdraget;178.42Z;2023;0.57;1;NA;NA;NA;FALSE;1;0;0;1;0;0;22;0;0;15;0;0
