Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Blokkenvassdraget (Blokkelva);178.43Z;1993;0.59;0.15;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Blokkenvassdraget (Blokkelva);178.43Z;1994;0.59;0.15;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Blokkenvassdraget (Blokkelva);178.43Z;1995;0.59;0.15;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Blokkenvassdraget (Blokkelva);178.43Z;1996;0.59;0.15;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Blokkenvassdraget (Blokkelva);178.43Z;1997;0.59;0.15;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Blokkenvassdraget (Blokkelva);178.43Z;1998;0.59;0.15;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Blokkenvassdraget (Blokkelva);178.43Z;1999;0.59;NA;0.3;NA;NA;FALSE;19;8;0;13;2;0;0;0;0;0;0;0
Blokkenvassdraget (Blokkelva);178.43Z;2000;0.59;NA;0.3;NA;NA;FALSE;17;7;0;9;2;0;0;0;0;0;0;0
Blokkenvassdraget (Blokkelva);178.43Z;2001;0.59;NA;0.3;NA;NA;FALSE;16;5;0;11;1;0;0;0;0;0;0;0
Blokkenvassdraget (Blokkelva);178.43Z;2002;0.59;0.15;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Blokkenvassdraget (Blokkelva);178.43Z;2003;0.59;0.15;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Blokkenvassdraget (Blokkelva);178.43Z;2004;0.59;0.15;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Blokkenvassdraget (Blokkelva);178.43Z;2005;0.59;0.15;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Blokkenvassdraget (Blokkelva);178.43Z;2006;0.59;0.15;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Blokkenvassdraget (Blokkelva);178.43Z;2007;0.59;0.15;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Blokkenvassdraget (Blokkelva);178.43Z;2008;0.59;0.15;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Blokkenvassdraget (Blokkelva);178.43Z;2009;0.59;0.15;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Blokkenvassdraget (Blokkelva);178.43Z;2010;0.59;0.15;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Blokkenvassdraget (Blokkelva);178.43Z;2011;0.59;0.15;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Blokkenvassdraget (Blokkelva);178.43Z;2012;0.59;0.15;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Blokkenvassdraget (Blokkelva);178.43Z;2013;0.59;0.15;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Blokkenvassdraget (Blokkelva);178.43Z;2014;0.59;0.15;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Blokkenvassdraget (Blokkelva);178.43Z;2015;0.59;0.15;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Blokkenvassdraget (Blokkelva);178.43Z;2016;0.59;0.15;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Blokkenvassdraget (Blokkelva);178.43Z;2017;0.59;0.15;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Blokkenvassdraget (Blokkelva);178.43Z;2018;0.59;0.15;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Blokkenvassdraget (Blokkelva);178.43Z;2019;0.59;0.15;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Blokkenvassdraget (Blokkelva);178.43Z;2020;0.59;0.15;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Blokkenvassdraget (Blokkelva);178.43Z;2021;0.59;0.15;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Blokkenvassdraget (Blokkelva);178.43Z;2022;0.59;0.15;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Blokkenvassdraget (Blokkelva);178.43Z;2023;0.59;0.15;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
