Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Osvollvassdraget;178.52Z;1993;0.596814401;;0.4;;;FALSE;140;0;0;114;0;0;0;0;0;0;0;0
Osvollvassdraget;178.52Z;1994;0.596814401;;0.4;;;FALSE;127;10;0;91;3;0;0;0;0;0;0;0
Osvollvassdraget;178.52Z;1995;0.596814401;0.6;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Osvollvassdraget;178.52Z;1996;0.596814401;;0.4;;;FALSE;210;20;0;149;6;0;0;0;0;0;0;0
Osvollvassdraget;178.52Z;1997;0.596814401;;0.4;;;FALSE;156;12;0;116;3;0;0;0;0;0;0;0
Osvollvassdraget;178.52Z;1998;0.596814401;;0.4;;;FALSE;44;20;0;34;6;0;0;0;0;0;0;0
Osvollvassdraget;178.52Z;1999;0.596814401;0.6;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Osvollvassdraget;178.52Z;2000;0.596814401;;0.4;;;FALSE;205;50;0;130;14;0;0;0;0;0;0;0
Osvollvassdraget;178.52Z;2001;0.596814401;;0.4;;;FALSE;219;14;0;124;3;0;0;0;0;0;0;0
Osvollvassdraget;178.52Z;2002;0.596814401;;0.4;;;FALSE;111;26;0;61;8;0;0;0;0;0;0;0
Osvollvassdraget;178.52Z;2003;0.596814401;;0.4;;;FALSE;135;0;0;89;0;0;0;0;0;0;0;0
Osvollvassdraget;178.52Z;2004;0.596814401;;0.4;;;FALSE;178;57;0;115;14;0;0;0;0;0;0;0
Osvollvassdraget;178.52Z;2005;0.596814401;;0.4;;;FALSE;255;84;10;161;23;1;0;0;0;0;0;0
Osvollvassdraget;178.52Z;2006;0.596814401;;0.4;;;FALSE;248;78;0;146;20;0;0;0;0;0;0;0
Osvollvassdraget;178.52Z;2007;0.596814401;;0.4;;;FALSE;85;33;8;53;9;1;0;0;0;0;0;0
Osvollvassdraget;178.52Z;2008;0.596814401;;0.4;;;FALSE;27;29;0;15;7;0;0;0;0;0;0;0
Osvollvassdraget;178.52Z;2009;0.596814401;;0.4;;;FALSE;45;33;0;24;9;0;0;0;0;0;0;0
Osvollvassdraget;178.52Z;2010;0.596814401;;0.4;;;FALSE;34;22;7;20;6;1;0;0;0;0;0;0
Osvollvassdraget;178.52Z;2011;0.596814401;;0.4;;;FALSE;15;4;0;11;1;0;0;0;0;0;0;0
Osvollvassdraget;178.52Z;2012;0.596814401;0.6;;;;FALSE;0;0;0;0;0;0;6;3;0;3;1;0
Osvollvassdraget;178.52Z;2013;0.596814401;0.6;;;;FALSE;0;0;0;0;0;0;3;0;0;2;0;0
Osvollvassdraget;178.52Z;2014;0.596814401;0.6;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Osvollvassdraget;178.52Z;2015;0.596814401;0.6;;;;FALSE;0;0;0;0;0;0;8;0;0;4;0;0
Osvollvassdraget;178.52Z;2016;0.596814401;0.6;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Osvollvassdraget;178.52Z;2017;0.596814401;0.6;;;;FALSE;0;0;0;0;0;0;0;3;0;0;1;0
Osvollvassdraget;178.52Z;2018;0.596814401;0.6;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Osvollvassdraget;178.52Z;2019;0.596814401;0.6;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Osvollvassdraget;178.52Z;2020;0.596814401;0.6;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Osvollvassdraget;178.52Z;2021;0.596814401;0.6;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Osvollvassdraget;178.52Z;2022;0.596814401;0.6;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Osvollvassdraget;178.52Z;2023;0.596814401;0.6;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Osvollvassdraget;178.52Z;2024;0.596814401;0.6;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
