Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Eidebuktvassdraget;178.55Z;1993;0.6;NA;0.5;NA;NA;FALSE;8;0;0;12;0;0;0;0;0;0;0;0
Eidebuktvassdraget;178.55Z;1994;0.6;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Eidebuktvassdraget;178.55Z;1995;0.6;NA;0.5;NA;NA;FALSE;25;4;0;10;1;0;0;0;0;0;0;0
Eidebuktvassdraget;178.55Z;1996;0.6;NA;0.5;NA;NA;FALSE;17;0;0;11;0;0;0;0;0;0;0;0
Eidebuktvassdraget;178.55Z;1997;0.6;NA;0.5;NA;NA;FALSE;14;0;0;9;0;0;0;0;0;0;0;0
Eidebuktvassdraget;178.55Z;1998;0.6;NA;0.5;NA;NA;FALSE;7;5;0;4;1;0;0;0;0;0;0;0
Eidebuktvassdraget;178.55Z;1999;0.6;NA;0.5;NA;NA;FALSE;8;0;0;6;0;0;0;0;0;0;0;0
Eidebuktvassdraget;178.55Z;2000;0.6;NA;0.5;NA;NA;FALSE;21;0;0;11;0;0;0;0;0;0;0;0
Eidebuktvassdraget;178.55Z;2001;0.6;NA;0.5;NA;NA;FALSE;11;0;0;7;0;0;0;0;0;0;0;0
Eidebuktvassdraget;178.55Z;2002;0.6;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Eidebuktvassdraget;178.55Z;2003;0.6;NA;NA;10;NA;FALSE;2;0;0;1;0;0;0;0;0;0;0;0
Eidebuktvassdraget;178.55Z;2004;0.6;NA;NA;10;NA;FALSE;3;0;0;2;0;0;0;0;0;0;0;0
Eidebuktvassdraget;178.55Z;2005;0.6;NA;NA;10;NA;FALSE;5;0;0;3;0;0;0;0;0;0;0;0
Eidebuktvassdraget;178.55Z;2006;0.6;NA;NA;10;NA;FALSE;5;0;0;3;0;0;0;0;0;0;0;0
Eidebuktvassdraget;178.55Z;2007;0.6;NA;NA;10;NA;FALSE;7;0;0;4;0;0;0;0;0;0;0;0
Eidebuktvassdraget;178.55Z;2008;0.6;NA;NA;10;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Eidebuktvassdraget;178.55Z;2009;0.6;NA;NA;10;NA;FALSE;4;0;0;2;0;0;0;0;0;0;0;0
Eidebuktvassdraget;178.55Z;2010;0.6;NA;0.5;NA;NA;FALSE;3;20;0;1;4;0;0;0;0;0;0;0
Eidebuktvassdraget;178.55Z;2011;0.6;NA;0.5;NA;NA;FALSE;9;0;0;6;0;0;0;0;0;0;0;0
Eidebuktvassdraget;178.55Z;2012;0.6;NA;0.5;NA;NA;FALSE;21;13;0;12;3;0;0;0;0;0;0;0
Eidebuktvassdraget;178.55Z;2013;0.6;NA;0.5;NA;NA;FALSE;25;11;0;13;2;0;0;0;0;0;0;0
Eidebuktvassdraget;178.55Z;2014;0.6;NA;0.5;NA;NA;FALSE;15;5;0;7;1;0;0;0;0;0;0;0
Eidebuktvassdraget;178.55Z;2015;0.6;NA;0.5;NA;NA;FALSE;9;4;0;5;1;0;0;0;0;0;0;0
Eidebuktvassdraget;178.55Z;2016;0.6;NA;0.5;NA;NA;FALSE;16;0;0;10;0;0;0;0;0;0;0;0
Eidebuktvassdraget;178.55Z;2017;0.6;NA;0.5;NA;NA;FALSE;20;0;0;11;0;0;0;0;0;0;0;0
Eidebuktvassdraget;178.55Z;2018;0.6;NA;0.5;NA;NA;FALSE;11;3;0;7;1;0;0;0;0;0;0;0
Eidebuktvassdraget;178.55Z;2019;0.6;NA;0.5;NA;NA;FALSE;12;3;0;6;1;0;0;0;0;0;0;0
Eidebuktvassdraget;178.55Z;2020;0.6;NA;0.5;NA;NA;FALSE;10.3;3.6;0;5;1;0;0;0;0;0;0;0
Eidebuktvassdraget;178.55Z;2021;0.6;NA;0.5;NA;NA;FALSE;15;0;0;9;0;0;0;0;0;0;0;0
Eidebuktvassdraget;178.55Z;2022;0.6;NA;0.5;NA;NA;FALSE;10;4;0;5;1;0;0;0;0;0;0;0
Eidebuktvassdraget;178.55Z;2023;0.6;NA;NA;10;NA;FALSE;6;0;0;3;0;0;0;0;0;0;0;0
