Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Storelva (Lovik);178.74Z;1993;0.57;NA;0.4;NA;NA;FALSE;61;0;0;42;0;0;0;0;0;0;0;0
Storelva (Lovik);178.74Z;1994;0.57;NA;0.4;NA;NA;FALSE;67;0;0;46;0;0;0;0;0;0;0;0
Storelva (Lovik);178.74Z;1995;0.57;NA;0.4;NA;NA;FALSE;91;0;0;62;0;0;0;0;0;0;0;0
Storelva (Lovik);178.74Z;1996;0.57;NA;0.4;NA;NA;FALSE;188;0;0;130;0;0;0;0;0;0;0;0
Storelva (Lovik);178.74Z;1997;0.57;NA;0.4;NA;NA;FALSE;86;11;0;55;3;0;0;0;0;0;0;0
Storelva (Lovik);178.74Z;1998;0.57;NA;0.4;NA;NA;FALSE;115;4;0;70;1;0;0;0;0;0;0;0
Storelva (Lovik);178.74Z;1999;0.57;NA;0.4;NA;NA;FALSE;105;3;0;66;1;0;0;0;0;0;0;0
Storelva (Lovik);178.74Z;2000;0.57;NA;0.4;NA;NA;FALSE;54;7;0;32;2;0;0;0;0;0;0;0
Storelva (Lovik);178.74Z;2001;0.57;NA;0.4;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Storelva (Lovik);178.74Z;2002;0.57;1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Storelva (Lovik);178.74Z;2003;0.57;NA;0.4;NA;NA;FALSE;60;8;0;38;2;0;0;0;0;0;0;0
Storelva (Lovik);178.74Z;2004;0.57;NA;0.4;NA;NA;FALSE;37;10;0;22;3;0;0;0;0;0;0;0
Storelva (Lovik);178.74Z;2005;0.57;NA;0.4;NA;NA;FALSE;63;30;0;44;8;0;0;0;0;0;0;0
Storelva (Lovik);178.74Z;2006;0.57;NA;0.4;NA;NA;FALSE;172;36;0;97;9;0;0;0;0;0;0;0
Storelva (Lovik);178.74Z;2007;0.57;NA;0.4;NA;NA;FALSE;146;45;0;96;12;0;0;0;0;0;0;0
Storelva (Lovik);178.74Z;2008;0.57;NA;0.4;NA;NA;FALSE;125;28;8;79;7;1;0;0;0;0;0;0
Storelva (Lovik);178.74Z;2009;0.57;NA;0.4;NA;NA;FALSE;121;36;0;74;10;0;0;0;0;0;0;0
Storelva (Lovik);178.74Z;2010;0.57;1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Storelva (Lovik);178.74Z;2011;0.57;1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Storelva (Lovik);178.74Z;2012;0.57;NA;0.4;NA;NA;FALSE;67;53;0;37;14;0;0;0;0;0;0;0
Storelva (Lovik);178.74Z;2013;0.57;NA;0.4;NA;NA;FALSE;43;23;0;29;6;0;0;0;0;0;0;0
Storelva (Lovik);178.74Z;2014;0.57;NA;0.4;NA;NA;FALSE;42;13;0;29;3;0;0;0;0;0;0;0
Storelva (Lovik);178.74Z;2015;0.57;NA;0.4;NA;NA;FALSE;50;21;0;31;5;0;0;0;0;0;0;0
Storelva (Lovik);178.74Z;2016;0.57;NA;0.4;NA;NA;FALSE;39;13;0;22;3;0;0;0;0;0;0;0
Storelva (Lovik);178.74Z;2017;0.57;NA;0.4;NA;NA;FALSE;24;27;0;13;8;0;0;0;0;0;0;0
Storelva (Lovik);178.74Z;2018;0.57;NA;0.4;NA;NA;FALSE;41;20;0;23;5;0;0;0;0;0;0;0
Storelva (Lovik);178.74Z;2019;0.57;NA;0.4;NA;NA;FALSE;49;15;9;31;4;1;0;0;0;0;0;0
Storelva (Lovik);178.74Z;2020;0.57;NA;0.4;NA;NA;FALSE;63.5;28.3;0;42;8;0;1.5;0;0;1;0;0
Storelva (Lovik);178.74Z;2021;0.57;NA;0.4;NA;NA;FALSE;63;10;0;41;3;0;3;0;0;3;0;0
Storelva (Lovik);178.74Z;2022;0.57;1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Storelva (Lovik);178.74Z;2023;0.57;1;NA;NA;NA;FALSE;5;0;0;3;0;0;0;0;0;0;0;0
