Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Vestpollvassdraget (Vågan);179.332Z;1993;0.57;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Vestpollvassdraget (Vågan);179.332Z;1994;0.57;;0.5;;;FALSE;161;12;0;107;3;0;0;0;0;0;0;0
Vestpollvassdraget (Vågan);179.332Z;1995;0.57;;0.5;;;FALSE;36;26;0;29;6;0;0;0;0;0;0;0
Vestpollvassdraget (Vågan);179.332Z;1996;0.57;;0.5;;;FALSE;38;6;8;30;1;1;0;0;0;0;0;0
Vestpollvassdraget (Vågan);179.332Z;1997;0.57;;0.5;;;FALSE;72;0;0;49;0;0;0;0;0;0;0;0
Vestpollvassdraget (Vågan);179.332Z;1998;0.57;;0.5;;;FALSE;2;20;0;1;5;0;0;0;0;0;0;0
Vestpollvassdraget (Vågan);179.332Z;1999;0.57;;0.5;;;FALSE;91;12;0;61;3;0;0;0;0;0;0;0
Vestpollvassdraget (Vågan);179.332Z;2000;0.57;;0.5;;;FALSE;104;6;0;69;1;0;0;0;0;0;0;0
Vestpollvassdraget (Vågan);179.332Z;2001;0.57;;0.5;;;FALSE;105;5;0;62;1;0;0;0;0;0;0;0
Vestpollvassdraget (Vågan);179.332Z;2002;0.57;;0.5;;;FALSE;64;11;8;42;2;1;0;0;0;0;0;0
Vestpollvassdraget (Vågan);179.332Z;2003;0.57;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Vestpollvassdraget (Vågan);179.332Z;2004;0.57;;0.5;;;FALSE;45;14;0;27;3;0;0;0;0;0;0;0
Vestpollvassdraget (Vågan);179.332Z;2005;0.57;;0.5;;;FALSE;90;21;0;59;4;0;0;0;0;0;0;0
Vestpollvassdraget (Vågan);179.332Z;2006;0.57;;0.5;;;FALSE;44;7;0;30;2;0;0;0;0;0;0;0
Vestpollvassdraget (Vågan);179.332Z;2007;0.57;;0.5;;;FALSE;47;0;0;30;0;0;0;0;0;0;0;0
Vestpollvassdraget (Vågan);179.332Z;2008;0.57;;0.5;;;FALSE;10;0;8;6;0;1;0;0;0;0;0;0
Vestpollvassdraget (Vågan);179.332Z;2009;0.57;;0.5;;;FALSE;28;5;0;14;1;0;0;0;0;0;0;0
Vestpollvassdraget (Vågan);179.332Z;2010;0.57;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Vestpollvassdraget (Vågan);179.332Z;2011;0.57;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Vestpollvassdraget (Vågan);179.332Z;2012;0.57;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Vestpollvassdraget (Vågan);179.332Z;2013;0.57;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Vestpollvassdraget (Vågan);179.332Z;2014;0.57;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Vestpollvassdraget (Vågan);179.332Z;2015;0.57;;0.5;;;FALSE;25;11;0;17;3;0;10;3;0;9;1;0
Vestpollvassdraget (Vågan);179.332Z;2016;0.57;;0.5;;;FALSE;27;23;0;18;7;0;15;4;0;12;1;0
Vestpollvassdraget (Vågan);179.332Z;2017;0.57;;0.5;;;FALSE;40;20;0;25;5;0;25;33;0;16;6;0
Vestpollvassdraget (Vågan);179.332Z;2018;0.57;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Vestpollvassdraget (Vågan);179.332Z;2019;0.57;0.5;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Vestpollvassdraget (Vågan);179.332Z;2020;0.57;;0.5;;;FALSE;37.1;23;0;23;6;0;6.2;0;0;3;0;0
Vestpollvassdraget (Vågan);179.332Z;2021;0.57;;0.5;;;FALSE;16;8;0;11;2;0;0;4;0;0;1;0
Vestpollvassdraget (Vågan);179.332Z;2022;0.57;;0.5;;;FALSE;23;0;0;13;0;0;2;12;0;1;3;0
Vestpollvassdraget (Vågan);179.332Z;2023;0.57;;0.5;;;FALSE;20;0;0;13;0;0;5;3;0;4;1;0
Vestpollvassdraget (Vågan);179.332Z;2024;0.57;;0.5;;;FALSE;9;7;0;5;2;0;13;7;0;8;2;0
