Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Helosvassdraget;180.11Z;1993;0.55;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Helosvassdraget;180.11Z;1994;0.55;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Helosvassdraget;180.11Z;1995;0.55;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Helosvassdraget;180.11Z;1996;0.55;;0.4;;;FALSE;21;0;0;14;0;0;0;0;0;0;0;0
Helosvassdraget;180.11Z;1997;0.55;;0.4;;;FALSE;18;0;0;11;0;0;0;0;0;0;0;0
Helosvassdraget;180.11Z;1998;0.55;;0.4;;;FALSE;21;0;0;19;0;0;0;0;0;0;0;0
Helosvassdraget;180.11Z;1999;0.55;;0.4;;;FALSE;22;0;0;12;0;0;0;0;0;0;0;0
Helosvassdraget;180.11Z;2000;0.55;;0.4;;;FALSE;26;0;0;14;0;0;0;0;0;0;0;0
Helosvassdraget;180.11Z;2001;0.55;;0.4;;;FALSE;45;0;0;24;0;0;0;0;0;0;0;0
Helosvassdraget;180.11Z;2002;0.55;;0.4;;;FALSE;14;0;0;8;0;0;0;0;0;0;0;0
Helosvassdraget;180.11Z;2003;0.55;;0.4;;;FALSE;11;0;0;7;0;0;0;0;0;0;0;0
Helosvassdraget;180.11Z;2004;0.55;;0.4;;;FALSE;7;0;0;4;0;0;0;0;0;0;0;0
Helosvassdraget;180.11Z;2005;0.55;;0.4;;;FALSE;19;0;0;12;0;0;0;0;0;0;0;0
Helosvassdraget;180.11Z;2006;0.55;;0.4;;;FALSE;22;0;0;15;0;0;0;0;0;0;0;0
Helosvassdraget;180.11Z;2007;0.55;;0.4;;;FALSE;17;0;0;12;0;0;0;0;0;0;0;0
Helosvassdraget;180.11Z;2008;0.55;0.2;;;;FALSE;2;0;0;1;0;0;0;0;0;0;0;0
Helosvassdraget;180.11Z;2009;0.55;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Helosvassdraget;180.11Z;2010;0.55;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Helosvassdraget;180.11Z;2011;0.55;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Helosvassdraget;180.11Z;2012;0.55;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Helosvassdraget;180.11Z;2013;0.55;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Helosvassdraget;180.11Z;2014;0.55;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Helosvassdraget;180.11Z;2015;0.55;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Helosvassdraget;180.11Z;2016;0.55;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Helosvassdraget;180.11Z;2017;0.55;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Helosvassdraget;180.11Z;2018;0.55;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Helosvassdraget;180.11Z;2019;0.55;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Helosvassdraget;180.11Z;2020;0.55;0.2;;;;FALSE;1;0;0;1;0;0;0;0;0;0;0;0
Helosvassdraget;180.11Z;2021;0.55;0.2;;;;FALSE;0;0;0;0;0;0;28;9;0;18;2;0
Helosvassdraget;180.11Z;2022;0.55;0.2;;;;FALSE;3;0;0;2;0;0;11;19;0;5;5;0
Helosvassdraget;180.11Z;2023;0.55;0.2;;;;FALSE;5;3;0;3;1;0;12;3;0;8;1;0
Helosvassdraget;180.11Z;2024;0.55;0.2;;;;FALSE;3;0;0;1;0;0;9;0;0;5;0;0
