Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Farstadvassdraget;180.4Z;1993;0.57;0.25;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Farstadvassdraget;180.4Z;1994;0.57;0.25;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Farstadvassdraget;180.4Z;1995;0.57;0.25;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Farstadvassdraget;180.4Z;1996;0.57;;0.4;;;FALSE;24;0;0;14;0;0;0;0;0;0;0;0
Farstadvassdraget;180.4Z;1997;0.57;;0.4;;;FALSE;24;15;0;14;4;0;0;0;0;0;0;0
Farstadvassdraget;180.4Z;1998;0.57;0.25;;;;FALSE;2;0;0;1;0;0;0;0;0;0;0;0
Farstadvassdraget;180.4Z;1999;0.57;;0.5;;;FALSE;208;0;0;114;0;0;0;0;0;0;0;0
Farstadvassdraget;180.4Z;2000;0.57;;0.4;;;FALSE;46;54;0;30;11;0;0;0;0;0;0;0
Farstadvassdraget;180.4Z;2001;0.57;;0.5;;;FALSE;428;52;7;250;14;1;0;0;0;0;0;0
Farstadvassdraget;180.4Z;2002;0.57;;0.4;;;FALSE;19;0;0;12;0;0;0;0;0;0;0;0
Farstadvassdraget;180.4Z;2003;0.57;0.25;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Farstadvassdraget;180.4Z;2004;0.57;;0.4;;;FALSE;4;13;0;3;3;0;0;0;0;0;0;0
Farstadvassdraget;180.4Z;2005;0.57;;0.4;;;FALSE;153;42;8;96;10;1;0;0;0;0;0;0
Farstadvassdraget;180.4Z;2006;0.57;;0.4;;;FALSE;92;22;0;64;6;0;0;0;0;0;0;0
Farstadvassdraget;180.4Z;2007;0.57;0.25;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Farstadvassdraget;180.4Z;2008;0.57;0.25;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Farstadvassdraget;180.4Z;2009;0.57;0.25;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Farstadvassdraget;180.4Z;2010;0.57;0.25;;;;FALSE;4;0;0;2;0;0;60;10;0;30;2;0
Farstadvassdraget;180.4Z;2011;0.57;0.25;;;;FALSE;0;0;0;0;0;0;3;4;0;2;1;0
Farstadvassdraget;180.4Z;2012;0.57;;0.4;;;FALSE;18;20;0;9;5;0;36;96;0;25;21;0
Farstadvassdraget;180.4Z;2013;0.57;;0.4;;;FALSE;29;9;0;16;2;0;0;0;0;0;0;0
Farstadvassdraget;180.4Z;2014;0.57;0.25;;;;FALSE;3;0;0;1;0;0;0;0;0;0;0;0
Farstadvassdraget;180.4Z;2015;0.57;0.25;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Farstadvassdraget;180.4Z;2016;0.57;;0.4;;;FALSE;21;29;7;12;8;1;25;25;0;16;7;0
Farstadvassdraget;180.4Z;2017;0.57;0.25;;;;FALSE;0;5;0;0;1;0;4;0;0;4;0;0
Farstadvassdraget;180.4Z;2018;0.57;;0.4;;;FALSE;2;12;0;1;3;0;0;0;0;0;0;0
Farstadvassdraget;180.4Z;2019;0.57;;0.4;;;FALSE;18;20;0;6;4;0;9;4;0;3;1;0
Farstadvassdraget;180.4Z;2020;0.57;;0.4;;;FALSE;42.3;14.5;0;21;4;0;10.1;3;0;5;1;0
Farstadvassdraget;180.4Z;2021;0.57;;0.4;;;FALSE;2;33;0;1;9;0;17;0;0;8;0;0
Farstadvassdraget;180.4Z;2022;0.57;0.25;;;;FALSE;5;0;0;2;0;0;15;5;0;7;1;0
Farstadvassdraget;180.4Z;2023;0.57;0.25;;;;FALSE;1;3;0;1;1;0;0;0;0;0;0;0
Farstadvassdraget;180.4Z;2024;0.57;0.25;;;;FALSE;8;6;0;3;2;0;51;3;0;19;1;0
