Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Borgevassdraget;180.6Z;1993;0.61;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Borgevassdraget;180.6Z;1994;0.61;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Borgevassdraget;180.6Z;1995;0.61;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Borgevassdraget;180.6Z;1996;0.61;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Borgevassdraget;180.6Z;1997;0.61;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Borgevassdraget;180.6Z;1998;0.61;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Borgevassdraget;180.6Z;1999;0.61;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Borgevassdraget;180.6Z;2000;0.61;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Borgevassdraget;180.6Z;2001;0.61;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Borgevassdraget;180.6Z;2002;0.61;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Borgevassdraget;180.6Z;2003;0.61;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Borgevassdraget;180.6Z;2004;0.61;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Borgevassdraget;180.6Z;2005;0.61;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Borgevassdraget;180.6Z;2006;0.61;NA;0.3;NA;NA;FALSE;18;8;0;8;2;0;0;0;0;0;0;0
Borgevassdraget;180.6Z;2007;0.61;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Borgevassdraget;180.6Z;2008;0.61;NA;0.3;NA;NA;FALSE;4;6;0;2;1;0;0;0;0;0;0;0
Borgevassdraget;180.6Z;2009;0.61;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Borgevassdraget;180.6Z;2010;0.61;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Borgevassdraget;180.6Z;2011;0.61;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Borgevassdraget;180.6Z;2012;0.61;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Borgevassdraget;180.6Z;2013;0.61;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Borgevassdraget;180.6Z;2014;0.61;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Borgevassdraget;180.6Z;2015;0.61;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Borgevassdraget;180.6Z;2016;0.61;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Borgevassdraget;180.6Z;2017;0.61;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Borgevassdraget;180.6Z;2018;0.61;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Borgevassdraget;180.6Z;2019;0.61;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Borgevassdraget;180.6Z;2020;0.61;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Borgevassdraget;180.6Z;2021;0.61;0.1;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Borgevassdraget;180.6Z;2022;0.61;0.1;NA;NA;NA;FALSE;3;3;0;1;1;0;3;23;0;1;6;0
Borgevassdraget;180.6Z;2023;0.61;0.1;NA;NA;NA;FALSE;4;0;0;2;0;0;3;6;0;2;2;0
