Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Klovassdraget;185.111Z;1993;0.57;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Klovassdraget;185.111Z;1994;0.57;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Klovassdraget;185.111Z;1995;0.57;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Klovassdraget;185.111Z;1996;0.57;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Klovassdraget;185.111Z;1997;0.57;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Klovassdraget;185.111Z;1998;0.57;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Klovassdraget;185.111Z;1999;0.57;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Klovassdraget;185.111Z;2000;0.57;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Klovassdraget;185.111Z;2001;0.57;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Klovassdraget;185.111Z;2002;0.57;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Klovassdraget;185.111Z;2003;0.57;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Klovassdraget;185.111Z;2004;0.57;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Klovassdraget;185.111Z;2005;0.57;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Klovassdraget;185.111Z;2006;0.57;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Klovassdraget;185.111Z;2007;0.57;;0.5;;;FALSE;5;0;0;3;0;0;0;0;0;0;0;0
Klovassdraget;185.111Z;2008;0.57;;0.5;;;FALSE;4;0;0;4;0;0;0;0;0;0;0;0
Klovassdraget;185.111Z;2009;0.57;;0.5;;;FALSE;5;0;0;3;0;0;0;0;0;0;0;0
Klovassdraget;185.111Z;2010;0.57;;0.5;;;FALSE;12;3;0;7;1;0;0;0;0;0;0;0
Klovassdraget;185.111Z;2011;0.57;;0.5;;;FALSE;8;0;0;5;0;0;0;0;0;0;0;0
Klovassdraget;185.111Z;2012;0.57;;0.5;;;FALSE;8;0;0;7;0;0;0;0;0;0;0;0
Klovassdraget;185.111Z;2013;0.57;;0.5;;;FALSE;22;4;0;17;1;0;0;0;0;0;0;0
Klovassdraget;185.111Z;2014;0.57;;0.5;;;FALSE;7;0;0;5;0;0;0;0;0;0;0;0
Klovassdraget;185.111Z;2015;0.57;;0.5;;;FALSE;12;0;0;8;0;0;0;0;0;0;0;0
Klovassdraget;185.111Z;2016;0.57;;0.5;;;FALSE;18;10;0;19;3;0;0;0;0;0;0;0
Klovassdraget;185.111Z;2017;0.57;;0.5;;;FALSE;10;0;0;8;0;0;5;0;0;4;0;0
Klovassdraget;185.111Z;2018;0.57;;0.5;;;FALSE;7;0;0;4;0;0;0;0;0;0;0;0
Klovassdraget;185.111Z;2019;0.57;;0.5;;;FALSE;4;0;0;4;0;0;0;0;0;0;0;0
Klovassdraget;185.111Z;2020;0.57;;0.5;;;FALSE;14.4;0;0;11;0;0;1.2;0;0;1;0;0
Klovassdraget;185.111Z;2021;0.57;;0.5;;;FALSE;39;11;0;26;3;0;1;0;0;1;0;0
Klovassdraget;185.111Z;2022;0.57;;0.5;;;FALSE;15;0;0;9;0;0;0;0;0;0;0;0
Klovassdraget;185.111Z;2023;0.57;;;10;;FALSE;5;3;0;4;1;0;1;0;0;1;0;0
Klovassdraget;185.111Z;2024;0.57;;;10;;FALSE;9;0;0;5;0;0;0;0;0;1;0;0
