Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Indre Straumfjordvassdraget;185.43Z;1993;0.56;0.2;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Indre Straumfjordvassdraget;185.43Z;1994;0.56;0.2;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Indre Straumfjordvassdraget;185.43Z;1995;0.56;0.2;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Indre Straumfjordvassdraget;185.43Z;1996;0.56;0.2;NA;NA;NA;FALSE;3;0;0;3;0;0;0;0;0;0;0;0
Indre Straumfjordvassdraget;185.43Z;1997;0.56;0.2;NA;NA;NA;FALSE;4;0;0;4;0;0;0;0;0;0;0;0
Indre Straumfjordvassdraget;185.43Z;1998;0.56;0.2;NA;NA;NA;FALSE;2;0;0;1;0;0;0;0;0;0;0;0
Indre Straumfjordvassdraget;185.43Z;1999;0.56;0.2;NA;NA;NA;FALSE;2;0;0;2;0;0;0;0;0;0;0;0
Indre Straumfjordvassdraget;185.43Z;2000;0.56;NA;0.3;NA;NA;FALSE;20;0;0;14;0;0;0;0;0;0;0;0
Indre Straumfjordvassdraget;185.43Z;2001;0.56;NA;0.3;NA;NA;FALSE;38;0;0;23;0;0;0;0;0;0;0;0
Indre Straumfjordvassdraget;185.43Z;2002;0.56;NA;0.3;NA;NA;FALSE;5;5;0;6;1;0;0;0;0;0;0;0
Indre Straumfjordvassdraget;185.43Z;2003;0.56;NA;0.3;NA;NA;FALSE;14;0;0;12;0;0;0;0;0;0;0;0
Indre Straumfjordvassdraget;185.43Z;2004;0.56;NA;0.3;NA;NA;FALSE;12;0;0;11;0;0;0;0;0;0;0;0
Indre Straumfjordvassdraget;185.43Z;2005;0.56;NA;0.3;NA;NA;FALSE;18;3;7;14;1;1;0;0;0;0;0;0
Indre Straumfjordvassdraget;185.43Z;2006;0.56;NA;0.3;NA;NA;FALSE;22;0;0;16;0;0;0;0;0;0;0;0
Indre Straumfjordvassdraget;185.43Z;2007;0.56;NA;0.3;NA;NA;FALSE;6;0;0;5;0;0;0;0;0;0;0;0
Indre Straumfjordvassdraget;185.43Z;2008;0.56;NA;0.3;NA;NA;FALSE;8;3;0;5;1;0;0;0;0;0;0;0
Indre Straumfjordvassdraget;185.43Z;2009;0.56;NA;0.3;NA;NA;FALSE;6;0;0;6;0;0;0;0;0;0;0;0
Indre Straumfjordvassdraget;185.43Z;2010;0.56;0.2;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Indre Straumfjordvassdraget;185.43Z;2011;0.56;0.2;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Indre Straumfjordvassdraget;185.43Z;2012;0.56;0.2;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Indre Straumfjordvassdraget;185.43Z;2013;0.56;0.2;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Indre Straumfjordvassdraget;185.43Z;2014;0.56;0.2;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Indre Straumfjordvassdraget;185.43Z;2015;0.56;0.2;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Indre Straumfjordvassdraget;185.43Z;2016;0.56;0.2;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Indre Straumfjordvassdraget;185.43Z;2017;0.56;0.2;NA;NA;NA;FALSE;5;0;0;3;0;0;0;0;0;0;0;0
Indre Straumfjordvassdraget;185.43Z;2018;0.56;0.2;NA;NA;NA;FALSE;0;0;0;0;0;0;3;0;0;2;0;0
Indre Straumfjordvassdraget;185.43Z;2019;0.56;0.2;NA;NA;NA;FALSE;0;0;0;0;0;0;9;0;0;7;0;0
Indre Straumfjordvassdraget;185.43Z;2020;0.56;0.2;NA;NA;NA;FALSE;9;0;0;7;0;0;9.2;0;0;6;0;0
Indre Straumfjordvassdraget;185.43Z;2021;0.56;0.2;NA;NA;NA;FALSE;3;0;0;2;0;0;3;0;0;2;0;0
Indre Straumfjordvassdraget;185.43Z;2022;0.56;0.2;NA;NA;NA;FALSE;2;0;0;1;0;0;5;0;0;5;0;0
Indre Straumfjordvassdraget;185.43Z;2023;0.56;0.2;NA;NA;NA;FALSE;6;0;0;4;0;0;1;0;0;3;0;0
