Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Oshaugvassdraget;185.44Z;1993;0.57;0.6;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Oshaugvassdraget;185.44Z;1994;0.57;0.6;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Oshaugvassdraget;185.44Z;1995;0.57;0.6;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Oshaugvassdraget;185.44Z;1996;0.57;0.6;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Oshaugvassdraget;185.44Z;1997;0.57;0.6;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Oshaugvassdraget;185.44Z;1998;0.57;0.6;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Oshaugvassdraget;185.44Z;1999;0.57;0.6;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Oshaugvassdraget;185.44Z;2000;0.57;NA;0.4;NA;NA;FALSE;8;0;0;5;0;0;0;0;0;0;0;0
Oshaugvassdraget;185.44Z;2001;0.57;NA;0.4;NA;NA;FALSE;25;0;0;19;0;0;0;0;0;0;0;0
Oshaugvassdraget;185.44Z;2002;0.57;NA;0.4;NA;NA;FALSE;56;14;7;53;3;1;0;0;0;0;0;0
Oshaugvassdraget;185.44Z;2003;0.57;NA;0.4;NA;NA;FALSE;17;0;0;13;0;0;0;0;0;0;0;0
Oshaugvassdraget;185.44Z;2004;0.57;0.6;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Oshaugvassdraget;185.44Z;2005;0.57;NA;0.4;NA;NA;FALSE;29;10;0;22;3;0;0;0;0;0;0;0
Oshaugvassdraget;185.44Z;2006;0.57;NA;0.4;NA;NA;FALSE;20;0;0;14;0;0;0;0;0;0;0;0
Oshaugvassdraget;185.44Z;2007;0.57;0.6;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Oshaugvassdraget;185.44Z;2008;0.57;0.6;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Oshaugvassdraget;185.44Z;2009;0.57;0.6;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Oshaugvassdraget;185.44Z;2010;0.57;0.6;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Oshaugvassdraget;185.44Z;2011;0.57;0.6;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Oshaugvassdraget;185.44Z;2012;0.57;0.6;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Oshaugvassdraget;185.44Z;2013;0.57;0.6;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Oshaugvassdraget;185.44Z;2014;0.57;0.6;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Oshaugvassdraget;185.44Z;2015;0.57;0.6;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Oshaugvassdraget;185.44Z;2016;0.57;0.6;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Oshaugvassdraget;185.44Z;2017;0.57;0.6;NA;NA;NA;FALSE;1;0;0;1;0;0;0;0;0;0;0;0
Oshaugvassdraget;185.44Z;2018;0.57;NA;0.4;NA;NA;FALSE;33;36;7;22;11;1;0;0;0;0;0;0
Oshaugvassdraget;185.44Z;2019;0.57;0.6;NA;NA;NA;FALSE;4;6;0;3;2;0;0;0;0;0;0;0
Oshaugvassdraget;185.44Z;2020;0.57;NA;0.4;NA;NA;FALSE;21.1;4.7;22;21;1;3;0;0;0;0;0;0
Oshaugvassdraget;185.44Z;2021;0.57;0.6;NA;NA;NA;FALSE;1;4;0;1;1;0;2;0;0;2;0;0
Oshaugvassdraget;185.44Z;2022;0.57;NA;0.4;NA;NA;FALSE;14;0;0;11;0;0;0;0;0;0;0;0
Oshaugvassdraget;185.44Z;2023;0.57;0.6;NA;NA;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
