Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Straumevassdraget;185.6Z;1993;0.57;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Straumevassdraget;185.6Z;1994;0.57;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Straumevassdraget;185.6Z;1995;0.57;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Straumevassdraget;185.6Z;1996;0.57;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Straumevassdraget;185.6Z;1997;0.57;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Straumevassdraget;185.6Z;1998;0.57;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Straumevassdraget;185.6Z;1999;0.57;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Straumevassdraget;185.6Z;2000;0.57;;;10;;FALSE;3;0;0;2;0;0;0;0;0;0;0;0
Straumevassdraget;185.6Z;2001;0.57;;0.42;;;FALSE;16;0;0;9;0;0;0;0;0;0;0;0
Straumevassdraget;185.6Z;2002;0.57;;;10;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Straumevassdraget;185.6Z;2003;0.57;;0.42;;;FALSE;17;0;0;15;0;0;0;0;0;0;0;0
Straumevassdraget;185.6Z;2004;0.57;;0.42;;;FALSE;10;3;0;8;1;0;0;0;0;0;0;0
Straumevassdraget;185.6Z;2005;0.57;;0.42;;;FALSE;28;0;0;23;0;0;0;0;0;0;0;0
Straumevassdraget;185.6Z;2006;0.57;;0.42;;;FALSE;10;0;0;8;0;0;0;0;0;0;0;0
Straumevassdraget;185.6Z;2007;0.57;;0.42;;;FALSE;9;0;0;7;0;0;0;0;0;0;0;0
Straumevassdraget;185.6Z;2008;0.57;;0.42;;;FALSE;38;0;0;26;0;0;0;0;0;0;0;0
Straumevassdraget;185.6Z;2009;0.57;;0.42;;;FALSE;11;4;0;7;1;0;0;0;0;0;0;0
Straumevassdraget;185.6Z;2010;0.57;;0.42;;;FALSE;20;0;0;12;0;0;0;0;0;0;0;0
Straumevassdraget;185.6Z;2011;0.57;;;10;;FALSE;3;0;0;2;0;0;0;0;0;0;0;0
Straumevassdraget;185.6Z;2012;0.57;;0.42;;;FALSE;10;3;0;6;1;0;0;0;0;0;0;0
Straumevassdraget;185.6Z;2013;0.57;;0.42;;;FALSE;20;0;0;14;0;0;0;0;0;0;0;0
Straumevassdraget;185.6Z;2014;0.57;;0.42;;;FALSE;13;11;0;6;3;0;1;0;0;1;0;0
Straumevassdraget;185.6Z;2015;0.57;;0.42;;;FALSE;38;26;0;21;6;0;0;0;0;0;0;0
Straumevassdraget;185.6Z;2016;0.57;;0.42;;;FALSE;57;23;0;38;6;0;6;0;0;4;0;0
Straumevassdraget;185.6Z;2017;0.57;;0.42;;;FALSE;9;13;0;6;4;0;1;0;0;1;0;0
Straumevassdraget;185.6Z;2018;0.57;;0.42;;;FALSE;36;16;0;22;4;0;0;0;0;0;0;0
Straumevassdraget;185.6Z;2019;0.57;;0.42;;;FALSE;22;19;0;16;6;0;0;0;0;0;0;0
Straumevassdraget;185.6Z;2020;0.57;;0.42;;;FALSE;20;10;0;14;2;0;6.9;0;0;8;0;0
Straumevassdraget;185.6Z;2021;0.57;;0.42;;;FALSE;42;38;0;22;10;0;3;0;0;2;0;0
Straumevassdraget;185.6Z;2022;0.57;;0.42;;;FALSE;49;37;0;28;10;0;2;0;0;3;0;0
Straumevassdraget;185.6Z;2023;0.57;;0.42;;;FALSE;28;16;0;17;4;0;2;0;0;1;0;0
Straumevassdraget;185.6Z;2024;0.57;;0.42;;;FALSE;15;3;0;9;1;0;0;0;0;0;0;0
