Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Nykvågvassdraget;185.71Z;1993;0.57;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Nykvågvassdraget;185.71Z;1994;0.57;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Nykvågvassdraget;185.71Z;1995;0.57;NA;0.5;NA;NA;FALSE;13;0;0;12;0;0;0;0;0;0;0;0
Nykvågvassdraget;185.71Z;1996;0.57;NA;NA;5;NA;FALSE;1;0;0;1;0;0;0;0;0;0;0;0
Nykvågvassdraget;185.71Z;1997;0.57;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Nykvågvassdraget;185.71Z;1998;0.57;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Nykvågvassdraget;185.71Z;1999;0.57;NA;0.5;NA;NA;FALSE;20;0;0;12;0;0;0;0;0;0;0;0
Nykvågvassdraget;185.71Z;2000;0.57;NA;0.5;NA;NA;FALSE;8;0;0;6;0;0;0;0;0;0;0;0
Nykvågvassdraget;185.71Z;2001;0.57;NA;0.5;NA;NA;FALSE;20;0;0;12;0;0;0;0;0;0;0;0
Nykvågvassdraget;185.71Z;2002;0.57;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Nykvågvassdraget;185.71Z;2003;0.57;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Nykvågvassdraget;185.71Z;2004;0.57;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Nykvågvassdraget;185.71Z;2005;0.57;NA;0.5;NA;NA;FALSE;9;0;0;4;0;0;0;0;0;0;0;0
Nykvågvassdraget;185.71Z;2006;0.57;NA;0.5;NA;NA;FALSE;8;14;0;5;4;0;0;0;0;0;0;0
Nykvågvassdraget;185.71Z;2007;0.57;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Nykvågvassdraget;185.71Z;2008;0.57;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Nykvågvassdraget;185.71Z;2009;0.57;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Nykvågvassdraget;185.71Z;2010;0.57;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Nykvågvassdraget;185.71Z;2011;0.57;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Nykvågvassdraget;185.71Z;2012;0.57;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Nykvågvassdraget;185.71Z;2013;0.57;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Nykvågvassdraget;185.71Z;2014;0.57;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Nykvågvassdraget;185.71Z;2015;0.57;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Nykvågvassdraget;185.71Z;2016;0.57;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Nykvågvassdraget;185.71Z;2017;0.57;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Nykvågvassdraget;185.71Z;2018;0.57;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Nykvågvassdraget;185.71Z;2019;0.57;NA;NA;5;NA;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Nykvågvassdraget;185.71Z;2020;0.57;NA;0.5;NA;NA;FALSE;23;3.8;0;13;1;0;0;0;0;0;0;0
Nykvågvassdraget;185.71Z;2021;0.57;NA;0.5;NA;NA;FALSE;15;4;0;9;1;0;0;0;0;0;0;0
Nykvågvassdraget;185.71Z;2022;0.57;NA;0.5;NA;NA;FALSE;24;11;0;14;3;0;0;0;0;0;0;0
Nykvågvassdraget;185.71Z;2023;0.57;NA;NA;5;NA;FALSE;3;0;0;2;0;0;0;0;0;0;0;0
