Vassdrag;VdrNr;Aar;Andel_hunn;Maloppnaelse;Fangstrate;Gytebestand;Elvinnsig;GytingSim;Laks_vekt_u3kg;Laks_vekt_o3u7kg;Laks_vekt_o7kg;Laks_ant_u3kg;Laks_ant_o3u7kg;Laks_ant_o7kg;Gjen_vekt_u3kg;Gjen_vekt_o3u7kg;Gjen_vekto7kg;Gjen_ant_u3kg;Gjen_ant_o3u7kg;Gjen_ant_o7kg
Ryggedalsvassdraget;185.7Z;1993;0.57;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Ryggedalsvassdraget;185.7Z;1994;0.57;;0.3;;;FALSE;6;6;0;5;1;0;0;0;0;0;0;0
Ryggedalsvassdraget;185.7Z;1995;0.57;;0.3;;;FALSE;20;0;0;15;0;0;0;0;0;0;0;0
Ryggedalsvassdraget;185.7Z;1996;0.57;;0.3;;;FALSE;43;11;0;31;3;0;0;0;0;0;0;0
Ryggedalsvassdraget;185.7Z;1997;0.57;;0.3;;;FALSE;12;0;0;9;0;0;0;0;0;0;0;0
Ryggedalsvassdraget;185.7Z;1998;0.57;;0.3;;;FALSE;13;0;0;19;0;0;0;0;0;0;0;0
Ryggedalsvassdraget;185.7Z;1999;0.57;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Ryggedalsvassdraget;185.7Z;2000;0.57;;0.3;;;FALSE;10;4;0;5;1;0;0;0;0;0;0;0
Ryggedalsvassdraget;185.7Z;2001;0.57;;0.3;;;FALSE;31;3;0;17;1;0;0;0;0;0;0;0
Ryggedalsvassdraget;185.7Z;2002;0.57;0.2;;;;FALSE;1;0;0;1;0;0;0;0;0;0;0;0
Ryggedalsvassdraget;185.7Z;2003;0.57;;0.3;;;FALSE;24;7;0;20;2;0;0;0;0;0;0;0
Ryggedalsvassdraget;185.7Z;2004;0.57;;0.3;;;FALSE;32;0;0;25;0;0;0;0;0;0;0;0
Ryggedalsvassdraget;185.7Z;2005;0.57;;0.3;;;FALSE;34;0;0;29;0;0;0;0;0;0;0;0
Ryggedalsvassdraget;185.7Z;2006;0.57;;0.3;;;FALSE;37;0;0;29;0;0;0;0;0;0;0;0
Ryggedalsvassdraget;185.7Z;2007;0.57;;0.3;;;FALSE;25;11;0;21;3;0;0;0;0;0;0;0
Ryggedalsvassdraget;185.7Z;2008;0.57;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Ryggedalsvassdraget;185.7Z;2009;0.57;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Ryggedalsvassdraget;185.7Z;2010;0.57;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Ryggedalsvassdraget;185.7Z;2011;0.57;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Ryggedalsvassdraget;185.7Z;2012;0.57;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Ryggedalsvassdraget;185.7Z;2013;0.57;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Ryggedalsvassdraget;185.7Z;2014;0.57;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Ryggedalsvassdraget;185.7Z;2015;0.57;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Ryggedalsvassdraget;185.7Z;2016;0.57;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Ryggedalsvassdraget;185.7Z;2017;0.57;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Ryggedalsvassdraget;185.7Z;2018;0.57;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Ryggedalsvassdraget;185.7Z;2019;0.57;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Ryggedalsvassdraget;185.7Z;2020;0.57;0.2;;;;FALSE;2.3;0;0;1;0;0;0;0;0;0;0;0
Ryggedalsvassdraget;185.7Z;2021;0.57;;0.3;;;FALSE;56;20;0;32;6;0;0;0;0;0;0;0
Ryggedalsvassdraget;185.7Z;2022;0.57;;0.3;;;FALSE;59;29;8;28;7;1;0;0;0;0;0;0
Ryggedalsvassdraget;185.7Z;2023;0.57;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
Ryggedalsvassdraget;185.7Z;2024;0.57;0.2;;;;FALSE;0;0;0;0;0;0;0;0;0;0;0;0
